{NUMBER OF COLUMNS}  3
* 41587 @ 6060 ms
*  rho            jsat            Te     ne
*  (m)            (Am-2)          (eV)   (m-3)
{DATA}
-0.0088	2.42E+01	3.2	8.55E+15	
-0.0049	2.21E+01	2.4	9.19E+15	
-0.0011	2.59E+01	1.5	1.35E+16	
 0.0026	2.82E+01	1.8	1.34E+16	
 0.0062	2.97E+01	1.1	1.83E+16	
 0.0081	3.09E+01	1.4	1.69E+16	
 0.0126	6.99E+02	4.7	2.06E+17	
 0.0167	2.06E+03	4.5	6.21E+17	
 0.0196	7.19E+03	9.3	1.50E+18	
 0.0227	5.85E+03	8.8	1.26E+18	
 0.0257	6.48E+03	10.2	1.29E+18	
 0.0285	6.02E+03	9.3	1.26E+18	
 0.0312	3.92E+03	7.2	9.32E+17	
 0.0325	3.62E+03	9.2	7.60E+17	
 0.0357	3.95E+03	13.3	6.91E+17	
 0.0386	3.95E+03	11.8	7.33E+17	
 0.0405	3.30E+03	11.1	6.30E+17	
 0.0425	3.09E+03	10.7	6.03E+17	
 0.0444	2.12E+03	14.9	3.51E+17	
 0.0444	2.12E+03	14.9	3.51E+17	
 0.0401	0.00E+00	0.0	0.00E+00	
 0.1500	0.00E+00	0.0	0.00E+00
{END}
