{NUMBER OF COLUMNS}       5
*
* SHOTS  =   25028
* TIMES  =     0.300000 to     0.324000 s
* SMOOTH =       8
* SAMPLE =       5
*
*       PSIn           r           z        dens          Te
*                    (m)         (m)       (m-3)        (eV)
{DATA LIST}
    0.176489    0.879784    0.000000    6.95E+19      394.24
    0.181538    0.869523    0.000000    7.02E+19      391.23
    0.187392    0.858519    0.000000    6.96E+19      392.51
    0.189277    0.882965    0.000000    6.96E+19      390.88
    0.194733    0.860001    0.000000    6.92E+19      380.91
    0.202667    0.837963    0.000000    6.98E+19      382.61
    0.209544    0.839513    0.000000    6.97E+19      380.02
    0.217866    0.830058    0.000000    6.79E+19      384.46
    0.222545    0.832044    0.000000    6.79E+19      389.29
    0.232924    0.807899    0.000000    6.74E+19      387.43
    0.242590    0.802039    0.000000    6.55E+19      377.50
    0.253917    0.801597    0.000000    6.59E+19      379.38
    0.263376    0.788241    0.000000    6.69E+19      379.91
    0.275501    0.778932    0.000000    6.74E+19      374.59
    0.286062    0.765777    0.000000    6.75E+19      371.07
    0.300953    0.756468    0.000000    6.76E+19      366.12
    0.311738    0.751368    0.000000    6.61E+19      359.32
    0.323263    0.750849    0.000000    6.52E+19      336.85
    0.338591    0.736963    0.000000    6.40E+19      319.20
    0.353828    0.727806    0.000000    6.38E+19      310.09
    0.370077    0.714195    0.000000    6.19E+19      310.16
    0.387978    0.705037    0.000000    6.05E+19      303.02
    0.399076    0.700696    0.000000    5.89E+19      281.74
    0.411466    0.695940    0.000000    5.88E+19      267.04
    0.429972    0.689953    0.000000    5.96E+19      263.26
    0.448707    0.676679    0.000000    5.85E+19      260.19
    0.469231    0.666453    0.000000    5.96E+19      256.34
    0.489296    0.653608    0.000000    5.93E+19      250.55
    0.500022    0.650024    0.000000    5.85E+19      241.40
    0.514467    0.644662    0.000000    5.85E+19      234.65
    0.534407    0.631663    0.000000    5.82E+19      225.38
    0.555146    0.625552    0.000000    5.55E+19      212.74
    0.577146    0.612463    0.000000    5.33E+19      201.07
    0.598719    0.608757    0.000000    5.15E+19      189.73
    0.609431    0.599354    0.000000    4.92E+19      173.93
    0.625536    0.593384    0.000000    4.75E+19      164.12
    0.647388    0.580081    0.000000    4.62E+19      154.26
    0.667786    0.571319    0.000000    4.41E+19      144.39
    0.690433    0.564200    0.000000    4.23E+19      135.34
    0.710650    0.558009    0.000000    4.09E+19      126.79
    0.722781    0.548280    0.000000    3.93E+19      113.58
    0.739952    0.541698    0.000000    3.79E+19      102.60
    0.763101    0.527682    0.000000    3.62E+19       95.54
    0.783408    0.518665    0.000000    3.54E+19       91.70
    0.806319    0.511452    0.000000    3.49E+19       83.83
    0.825275    0.505250    0.000000    3.41E+19       75.96
    0.837018    0.495600    0.000000    3.30E+19       67.68
    0.854599    0.484780    0.000000    3.22E+19       59.23
    0.876582    0.477726    0.000000    3.07E+19       52.67
    0.895292    0.468928    0.000000    2.79E+19       45.94
    0.916044    0.454499    0.000000    2.53E+19       40.75
    0.960409    0.431132    0.000000    1.19E+19       17.18
    0.980002    0.424401    0.000000    9.80E+18       13.18
    0.994612    0.416915    0.000000    7.92E+18       10.18
    1.010083    0.403306    0.000000    7.73E+18        8.94
    1.022382    0.403169    0.000000    7.35E+18        7.09
    1.029805    0.395850    0.000000    6.86E+18        7.04
    1.045395    0.382090    0.000000    6.78E+18        6.46
    1.059955    0.376025    0.000000    6.89E+18        6.59
    1.073548    0.369479    0.000000    7.41E+18        6.75
    1.085970    0.355569    0.000000    7.70E+18        6.38
    1.096660    0.356111    0.000000    7.99E+18        5.97
    1.103709    0.348264    0.000000    7.76E+18        5.98
    1.115778    0.334901    0.000000    7.46E+18        6.11
    1.126811    0.332916    0.000000    7.60E+18        6.02
    1.137501    0.322386    0.000000    7.91E+18        5.51
    1.147346    0.310617    0.000000    8.08E+18        5.11
    1.156077    0.312484    0.000000    8.41E+18        5.68
    1.162575    0.304147    0.000000    8.60E+18        5.70
    1.172408    0.290505    0.000000    8.09E+18        4.60
    1.181054    0.287222    0.000000    8.16E+18        4.67
    1.184436    0.279477    0.000000    8.45E+18        4.25
    1.198106    0.276944    0.000000    7.47E+18        3.76
{END}
