# ITER#1513 (F57 ref-20-NF-C0, tau=0.4e-6, ntime=150)  - 79.9 ms
# parallel velocity (up) (m.s-1)
   ix   iy      x           y           z01           z02           z03           z04           z05           z06           z07           z08           z09
    1    1  4.1805E+03 -3.8836E+03 -2.399614E+03 -2.401495E+03 -2.400196E+03 -2.399340E+03 -2.399726E+03 -2.399617E+03 -2.399534E+03 -2.399474E+03 -2.399432E+03
    2    1  4.1824E+03 -3.8828E+03 -1.638346E+03 -1.639866E+03 -1.638915E+03 -1.636833E+03 -1.638209E+03 -1.638281E+03 -1.638264E+03 -1.638234E+03 -1.638209E+03
    3    1  4.1844E+03 -3.8820E+03 -9.833520E+02 -9.814328E+02 -9.825957E+02 -9.780338E+02 -9.816976E+02 -9.823499E+02 -9.825686E+02 -9.826646E+02 -9.827144E+02
    4    1  4.1869E+03 -3.8810E+03 -4.097224E+02 -4.079880E+02 -4.088773E+02 -4.045932E+02 -4.080225E+02 -4.085881E+02 -4.087670E+02 -4.088405E+02 -4.088762E+02
    5    1  4.1905E+03 -3.8796E+03 -6.858466E+02 -6.863325E+02 -6.858223E+02 -6.857639E+02 -6.857868E+02 -6.856675E+02 -6.856034E+02 -6.855650E+02 -6.855398E+02
    6    1  4.1960E+03 -3.8775E+03 -1.093177E+03 -1.095048E+03 -1.093485E+03 -1.096560E+03 -1.094090E+03 -1.093440E+03 -1.093182E+03 -1.093053E+03 -1.092977E+03
    7    1  4.2042E+03 -3.8742E+03 -8.059246E+02 -8.071484E+02 -8.058312E+02 -8.082065E+02 -8.063195E+02 -8.057793E+02 -8.055567E+02 -8.054415E+02 -8.053716E+02
    8    1  4.2161E+03 -3.8696E+03 -9.781656E+02 -9.801715E+02 -9.776992E+02 -9.823424E+02 -9.785231E+02 -9.775676E+02 -9.771743E+02 -9.769689E+02 -9.768431E+02
    9    1  4.2326E+03 -3.8631E+03 -1.510504E+03 -1.524876E+03 -1.514041E+03 -1.537073E+03 -1.519809E+03 -1.514603E+03 -1.512491E+03 -1.511458E+03 -1.510866E+03
   10    1  4.2548E+03 -3.8546E+03 -1.808112E+03 -1.825737E+03 -1.813038E+03 -1.842176E+03 -1.820222E+03 -1.813988E+03 -1.811647E+03 -1.810563E+03 -1.809962E+03
