number of heading lines in this data file : 26
Field Line Tracing Calculations (FLT) performed with CASTEM
Date CASTEM calculations : 28/09/2010
Date post-processing data : 04-11/10/2010
Modif compared to latest version (10/06/2010): here, grid "top"- starting line = diagonal, located in between BM9-10

FIRST WALL GEOMETRY
Outer wall and upper panels from BM8 to BM18
EQUILIBRIUM
Steady-state, 15 MA, Scenario 1, ITER (eqdsk high resolution, "Baseline 2010", FST, Corsica, Feb. 2010)

PARAMETERS
origin location : diagonal from (R,Z)=(5.7,4.3)m to (R,Z)=(6.0,5.3)m
number of field lines followed :  300 
extent of origin line : 1.0440 
radial resolution at origin : 0.003499 
dphi step for FLT calculations in CASTEM : 0.50 
number of tangency points :     79 
number of points entering a surface :    260 
number of points leaving a surface :    271 
max number of intersection from omp toward top :    19 
max number of intersection from omp toward bottom :    11 
maximum connection length toward top : 26.09 
maximum connection length toward bottom : -22.09 
DATA
       nºFL            nºinters        X_inters (m)     Y_inters (m)     Z_inters (m)       Lc (m)             type-point  
 15.00000 7.00000 -4.95787 -0.34756 4.70205 16.97956 0 
 15.00000 8.00000 -4.93862 -0.51994 4.70418 17.15300 0 
 16.00000 1.00000 -4.12598 2.94195 4.66312 13.52675 0 
 16.00000 2.00000 -4.15042 2.90508 4.66381 13.57099 0 
 16.00000 3.00000 -4.51465 2.24994 4.67477 14.32113 1 
 16.00000 4.00000 -4.60276 2.04832 4.67795 14.54114 2 
 16.00000 5.00000 -4.80160 1.46708 4.68702 15.15575 1 
 16.00000 6.00000 -4.88288 1.12640 4.69184 15.50600 2 
 16.00000 7.00000 -4.95128 0.69498 4.69778 15.94289 1 
 16.00000 8.00000 -4.98078 0.30377 4.70320 16.33526 2 
 16.00000 9.00000 -4.96936 -0.26130 4.71118 16.90068 1 
 16.00000 10.00000 -4.92427 -0.64917 4.71615 17.29120 2 
 16.00000 11.00000 -4.83901 -1.07367 4.72176 17.72426 0 
 16.00000 12.00000 -4.77040 -1.32385 4.72517 17.98367 0 
 17.00000 1.00000 -3.57341 3.63506 4.65685 12.64404 0 
 17.00000 2.00000 -3.60402 3.60277 4.65754 12.68854 0 
 17.00000 3.00000 -4.07850 3.01683 4.66938 13.44306 1 
 17.00000 4.00000 -4.22421 2.79488 4.67364 13.70856 2 
 17.00000 5.00000 -4.47947 2.33087 4.68166 14.23831 1 
 17.00000 6.00000 -4.63808 1.96779 4.68754 14.63457 2 
 17.00000 7.00000 -4.78017 1.55225 4.69418 15.07381 1 
 17.00000 8.00000 -4.89471 1.08424 4.70131 15.55576 2 
