#Layout of plot zone dome-m : ITER#1514_(F57_ref-20-NF-C0,_tau=0.45e-6,_ntime=150)                            
#R	Z	Rc	Zc	x	xs	DG_elm
 4.91389E+00	-3.94193E+00	 4.86225E+00	-3.92159E+00	 5.55001E-02	 1.11000E-01	  191
 4.81061E+00	-3.90124E+00	 4.81630E+00	-3.88670E+00	 1.26612E-01	 1.42224E-01	  104
 4.82198E+00	-3.87216E+00	 4.79829E+00	-3.86269E+00	 1.67737E-01	 1.93250E-01	  105
 4.77460E+00	-3.85322E+00	 4.74892E+00	-3.85699E+00	 2.19209E-01	 2.45168E-01	  106
 4.72324E+00	-3.86077E+00	 4.70882E+00	-3.85622E+00	 2.60284E-01	 2.75400E-01	  107
 4.69441E+00	-3.85168E+00	 4.67636E+00	-3.82349E+00	 3.08865E-01	 3.42330E-01	  108
 4.65831E+00	-3.79531E+00	 4.64874E+00	-3.77276E+00	 3.66830E-01	 3.91330E-01	  109
 4.63917E+00	-3.75021E+00	 4.69540E+00	-3.73432E+00	 4.49771E-01	 5.08213E-01	  110
 4.75164E+00	-3.71843E+00	 4.80223E+00	-3.71639E+00	 5.58837E-01	 6.09461E-01	  111
 4.85281E+00	-3.71435E+00	 4.90263E+00	-3.72331E+00	 6.60084E-01	 7.10708E-01	  112
 4.95246E+00	-3.73227E+00	 4.99916E+00	-3.75180E+00	 7.61332E-01	 8.11956E-01	  113
 5.04587E+00	-3.77133E+00	 5.08724E+00	-3.80050E+00	 8.62578E-01	 9.13201E-01	  114
 5.12861E+00	-3.82968E+00	 5.16268E+00	-3.86712E+00	 9.63824E-01	 1.01445E+00	  115
 5.19676E+00	-3.90456E+00	 5.22120E+00	-3.94685E+00	 1.06330E+00	 1.11215E+00	  116
 5.24565E+00	-3.98914E+00	 5.22327E+00	-3.99910E+00	 1.13665E+00	 1.16115E+00	  117
 5.20088E+00	-4.00907E+00	 5.17496E+00	-4.01656E+00	 1.18813E+00	 1.21511E+00	  118
 5.14904E+00	-4.02405E+00	 5.13401E+00	-4.02243E+00	 1.23023E+00	 1.24534E+00	  119
 5.11898E+00	-4.02081E+00	 5.10227E+00	-4.00017E+00	 1.27190E+00	 1.29845E+00	  120
 5.08557E+00	-3.97953E+00	 5.05711E+00	-3.96649E+00	 1.32976E+00	 1.36106E+00	  121
 5.02865E+00	-3.95345E+00	 5.02290E+00	-3.96803E+00	 1.37674E+00	 1.39241E+00	  122
 5.01716E+00	-3.98262E+00	 4.96552E+00	-3.96227E+00	 1.44791E+00	 1.50341E+00	  190
 4.91389E+00	-3.94193E+00
