# Target loading - outer     : ITER#2294_(F57-20MW-H,_tau=0.47e-6,_ntime=150)                                  
# x     co-ordinate along target [m]. <0 in PFR
# ne    electron density [1/m^3]
# Te    electron temperature [eV]
# Ti    ion temperature [eV]
# Wtot  total power flux [W/m^2]
# Wpart power flux with particles [W/m^2]
# Wrad  power flux with radiation [W/m^2]
# Wpls  power flux with charged particles [W/m^2]
# Wneut power flux with neutral particles [W/m^2]
# xMP   radial co-ordinate in mid-plane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc radial co-ordinate on target [m]
# Zclfc vertical co-ordinate on target [m]
# Wpar_xpt parallel power flux around x-point [W/m^2]
# WWpar would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt connection length from mid-plane to target [m]
# Lcnnx connection length from mid-plane to x-point position [m]
#           x	         ne	         Te	         Ti	       Wtot	      Wpart	       Wrad	       Wpls	      Wneut	        xMP	      Rclfc	      Zclfc	   Wpar_xpt	      WWpar	      WWtrg	      Lcnnt	      Lcnnx	
  3.0685E-02	  4.6385E+19	  1.9289E+01	  1.4837E+01	  2.9692E+06	  2.9124E+06	  5.6873E+04	  2.7602E+06	  1.5213E+05	  4.2763E-03	  5.5543E+00	 -4.3621E+00	  5.4188E+07	  5.2355E+07	  2.8490E+06	  4.6331E+01	  1.7987E+01	
  5.0365E-02	  1.6454E+19	  2.7290E+01	  3.1331E+01	  2.1292E+06	  2.0968E+06	  3.2432E+04	  2.0052E+06	  9.1648E+04	  6.8957E-03	  5.5543E+00	 -4.3424E+00	  4.3702E+07	  4.2454E+07	  2.0635E+06	  4.2289E+01	  1.7231E+01	
  7.4490E-02	  8.9197E+18	  2.8478E+01	  4.1152E+01	  1.4271E+06	  1.4047E+06	  2.2337E+04	  1.3419E+06	  6.2852E+04	  9.9789E-03	  5.5543E+00	 -4.3183E+00	  3.2770E+07	  3.2014E+07	  1.4229E+06	  3.8974E+01	  1.6575E+01	
  1.0327E-01	  5.7756E+18	  2.7129E+01	  4.4124E+01	  9.2387E+05	  9.0676E+05	  1.7105E+04	  8.5793E+05	  4.8836E+04	  1.3474E-02	  5.5543E+00	 -4.2895E+00	  2.3421E+07	  2.3014E+07	  9.4250E+05	  3.6144E+01	  1.5986E+01	
  1.3699E-01	  4.2310E+18	  2.4734E+01	  4.4058E+01	  5.8662E+05	  5.7276E+05	  1.3860E+04	  5.3846E+05	  3.4301E+04	  1.7329E-02	  5.5543E+00	 -4.2558E+00	  1.6167E+07	  1.5981E+07	  6.0521E+05	  3.3662E+01	  1.5449E+01	
  1.7642E-01	  2.9432E+18	  2.2723E+01	  4.2976E+01	  3.7491E+05	  3.6334E+05	  1.1577E+04	  3.3390E+05	  2.9438E+04	  2.1493E-02	  5.5543E+00	 -4.2164E+00	  1.0860E+07	  1.0801E+07	  3.6883E+05	  3.1433E+01	  1.4953E+01	
  2.2275E-01	  1.9950E+18	  2.1170E+01	  4.1951E+01	  2.2543E+05	  2.1542E+05	  1.0003E+04	  1.9507E+05	  2.0349E+04	  2.5914E-02	  5.5543E+00	 -4.1701E+00	  7.1162E+06	  7.1218E+06	  2.1401E+05	  2.9386E+01	  1.4491E+01	
  2.7824E-01	  1.3562E+18	  1.9663E+01	  4.1377E+01	  1.3514E+05	  1.2637E+05	  8.7727E+03	  1.0847E+05	  1.7895E+04	  3.0544E-02	  5.5542E+00	 -4.1146E+00	  4.5321E+06	  4.5646E+06	  1.1535E+05	  2.7443E+01	  1.4055E+01	
  3.3501E-01	  9.3577E+17	  1.8135E+01	  3.9991E+01	  1.0369E+05	  9.4097E+04	  9.5964E+03	  8.2629E+04	  1.1468E+04	  3.5332E-02	  5.5572E+00	 -4.0580E+00	  2.8107E+06	  2.8477E+06	  8.5403E+04	  2.5659E+01	  1.3641E+01	
  3.9932E-01	  6.2584E+17	  1.6839E+01	  3.8466E+01	  4.9009E+04	  4.0744E+04	  8.2651E+03	  3.5239E+04	  5.5046E+03	  4.0222E-02	  5.5630E+00	 -3.9939E+00	  1.7341E+06	  1.7668E+06	  3.6958E+04	  2.3920E+01	  1.3241E+01	
