# ITER#2294 (F57-20MW-H, tau=0.47e-6, ntime=150)  - 55.1 ms
# electron temperature (eV)
   ix   iy      x           y           z01
   16    2  4.5880E+00 -3.7302E+00  1.186280E+00
   17    2  4.6877E+00 -3.7037E+00  1.390975E+00
   18    2  4.7961E+00 -3.6836E+00  1.518888E+00
   19    2  4.9013E+00 -3.6785E+00  1.570282E+00
   20    2  4.9818E+00 -3.6895E+00  1.608114E+00
   21    2  5.4113E+00 -2.6783E+00  1.380734E+03
   22    2  5.3141E+00 -2.6035E+00  1.380734E+03
   23    2  5.1453E+00 -2.4055E+00  1.380735E+03
   24    2  4.9856E+00 -2.1177E+00  1.380737E+03
   25    2  4.8477E+00 -1.7931E+00  1.380738E+03
   26    2  4.7279E+00 -1.4566E+00  1.380739E+03
   27    2  4.6244E+00 -1.1141E+00  1.380740E+03
   28    2  4.5365E+00 -7.6712E-01  1.380741E+03
   29    2  4.4641E+00 -4.1644E-01  1.380742E+03
   30    2  4.4064E+00 -6.3096E-02  1.380742E+03
   31    2  4.3652E+00  2.9222E-01  1.380743E+03
   32    2  4.3417E+00  6.4937E-01  1.380743E+03
   33    2  4.3337E+00  1.0072E+00  1.380743E+03
   34    2  4.3416E+00  1.3644E+00  1.380743E+03
   35    2  4.3675E+00  1.7192E+00  1.380743E+03
   36    2  4.4152E+00  2.0694E+00  1.380742E+03
   37    2  4.4876E+00  2.4118E+00  1.380742E+03
   38    2  4.5875E+00  2.7401E+00  1.380741E+03
   39    2  4.7198E+00  3.0422E+00  1.380740E+03
   40    2  4.8855E+00  3.2988E+00  1.380739E+03
   41    2  5.0789E+00  3.4912E+00  1.380738E+03
   42    2  5.2971E+00  3.6143E+00  1.380737E+03
   43    2  5.5501E+00  3.6704E+00  1.380737E+03
   44    2  5.8394E+00  3.6545E+00  1.380736E+03
   45    2  6.1456E+00  3.5681E+00  1.380736E+03
   46    2  6.4480E+00  3.4241E+00  1.380736E+03
   47    2  6.7347E+00  3.2349E+00  1.380736E+03
   48    2  7.0016E+00  3.0104E+00  1.380736E+03
   49    2  7.2462E+00  2.7585E+00  1.380736E+03
   50    2  7.4639E+00  2.4825E+00  1.380736E+03
   51    2  7.6523E+00  2.1844E+00  1.380736E+03
   52    2  7.8110E+00  1.8685E+00  1.380736E+03
   53    2  7.9375E+00  1.5384E+00  1.380736E+03
   54    2  8.0294E+00  1.1968E+00  1.380736E+03
   55    2  8.0870E+00  8.4756E-01  1.380736E+03
   56    2  8.1079E+00  4.9508E-01  1.380736E+03
   57    2  8.0884E+00  1.4286E-01  1.380736E+03
   58    2  8.0306E+00 -2.0553E-01  1.380736E+03
   59    2  7.9361E+00 -5.4503E-01  1.380736E+03
   60    2  7.8038E+00 -8.7092E-01  1.380736E+03
   61    2  7.6358E+00 -1.1800E+00  1.380735E+03
   62    2  7.4355E+00 -1.4700E+00  1.380735E+03
   63    2  7.2082E+00 -1.7395E+00  1.380735E+03
   64    2  6.9574E+00 -1.9858E+00  1.380735E+03
   65    2  6.6846E+00 -2.2077E+00  1.380734E+03
   66    2  6.3937E+00 -2.4047E+00  1.380734E+03
   67    2  6.0901E+00 -2.5695E+00  1.380733E+03
   68    2  5.7913E+00 -2.6785E+00  1.380733E+03
   69    2  5.5486E+00 -2.7044E+00  1.380733E+03
   70    2  5.4379E+00 -2.6895E+00  1.380734E+03
   71    2  5.0436E+00 -3.7142E+00  1.641692E+00
   72    2  5.1166E+00 -3.7678E+00  1.690967E+00
   73    2  5.1977E+00 -3.8547E+00  1.700939E+00
   74    2  5.2696E+00 -3.9551E+00  1.564908E+00
