{NUMBER OF COLUMNS}  4
*
*
*
*
*
*  PSIn        ne                   Te              Ti
*              (10E+6 m-3)         (eV)            (eV)  
{DATA}
   0.92643     3.6430e+012     1.4390e+002     1.7510e+002
   0.94143     3.6430e+012     1.4380e+002     1.7510e+002
   0.95995     3.2680e+012     1.1380e+002     1.4690e+002
   0.97492     3.0080e+012     9.3800e+001     1.2880e+002
   0.98391     2.8200e+012     8.0930e+001     1.1730e+002
   0.99091     2.6580e+012     7.0010e+001     1.0810e+002
   0.99591     2.5340e+012     6.1780e+001     1.0120e+002
   0.99891     2.4530e+012     5.6920e+001     9.7390e+001
   1.00143     2.3860e+012     5.3010e+001     9.4180e+001
   1.00449     2.3030e+012     4.8960e+001     9.0310e+001
   1.00755     2.2200e+012     4.5590e+001     8.6760e+001
   1.01060     2.1330e+012     4.2820e+001     8.3610e+001
   1.01519     2.0060e+012     3.9280e+001     7.9260e+001
   1.02130     1.8370e+012     3.5350e+001     7.4220e+001
   1.02741     1.6630e+012     3.2120e+001     6.9920e+001
   1.03352     1.4940e+012     2.9420e+001     6.6160e+001
   1.03963     1.3310e+012     2.7070e+001     6.2730e+001
   1.04576     1.1760e+012     2.5000e+001     5.9610e+001
   1.05188     1.0320e+012     2.3040e+001     5.6610e+001
   1.05528     9.3680e+011     2.1610e+001     5.4420e+001
   1.05680     9.3940e+011     2.1620e+001     5.4430e+001
   1.05950     8.7830e+011     2.0780e+001     5.3190e+001
   1.06367     8.0370e+011     1.9520e+001     5.1180e+001
   1.06898     7.1910e+011     1.8070e+001     4.8530e+001
   1.07428     6.4360e+011     1.6680e+001     4.5690e+001
   1.07959     5.8230e+011     1.5280e+001     4.2560e+001
   1.08488     5.3380e+011     1.3900e+001     3.9090e+001
   1.09018     4.9120e+011     1.2420e+001     3.5100e+001
{END}
