{NUMBER OF COLUMNS}  4
*
*
*
*
*
*  PSIn        ne                   Te              Ti
*              (10E+6 m-3)         (eV)            (eV)  
{DATA}
   1.08434     2.2108e+011       13.5330        38.6360
   1.08523     2.2222e+011       13.5390        38.6300
   1.08612     2.2336e+011       13.5440        38.6160
   1.08700     2.0665e+011       13.2580        37.8620
   1.08788     1.4762e+011       12.2920        35.3940
   1.08876     1.4803e+011       12.2940        35.4090
   1.08964     1.4975e+011       12.3050        35.4240
   1.09051     1.5124e+011       12.3150        35.4380
   1.09138     1.5275e+011       12.3240        35.4520
   1.09225     1.5387e+011       12.3310        35.4660
{END}
