{NUMBER OF COLUMNS}  4
*
*
*
*
*
*  PSIn        ne                   Te              Ti
*              (10E+6 m-3)         (eV)            (eV)  
{DATA}
   1.09324     1.4026e+011          10.3170          31.2250
   0.98724     1.9382e+012    	    12.8280          17.7440
   0.98577     1.5125e+012    	     9.8152          15.7280
   0.98428     1.5226e+012    	     9.8122          15.7380
   0.98278     1.5327e+012    	     9.8096          15.7490
   0.98128     1.2726e+012    	     8.3602          13.9860
   0.97976     1.0775e+012    	     7.2687          12.6630
   0.97824     1.0847e+012    	     7.2724          12.6820
   0.97671     1.0914e+012    	     7.2760          12.7000
   0.97517     1.0987e+012    	     7.2772          12.7150
{END}
			      
