{NUMBER OF COLUMNS}  4 
*
*     psin         Jsat          Ne       Te
*  ?     (Amps)   (eV)
{DATA LIST} 
   0.95574   9.1445E+03  7.5617E+17  59.4036
   0.95596   7.6667E+03  7.5402E+17  41.9934
   0.95621   8.7260E+03  7.6867E+17  52.4973
   0.95652   7.1812E+03  7.0841E+17  41.4088
   0.95683   5.7082E+03  5.7992E+17  33.6045
   0.97859   5.2740E+03  8.0640E+17  24.2152
   0.97916   6.6158E+03  1.3546E+18  14.2719
   0.98637   5.8875E+03  1.9431E+18   4.2045
   0.98668   6.3226E+03  2.0304E+18   4.7355
   0.98696   7.7362E+03  2.3604E+18   5.5627
   0.98715   1.2362E+04  4.1345E+18   5.2028
   0.98733   1.2200E+04  4.6571E+18   4.0140
   0.99390   1.5199E+04  5.6265E+18   4.3101
   0.99423   2.5253E+04  7.9103E+18   4.5425
   0.99453   2.8817E+04  9.1041E+18   3.9832
   0.99468   4.3071E+04  9.7185E+18   7.6847
   0.99483   4.8415E+04  1.0221E+19   9.0957
   1.00157   5.5433E+04  9.8714E+18  13.9653
   1.00192   5.3468E+04  9.9199E+18  13.4099
   1.00223   8.7937E+04  1.0943E+19  31.7518
   1.00235   9.8095E+04  1.8005E+19  28.2062
   1.00247   1.2336E+05  2.4951E+19  27.5151
   1.00924   1.4277E+05  3.2471E+19  23.1553
   1.00961   1.6656E+05  3.9938E+19  23.0222
   1.00993   1.5636E+05  4.7367E+19   4.5164
   1.01002   1.5947E+05  4.8737E+19   4.4669
   1.01010   1.6511E+05  5.1771E+19   4.1589
   1.01691   1.7406E+05  4.9682E+19   5.9338
   1.01731   1.7668E+05  4.7927E+19   6.5578
   1.01769   1.8663E+05  4.2033E+19  13.2920
   1.01775   1.9242E+05  3.7484E+19  15.3952
   1.02460   1.7422E+05  2.9889E+19  16.6176
   1.02502   1.5166E+05  2.7307E+19  15.1826
   1.02535   1.4228E+05  2.3544E+19  16.4218
   1.02538   1.1144E+05  2.1199E+19  10.8500
   1.02540   8.5751E+04  1.9667E+19   8.5918
   1.03228   7.6466E+04  1.9585E+19   7.1525
   1.03272   7.3729E+04  2.0244E+19   6.5370
   1.03305   6.0317E+04  2.0515E+19   4.3683
   1.03306   6.0217E+04  2.0643E+19   4.0866
   1.03307   6.4606E+04  2.1783E+19   4.1846
   1.03997   6.4336E+04  2.1849E+19   4.1319
   1.04043   6.6596E+04  2.2774E+19   4.0989
   1.04071   6.2790E+04  2.1604E+19   4.0150
   1.04075   6.8956E+04  2.4882E+19   3.0746
   1.04079   6.2166E+04  2.3080E+19   2.9161
   1.04767   5.9845E+04  2.2082E+19   2.9908
   1.04837   5.8634E+04  2.1279E+19   3.0905
   1.04844   6.0660E+04  2.1637E+19   3.2141
   1.04852   5.6641E+04  2.0138E+19   3.2372
   1.05536   4.9833E+04  1.6852E+19   3.8521
   1.05587   4.5687E+04  1.5309E+19   3.9980
   1.05604   4.8166E+04  1.5979E+19   4.0374
   1.05614   4.3009E+04  1.7122E+19   3.5320
   1.05625   3.9773E+04  1.5242E+19   4.1995
   1.06306   4.2171E+04  1.5447E+19   5.0310
   1.06359   4.5595E+04  1.6220E+19   5.2488
   1.06370   4.4921E+04  1.3895E+19   6.5494
   1.06384   5.0387E+04  1.2013E+19   7.4209
   1.06397   5.2635E+04  1.4126E+19   6.5714
   1.07076   5.0100E+04  1.4060E+19   5.4578
   1.07130   4.5917E+04  1.3466E+19   4.8792
   1.07137   3.4272E+04  1.2110E+19   3.3692
   1.07154   2.4806E+04  9.5783E+18   2.8397
   1.07170   1.8981E+04  7.6941E+18   2.6267
   1.07846   1.6874E+04  7.3973E+18   2.1378
   1.07903   1.5992E+04  7.4056E+18   1.9499
   1.07904   1.6546E+04  7.0441E+18   2.4239
   1.07924   1.5936E+04  6.6727E+18   2.8397
   1.07944   1.3760E+04  5.0457E+18   3.7431
   1.09385   1.3195E+04  4.4541E+18   4.4827
   1.09437   1.2789E+04  3.4129E+18   5.6843
   1.09446   8.1128E+03  2.1256E+18   5.5947
   1.09463   7.9687E+03  2.0752E+18   5.6414
   1.09489   1.0090E+04  2.8455E+18   5.2539
   1.10202   9.6253E+03  2.6564E+18   5.9121
   1.10217   6.9386E+03  2.0587E+18   5.3077
   1.10261   6.2865E+03  1.8402E+18   5.8356
   1.10922   9.3241E+03  2.4400E+18   6.6486
   1.10967   6.0113E+03  1.3606E+18   6.9002
   1.10987   5.7335E+03  1.3495E+18   6.2194
   1.11000   7.5877E+03  1.8215E+18   6.4925
   1.11032   8.0160E+03  1.9663E+18   6.0285
   1.11690   5.4671E+03  1.4881E+18   5.3517
   1.11732   5.8097E+03  1.5944E+18   5.2407
   1.11758   6.0960E+03  1.8892E+18   4.5340
   1.11768   5.0913E+03  1.6241E+18   4.5517
   1.11804   4.4926E+03  1.4533E+18   4.5969
   1.12455   4.9916E+03  1.5460E+18   4.8313
   1.12494   5.1795E+03  1.5389E+18   5.5910
   1.12525   8.0397E+03  1.9369E+18   6.7426
   1.12533   7.7201E+03  1.9436E+18   6.1608
   1.12572   7.7221E+03  1.9243E+18   6.8350
   1.13220   7.9055E+03  1.9342E+18   7.0503
   1.13256   7.6886E+03  1.9216E+18   6.4167
   1.13292   5.2573E+03  1.4417E+18   5.8949
   1.13298   4.5550E+03  1.1638E+18   6.8533
   1.13341   5.4258E+03  1.5087E+18   5.7886
   1.13986   4.9089E+03  1.4299E+18   5.4696
   1.14018   5.3603E+03  1.5649E+18   5.4050
   1.14060   4.5261E+03  1.3173E+18   5.5033
   1.14064   5.0619E+03  1.3729E+18   8.3901
   1.14109   4.7999E+03  1.1952E+18   8.9732
   1.14747   4.8074E+03  1.0528E+18  10.9299
   1.14776   4.2253E+03  8.9497E+17  10.8063
   1.14823   5.4558E+03  1.1769E+18  11.0696
   1.14825   5.5078E+03  1.2970E+18   7.6240
   1.14874   5.0029E+03  1.1673E+18   7.6568
   1.15507   4.5757E+03  1.4013E+18   4.9003
   1.15533   4.9494E+03  1.4969E+18   5.0432
   1.15585   3.7105E+03  1.1450E+18   6.3832
   1.15586   3.0903E+03  9.6084E+17   7.0557
   1.15637   3.0191E+03  9.2431E+17   7.8080
   1.16268   2.5247E+03  5.7219E+17   9.0630
   1.16346   2.0234E+03  4.0580E+17   9.8204
   1.16348   1.9773E+03  4.1619E+17   9.1066
   1.16401   1.9577E+03  4.1294E+17   8.9876
   1.17024   1.7299E+03  3.6960E+17   8.7084
   1.17044   1.4237E+03  3.1138E+17   8.1155
   1.17102   1.2882E+03  2.8444E+17   7.9538
   1.17160   1.1763E+03  2.8106E+17   7.3923
   1.17778   1.7665E+03  4.0173E+17   7.6841
   1.17795   1.8602E+03  4.0968E+17   9.0306
   1.17856   2.0038E+03  4.3019E+17   9.6853
   1.17863   2.3022E+03  4.9079E+17   9.8900
   1.17917   2.2148E+03  5.1037E+17   9.2082
   1.18531   2.1828E+03  5.3024E+17   8.6704
   1.18545   2.2916E+03  6.0255E+17   6.3351
   1.18609   2.1434E+03  5.7361E+17   6.0603
   1.18618   2.3026E+03  6.0234E+17   6.1970
   1.18674   2.0987E+03  5.3068E+17   6.2796
   1.19282   2.5948E+03  6.2417E+17   6.5899
   1.19292   5.2932E+03  1.1070E+18   7.9491
   1.19360   5.3826E+03  1.1232E+18   8.2132
   1.19371   4.9663E+03  1.0363E+18   8.3576
   1.20025   6.0171E+03  1.3443E+18   8.4572
   1.20033   5.2545E+03  1.1738E+18   8.4861
   1.20116   4.6850E+03  1.4255E+18   7.0444
   1.20174   5.4463E+03  1.5378E+18   8.3065
   1.20769   5.9205E+03  1.5895E+18  10.4129
   1.20773   5.4873E+03  1.3199E+18  14.1858
   1.20847   5.3709E+03  1.2948E+18  14.1584
   1.20862   3.8634E+03  7.2280E+17  14.4763
   1.21512   3.0922E+03  6.0748E+17  13.2618
   1.21514   2.5567E+03  5.3628E+17  12.3565
   1.21608   2.2527E+03  5.3282E+17   9.7281
   1.22242   2.2332E+03  7.0226E+17   8.2033
   1.22244   1.9440E+03  5.4927E+17   9.7746
   1.22322   2.1253E+03  5.7943E+17  10.1667
   1.22341   2.6753E+03  6.9000E+17   9.1310
   1.22970   2.3356E+03  6.2166E+17   9.2327
   1.22975   2.4217E+03  4.6497E+17  10.8425
