{NUMBER OF COLUMNS}  4 
*
*     psin         Jsat          Ne       Te
*  ?     (Amps)   (eV)
{DATA LIST} 
   0.91401   2.9393E+03  8.2518E+17   5.1536
   0.92492   2.6611E+03  9.8416E+17   2.9699
   0.94699   3.0920E+03  1.0218E+18   6.4557
   0.94709   3.3441E+03  1.0319E+18   7.2938
   0.94794   3.5858E+03  9.6399E+17   9.6262
   0.95251   3.6789E+03  9.5438E+17  10.7249
   0.95253   4.0157E+03  9.8975E+17  11.6596
   0.95260   4.0659E+03  6.2851E+17  16.9988
   0.95342   4.7500E+03  7.4894E+17  16.3388
{END}
