{NUMBER OF COLUMNS}  4 
*
*     psin         Jsat          Ne       Te
*  ?     (Amps)   (eV)
{DATA LIST} 
   0.91401   7.7311E+03  2.1704E+18   5.1536
   0.92492   6.9995E+03  2.5886E+18   2.9699
   0.94699   8.2182E+03  2.5392E+18   6.2998
   0.94709   8.6072E+03  2.6072E+18   7.4141
   0.94794   9.3198E+03  2.6102E+18   9.1520
   0.95251   9.8321E+03  2.4033E+18  11.2607
   0.95253   1.0572E+04  2.2544E+18  13.0696
   0.95260   1.0694E+04  1.6531E+18  16.9988
   0.95342   1.2494E+04  1.9699E+18  16.3388
{END}
