{NUMBER OF COLUMNS}       3
*       PSIn        Density         Te
*                    (m-3)         (eV)
{DATA LIST}
    0.650390    3.21E+19      470.25
    0.650412    3.21E+19      466.96
    0.654912    3.24E+19      462.21
    0.662737    3.24E+19      460.45
    0.663168    3.26E+19      458.74
    0.666040    3.29E+19      458.71
    0.668174    3.24E+19      463.01
    0.669398    3.25E+19      460.82
    0.670900    3.26E+19      456.93
    0.671030    3.27E+19      453.99
    0.671339    3.28E+19      453.87
    0.671485    3.27E+19      451.32
    0.673193    3.29E+19      443.44
    0.673352    3.29E+19      437.32
    0.673843    3.32E+19      435.20
    0.675437    3.31E+19      431.90
    0.675550    3.31E+19      427.75
    0.683124    3.33E+19      422.73
    0.683153    3.32E+19      417.21
    0.686324    3.32E+19      416.07
    0.689571    3.33E+19      411.08
    0.690797    3.31E+19      412.13
    0.691442    3.35E+19      418.49
    0.695225    3.35E+19      416.89
    0.702502    3.35E+19      414.62
    0.702883    3.35E+19      412.31
    0.706119    3.34E+19      410.38
    0.707036    3.36E+19      407.89
    0.709366    3.40E+19      406.25
    0.709867    3.39E+19      402.87
    0.710207    3.40E+19      400.26
    0.710230    3.41E+19      397.19
    0.711223    3.41E+19      395.32
    0.711860    3.44E+19      393.79
    0.712300    3.45E+19      391.81
    0.712914    3.47E+19      387.92
    0.713940    3.49E+19      385.91
    0.714707    3.49E+19      385.98
    0.721637    3.42E+19      389.52
    0.722447    3.45E+19      389.60
    0.725718    3.52E+19      389.32
    0.728965    3.56E+19      388.92
    0.729447    3.57E+19      379.76
    0.730807    3.56E+19      370.73
    0.733845    3.54E+19      372.24
    0.740044    3.57E+19      371.56
    0.741224    3.56E+19      370.22
    0.744345    3.56E+19      369.60
    0.747447    3.62E+19      364.91
    0.747540    3.63E+19      365.14
    0.747615    3.62E+19      361.88
    0.749201    3.62E+19      361.73
    0.750553    3.65E+19      361.02
    0.750773    3.65E+19      358.15
    0.751890    3.66E+19      354.75
    0.752386    3.68E+19      355.22
    0.753011    3.67E+19      354.80
    0.753682    3.68E+19      357.07
    0.754373    3.69E+19      356.69
    0.757722    3.71E+19      355.82
    0.759344    3.70E+19      352.07
    0.762497    3.70E+19      351.12
    0.765295    3.64E+19      352.38
    0.765597    3.72E+19      348.59
    0.767336    3.74E+19      345.90
    0.769688    3.79E+19      339.34
    0.775132    3.80E+19      342.81
    0.777217    3.84E+19      340.25
    0.780401    3.81E+19      342.66
    0.782780    3.79E+19      338.48
    0.783500    3.82E+19      331.44
    0.785206    3.91E+19      327.79
    0.787093    3.90E+19      325.24
    0.788655    3.93E+19      323.03
    0.791729    3.94E+19      321.25
    0.791732    3.95E+19      320.56
    0.791776    3.97E+19      319.29
    0.793234    3.97E+19      317.13
    0.794163    3.98E+19      313.20
    0.794168    4.01E+19      310.20
    0.794917    4.02E+19      304.09
    0.795037    4.06E+19      302.28
    0.797159    4.09E+19      300.63
    0.799023    4.10E+19      296.16
    0.800079    4.07E+19      298.18
    0.801698    4.03E+19      299.74
    0.803235    4.04E+19      300.09
    0.807514    4.13E+19      293.81
    0.810373    4.13E+19      294.84
    0.813398    4.16E+19      289.26
    0.814830    4.19E+19      288.23
    0.816314    4.20E+19      286.92
    0.817917    4.21E+19      286.26
    0.819083    4.28E+19      283.21
    0.822937    4.26E+19      280.67
    0.826287    4.31E+19      275.49
    0.829338    4.36E+19      271.01
    0.829808    4.44E+19      263.30
    0.830320    4.46E+19      263.03
    0.832250    4.48E+19      260.41
    0.832789    4.49E+19      258.22
    0.832981    4.52E+19      260.51
    0.833838    4.52E+19      259.03
    0.834225    4.54E+19      258.10
    0.834611    4.55E+19      257.92
    0.835447    4.55E+19      257.23
    0.835852    4.57E+19      256.48
    0.836269    4.58E+19      257.58
    0.837794    4.49E+19      258.78
    0.841346    4.49E+19      257.14
    0.844173    4.48E+19      257.52
    0.844702    4.53E+19      259.51
    0.846883    4.51E+19      261.30
    0.848356    4.44E+19      262.09
    0.848725    4.43E+19      260.84
    0.851402    4.56E+19      255.73
    0.855445    4.55E+19      256.93
    0.858298    4.48E+19      253.15
    0.858369    4.42E+19      254.85
    0.861003    4.45E+19      248.68
    0.862426    4.46E+19      245.84
    0.862462    4.50E+19      240.60
    0.864648    4.56E+19      236.19
    0.869204    4.62E+19      231.35
    0.871671    4.57E+19      224.63
    0.871799    4.60E+19      224.39
    0.872081    4.64E+19      218.45
    0.874665    4.64E+19      216.23
    0.874781    4.64E+19      214.04
    0.875044    4.65E+19      212.75
    0.875762    4.67E+19      211.44
    0.875975    4.68E+19      210.43
    0.876224    4.67E+19      209.73
    0.877437    4.69E+19      208.36
    0.877480    4.70E+19      206.56
    0.877506    4.69E+19      205.77
    0.878368    4.59E+19      207.69
    0.882482    4.59E+19      205.80
    0.884345    4.57E+19      209.66
    0.885106    4.62E+19      208.69
    0.887585    4.66E+19      211.39
    0.888133    4.68E+19      210.07
    0.888906    4.65E+19      212.10
    0.889219    4.60E+19      211.29
    0.894350    4.55E+19      213.76
    0.895755    4.58E+19      215.47
    0.896995    4.60E+19      212.82
    0.899469    4.65E+19      214.74
    0.899573    4.68E+19      209.25
    0.900178    4.57E+19      200.87
    0.900775    4.57E+19      199.42
    0.905838    4.50E+19      193.38
    0.906762    4.56E+19      190.52
    0.908503    4.48E+19      184.12
    0.910607    4.39E+19      176.66
    0.910709    4.30E+19      168.56
    0.910972    4.33E+19      166.65
    0.912264    4.25E+19      158.53
    0.913829    4.31E+19      157.72
