{NUMBER OF COLUMNS}  4 
*
*     psin         Jsat          Ne       Te
*  ?     (Amps)   (eV)
{DATA LIST} 
   1.09489   4.2234E+03  1.1364E+18   5.0937
   1.10153   4.2160E+03  1.2018E+18   4.3781
   1.10202   4.1746E+03  1.1886E+18   4.4346
   1.10217   4.1250E+03  1.1415E+18   4.8959
   1.10261   3.4745E+03  1.0597E+18   3.9161
   1.10922   3.6080E+03  1.0810E+18   3.9668
   1.10967   3.5568E+03  1.0413E+18   4.1065
   1.10987   3.7091E+03  1.0743E+18   4.4892
   1.11000   4.6711E+03  1.2478E+18   5.5257
   1.11032   4.7918E+03  1.4620E+18   5.3596
   1.11690   2.9790E+03  1.0183E+18   5.1663
   1.11732   2.8661E+03  9.4881E+17   5.7339
   1.11758   3.5404E+03  1.1408E+18   5.4545
   1.11768   3.8255E+03  1.2752E+18   4.7276
   1.11804   3.7539E+03  1.0048E+18   5.5110
   1.12455   3.8206E+03  1.0988E+18   5.0238
   1.12494   4.0426E+03  1.1573E+18   5.0032
   1.12525   3.8634E+03  1.1179E+18   4.9068
   1.12533   2.6595E+03  8.2440E+17   4.5594
   1.12572   3.8871E+03  1.1186E+18   4.9470
   1.13220   4.1199E+03  1.0863E+18   5.6143
   1.13256   4.2810E+03  1.1206E+18   5.7230
   1.13292   3.9340E+03  9.9317E+17   6.4654
   1.13298   3.6577E+03  9.1068E+17   7.8563
   1.13341   2.3328E+03  5.5626E+17   9.3288
   1.13986   1.8933E+03  4.6621E+17   9.0221
   1.14018   1.5575E+03  4.5356E+17   8.1216
   1.14060   1.5368E+03  7.1001E+17   6.4903
   1.14064   2.3669E+03  9.4688E+17   5.1857
   1.14747   2.3335E+03  1.0829E+18   2.5507
   1.14776   2.5777E+03  1.2276E+18   2.1590
   1.14823   2.5622E+03  1.1574E+18   2.9262
   1.14825   2.9103E+03  1.0666E+18   3.5008
   1.15507   2.2507E+03  8.8094E+17   3.4028
   1.15533   2.7105E+03  8.7674E+17   4.4929
   1.15585   2.5770E+03  7.4704E+17   5.0745
   1.15586   2.3174E+03  6.7599E+17   5.4305
   1.16268   1.8052E+03  4.9107E+17   5.5764
   1.16291   2.9415E+03  2.1074E+18   4.7266
   1.16346   2.7677E+03  2.2578E+18   3.7168
   1.16348   2.2255E+03  2.1066E+18   4.2189
   1.17024   2.1986E+03  2.1112E+18   3.1477
   1.17044   2.3068E+03  2.1753E+18   2.8152
   1.17102   1.5447E+03  7.0929E+17   3.3587
   1.17107   1.3029E+03  4.3791E+17   5.0334
   1.17795   1.4249E+03  4.6448E+17   5.0680
   1.17863   1.5121E+03  4.7491E+17   6.0391
   1.17917   1.3692E+03  3.8309E+17   7.2304
   1.18531   1.0794E+03  2.4183E+17   8.0877
   1.18609   1.3941E+03  3.2933E+17   7.5498
   1.18618   1.2552E+03  3.0036E+17   7.3621
   1.18674   1.2215E+03  2.9303E+17   7.2887
   1.19282   1.7039E+03  4.0690E+17   7.1241
   1.19427   1.5882E+03  3.8493E+17   6.7439
   1.20025   1.2624E+03  3.2112E+17   6.2097
   1.20033   1.2168E+03  3.2374E+17   5.2124
   1.20116   1.4590E+03  4.2615E+17   4.4595
   1.21514   1.3191E+03  4.7248E+17   3.4999
   1.23808   2.9512E+03  1.2348E+18   2.8270
   1.24531   3.5909E+03  1.4754E+18   2.6619
   1.25249   3.9404E+03  1.6454E+18   2.5383
   1.25968   4.3573E+03  1.5753E+18   3.1076
   1.26679   2.1279E+03  1.0054E+18   1.8195
{END}
