* Fits to upstream data sent by Karl via email on 17/04/12			
"* shot 81127, 57.0-58.0 s"			
* psin     ne                   Te			
*      [1E+19 m-3]   [eV]			
{DATA}			
0.60	1.8418	643.7	
0.70	1.6772	496.1	
0.80	1.4532	345.2	
0.90	1.2711	194.3	
0.92	1.2220	169.7	
0.94	1.1444	145.5	
0.95	1.0890	132.9	
0.96	1.0187	119.7	
0.97	0.9299	105.4	
0.98	0.8189	89.4	
0.99	0.6815	71.3	
1.00	0.4333	52.3	fake data for Te below here
1.01	0.2931	37.0	
1.02	0.1983	26.6	
1.03	0.1342	19.6	
1.04	0.0908	14.9	
1.05	0.0614	11.7	
1.06	0.0416	9.5	
1.08	0.0190	7.1	
1.10	0.0087	5.9	
1.12	0.0040	5.4	
{END} 			
