# ITER#1512 (F57 ref-20-NF-C0, tau=0.45e-6, ntime=150)  - 81.4 ms
# parallel velocity (up) (m.s-1)
   ix   iy      x           y           z01           z02           z03           z04           z05           z06           z07           z08           z09
    1    1  4.1805E+03 -3.8836E+03 -1.806924E+03 -1.819759E+03 -1.810730E+03 -1.828872E+03 -1.813386E+03 -1.810076E+03 -1.808787E+03 -1.808182E+03 -1.807813E+03
    2    1  4.1824E+03 -3.8828E+03 -9.324060E+02 -9.522695E+02 -9.389813E+02 -9.690461E+02 -9.437163E+02 -9.384987E+02 -9.365281E+02 -9.356178E+02 -9.350772E+02
    3    1  4.1844E+03 -3.8820E+03 -1.011930E+03 -1.017349E+03 -1.013952E+03 -1.021515E+03 -1.015133E+03 -1.013809E+03 -1.013312E+03 -1.013084E+03 -1.012949E+03
    4    1  4.1869E+03 -3.8810E+03 -7.485707E+02 -7.480656E+02 -7.480819E+02 -7.452717E+02 -7.473619E+02 -7.476685E+02 -7.477450E+02 -7.477663E+02 -7.477700E+02
    5    1  4.1905E+03 -3.8796E+03 -4.466158E+02 -4.493483E+02 -4.471654E+02 -4.522699E+02 -4.478912E+02 -4.470585E+02 -4.467466E+02 -4.465921E+02 -4.465020E+02
    6    1  4.1960E+03 -3.8775E+03 -7.109614E+02 -7.095713E+02 -7.099678E+02 -7.082804E+02 -7.093649E+02 -7.097293E+02 -7.098537E+02 -7.099041E+02 -7.099268E+02
    7    1  4.2042E+03 -3.8742E+03 -1.018697E+03 -1.011038E+03 -1.014991E+03 -1.000745E+03 -1.012021E+03 -1.014252E+03 -1.015006E+03 -1.015330E+03 -1.015494E+03
    8    1  4.2161E+03 -3.8696E+03 -1.167270E+03 -1.159837E+03 -1.162845E+03 -1.147905E+03 -1.160115E+03 -1.161966E+03 -1.162488E+03 -1.162673E+03 -1.162748E+03
    9    1  4.2326E+03 -3.8631E+03 -1.641883E+03 -1.641317E+03 -1.639639E+03 -1.634628E+03 -1.640092E+03 -1.639366E+03 -1.638810E+03 -1.638474E+03 -1.638255E+03
   10    1  4.2548E+03 -3.8546E+03 -2.105195E+03 -2.105602E+03 -2.105100E+03 -2.095217E+03 -2.105655E+03 -2.105106E+03 -2.104465E+03 -2.104085E+03 -2.103840E+03
   11    1  4.2836E+03 -3.8436E+03 -1.909846E+03 -1.907414E+03 -1.909669E+03 -1.897008E+03 -1.908457E+03 -1.909459E+03 -1.909592E+03 -1.909629E+03 -1.909630E+03
   12    1  4.3204E+03 -3.8299E+03 -1.216149E+03 -1.215627E+03 -1.215586E+03 -1.215215E+03 -1.215034E+03 -1.215369E+03 -1.215540E+03 -1.215639E+03 -1.215687E+03
   13    1  4.3667E+03 -3.8129E+03 -7.551970E+02 -7.488930E+02 -7.525634E+02 -7.429534E+02 -7.498918E+02 -7.520626E+02 -7.528850E+02 -7.532832E+02 -7.534946E+02
   14    1  4.4249E+03 -3.7925E+03 -4.777104E+02 -4.625464E+02 -4.721909E+02 -4.484930E+02 -4.663513E+02 -4.713702E+02 -4.732829E+02 -4.742198E+02 -4.747426E+02
   15    1  4.4971E+03 -3.7686E+03 -2.817469E+02 -2.694912E+02 -2.776158E+02 -2.601340E+02 -2.731305E+02 -2.771649E+02 -2.787379E+02 -2.795235E+02 -2.799771E+02
   16    1  4.5842E+03 -3.7423E+03 -2.627398E+02 -2.606439E+02 -2.623735E+02 -2.590690E+02 -2.617739E+02 -2.624534E+02 -2.626914E+02 -2.628174E+02 -2.628963E+02
   17    1  4.6845E+03 -3.7170E+03 -2.613874E+02 -2.632691E+02 -2.622213E+02 -2.642405E+02 -2.630243E+02 -2.623685E+02 -2.620857E+02 -2.619362E+02 -2.618529E+02
   18    1  4.7929E+03 -3.6989E+03 -4.937775E+02 -4.933789E+02 -4.935290E+02 -4.926473E+02 -4.935050E+02 -4.935050E+02 -4.934721E+02 -4.934229E+02 -4.934238E+02
   19    1  4.8964E+03 -3.6959E+03 -5.658390E+02 -5.674875E+02 -5.661283E+02 -5.699416E+02 -5.671029E+02 -5.662574E+02 -5.659136E+02 -5.657191E+02 -5.656294E+02
   20    1  4.9755E+03 -3.7077E+03 -8.356452E+02 -8.404150E+02 -8.366936E+02 -8.476200E+02 -8.392809E+02 -8.371397E+02 -8.363434E+02 -8.359411E+02 -8.357141E+02
   21    1  5.4416E+03 -2.6135E+03 -1.486614E+02 -1.073720E+02 -6.848508E+01 -1.880544E+03 -1.859757E+03 -1.779138E+03 -1.589222E+03 -6.110927E+02  6.816598E+02
   22    1  5.3527E+03 -2.5513E+03 -1.382819E+02 -1.059242E+02 -6.601653E+01 -1.908836E+03 -1.876781E+03 -1.787075E+03 -1.593240E+03 -6.163210E+02  6.662224E+02
   23    1  5.1855E+03 -2.3739E+03 -1.233951E+02 -1.018645E+02 -6.475125E+01 -1.928919E+03 -1.898871E+03 -1.813546E+03 -1.625097E+03 -6.273126E+02  6.719743E+02
   24    1  5.0190E+03 -2.1003E+03 -1.054929E+02 -9.512839E+01 -6.356502E+01 -1.854583E+03 -1.829948E+03 -1.753369E+03 -1.578805E+03 -5.970481E+02  6.719850E+02
   25    1  4.8749E+03 -1.7821E+03 -8.515606E+01 -8.704071E+01 -6.037592E+01 -1.670843E+03 -1.649951E+03 -1.584161E+03 -1.431474E+03 -5.262034E+02  6.347204E+02
   26    1  4.7513E+03 -1.4488E+03 -6.595719E+01 -7.865377E+01 -5.588748E+01 -1.431574E+03 -1.413948E+03 -1.359948E+03 -1.233080E+03 -4.413689E+02  5.660904E+02
   27    1  4.6451E+03 -1.1082E+03 -4.989059E+01 -6.968558E+01 -5.106592E+01 -1.176774E+03 -1.163687E+03 -1.121880E+03 -1.021268E+03 -3.585104E+02  4.792590E+02
   28    1  4.5555E+03 -7.6268E+02 -3.661787E+01 -6.029734E+01 -4.593252E+01 -9.115182E+02 -9.025896E+02 -8.721638E+02 -7.970774E+02 -2.774360E+02  3.759448E+02
   29    1  4.4819E+03 -4.1310E+02 -2.579998E+01 -5.054625E+01 -4.086080E+01 -6.372805E+02 -6.319152E+02 -6.121886E+02 -5.620627E+02 -1.969164E+02  2.608389E+02
   30    1  4.4237E+03 -6.0661E+01 -1.667401E+01 -4.049971E+01 -3.567871E+01 -3.552385E+02 -3.525246E+02 -3.425983E+02 -3.166906E+02 -1.151401E+02  1.373758E+02
   31    1  4.3824E+03  2.9378E+02 -8.479101E+00 -3.040650E+01 -3.049703E+01 -6.894615E+01 -6.867309E+01 -6.801920E+01 -6.561093E+01 -3.243463E+01  9.243068E+00
