   54   26   48    1   54     /                   /                        ADF11
 -------------------------------------------------------------------------------
  10.00000  10.20000  10.40000  10.60000  10.80000  11.00000  11.20000  11.40000
  11.60000  11.80000  12.00000  12.20000  12.40000  12.60000  12.80000  13.00000
  13.20000  13.40000  13.60000  13.80000  14.00000  14.20000  14.40000  14.60000
  14.80000  15.00000
    .00000    .09998    .19996    .29993    .39991    .49989    .59987    .69985
    .79982    .89980    .99978   1.09976   1.19974   1.29972   1.39969   1.49967
   1.59965   1.69963   1.79961   1.89958   1.99956   2.09954   2.19952   2.29950
   2.39947   2.49945   2.59943   2.69941   2.79939   2.89936   2.99934   3.09932
   3.19930   3.29928   3.39925   3.49923   3.59921   3.69919   3.79917   3.89915
   3.99912   4.09910   4.19908   4.29906   4.39904   4.49901   4.59899   4.69897
 --------------------/ IPRT= 1  / IGRD= 1  /        / Z1= 1   / DATE= 30.01.98
 -29.93593 -29.93608 -29.93608 -29.93628 -29.93628 -29.93655 -29.93655 -29.93655
 -29.93694 -29.93694 -29.93752 -29.93752 -29.93752 -29.93752 -29.93845 -29.93845
 -29.93845 -29.93845
 -29.89003 -29.89006 -29.89010 -29.89015 -29.89021 -29.89021 -29.89028 -29.89037
 -29.89037 -29.89049 -29.89049 -29.89065 -29.89065 -29.89087 -29.89087 -29.89087
 -29.89118 -29.89118 -29.89118 -29.89165 -29.89165 -29.89165 -29.89239 -29.89239
 -29.89239 -29.89239
 -29.84462 -29.84465 -29.84468 -29.84472 -29.84472 -29.84476 -29.84482 -29.84482
 -29.84490 -29.84499 -29.84499 -29.84512 -29.84512 -29.84512 -29.84530 -29.84530
 -29.84555 -29.84555 -29.84555 -29.84592 -29.84592 -29.84592 -29.84652 -29.84652
 -29.84652 -29.84652
 -29.79944 -29.79946 -29.79949 -29.79949 -29.79952 -29.79956 -29.79960 -29.79960
 -29.79966 -29.79966 -29.79974 -29.79974 -29.79984 -29.79984 -29.79999 -29.79999
 -29.80019 -29.80019 -29.80019 -29.80049 -29.80049 -29.80049 -29.80049 -29.80097
 -29.80097 -29.80097
 -29.75465 -29.75467 -29.75469 -29.75469 -29.75471 -29.75474 -29.75474 -29.75478
 -29.75483 -29.75483 -29.75489 -29.75489 -29.75497 -29.75497 -29.75509 -29.75509
 -29.75509 -29.75525 -29.75525 -29.75549 -29.75549 -29.75549 -29.75549 -29.75587
 -29.75587 -29.75587
 -29.71074 -29.71074 -29.71075 -29.71077 -29.71078 -29.71081 -29.71081 -29.71084
 -29.71088 -29.71088 -29.71093 -29.71093 -29.71099 -29.71099 -29.71109 -29.71109
 -29.71109 -29.71122 -29.71122 -29.71122 -29.71141 -29.71141 -29.71141 -29.71172
 -29.71172 -29.71172
 -29.66762 -29.66763 -29.66764 -29.66765 -29.66767 -29.66767 -29.66769 -29.66771
 -29.66771 -29.66774 -29.66778 -29.66778 -29.66784 -29.66784 -29.66784 -29.66791
 -29.66791 -29.66802 -29.66802 -29.66802 -29.66817 -29.66817 -29.66817 -29.66842
 -29.66842 -29.66842
 -29.62427 -29.62428 -29.62429 -29.62430 -29.62430 -29.62431 -29.62433 -29.62435
 -29.62435 -29.62437 -29.62437 -29.62440 -29.62440 -29.62445 -29.62445 -29.62451
 -29.62451 -29.62459 -29.62459 -29.62459 -29.62472 -29.62472 -29.62472 -29.62472
 -29.62492 -29.62492
 -29.58073 -29.58073 -29.58074 -29.58075 -29.58075 -29.58076 -29.58077 -29.58077
 -29.58079 -29.58081 -29.58081 -29.58083 -29.58083 -29.58087 -29.58087 -29.58092
 -29.58092 -29.58092 -29.58099 -29.58099 -29.58109 -29.58109 -29.58109 -29.58109
 -29.58125 -29.58125
 -29.53719 -29.53719 -29.53719 -29.53720 -29.53720 -29.53721 -29.53722 -29.53722
 -29.53724 -29.53725 -29.53725 -29.53727 -29.53727 -29.53730 -29.53730 -29.53734
 -29.53734 -29.53734 -29.53739 -29.53739 -29.53739 -29.53748 -29.53748 -29.53748
 -29.53761 -29.53761
 -29.49341 -29.49341 -29.49342 -29.49342 -29.49343 -29.49343 -29.49343 -29.49344
 -29.49345 -29.49345 -29.49347 -29.49348 -29.49348 -29.49351 -29.49351 -29.49351
 -29.49354 -29.49354 -29.49358 -29.49358 -29.49358 -29.49365 -29.49365 -29.49365
 -29.49375 -29.49375
 -29.44956 -29.44957 -29.44957 -29.44957 -29.44958 -29.44958 -29.44958 -29.44959
