{NUMBER OF COLUMNS}  5
* 21700 @ 2400 ms
* play data taken from SOLPS run
*
*  psin         n_e             v||             Te              Ti     
*               (m-3)           (M)             (eV)            (eV) 
{DATA}
7.407777E-01    2.378295E+19    1.509449E+04    4.603143E+02    5.054887E+02
8.100027E-01	2.348909E+19    2.101978E+04	3.663430E+02	3.986348E+02
8.650237E-01	2.337567E+19    1.894785E+04	3.103510E+02	3.592192E+02
9.077310E-01	2.278568E+19    1.678054E+04	2.608632E+02	3.150139E+02
9.398540E-01	2.206721E+19    1.430729E+04	2.091217E+02	2.656642E+02
9.631875E-01	2.071474E+19    1.187636E+04	1.616447E+02	2.162575E+02
9.793607E-01	1.827701E+19    8.645898E+03	1.229619E+02	1.740698E+02
9.902602E-01	1.521258E+19    6.055983E+03	9.535665E+01	1.443242E+02
9.985799E-01	1.325150E+19    3.436115E+03	7.691445E+01	1.254511E+02
1.001208E+00	1.192534E+19    1.502999E+03	6.730235E+01	1.180732E+02
1.004215E+00	1.105688E+19   -5.209707E+02	6.076470E+01	1.128727E+02
1.008529E+00	9.879218E+18   -2.979828E+03	5.315122E+01	1.059684E+02
1.014456E+00	8.345878E+18   -4.942839E+03	4.541370E+01	9.765737E+01
1.021740E+00	6.733089E+18   -5.762252E+03	3.818945E+01	8.886646E+01
1.031114E+00	5.115669E+18   -5.815784E+03	3.218506E+01	8.068644E+01
1.042022E+00	3.876374E+18   -6.228260E+03	2.716760E+01	7.363524E+01
1.054874E+00	3.032286E+18   -7.650539E+03	2.193568E+01	6.708891E+01
1.070393E+00	2.455421E+18   -9.426220E+03	1.529847E+01	6.074892E+01
1.15            1.0E+17         0.0             5.0             10.0
{END}


















