# AUG16Fluids FromSolPSToSteve.py generated @ Monday, 07. January 2013 09:19
# parallel velocity (up) (m.s-1)
   ix   iy      x           y           z01           z02           z03           z04           z05           z06           z07           z08           z09           z10           z11           z12           z13           z14           z15           z16
   11    1  1.3678E+00 -1.0446E+00 -8.635741E+03 -6.054189E+03 -6.013813E+03 -5.379935E+03 -4.915563E+03 -4.596235E+03 -4.366789E+03 -8.970246E+03 -6.966808E+03 -5.400809E+03 -5.874359E+03 -5.340681E+03 -4.933006E+03 -4.639991E+03 -4.422864E+03 -4.254093E+03
   12    1  1.3905E+00 -1.0407E+00 -8.316814E+03 -5.640888E+03 -5.602395E+03 -4.998940E+03 -4.578333E+03 -4.309300E+03 -4.133636E+03 -8.526203E+03 -6.562022E+03 -5.030867E+03 -5.462460E+03 -4.933797E+03 -4.557521E+03 -4.309055E+03 -4.142414E+03 -4.025099E+03
   13    1  1.4125E+00 -1.0400E+00 -7.922530E+03 -5.212065E+03 -5.168514E+03 -4.584547E+03 -4.193687E+03 -3.956465E+03 -3.812073E+03 -8.063125E+03 -6.125197E+03 -4.649783E+03 -5.042301E+03 -4.501172E+03 -4.143642E+03 -3.924177E+03 -3.789479E+03 -3.698840E+03
   14    1  1.5278E+00 -4.7420E-01  1.488435E+04  2.655373E+04  2.649016E+04  2.631020E+04  2.588550E+04  2.006838E+04  2.016251E+04  2.670913E+04  1.545783E+04  1.147097E+05  1.288059E+05  1.240481E+05  4.315160E+04  2.048851E+04  1.971970E+04  2.080775E+04
   15    1  1.5114E+00 -4.6887E-01  1.489322E+04  2.622423E+04  2.619234E+04  2.610050E+04  2.586974E+04  2.032397E+04  2.058750E+04  3.139770E+04  1.556479E+04  1.103675E+05  1.335737E+05  1.306756E+05  4.145544E+04  2.074950E+04  2.017333E+04  2.143456E+04
   16    1  1.4697E+00 -4.4770E-01  1.478405E+04  2.524088E+04  2.525865E+04  2.531722E+04  2.542889E+04  2.061539E+04  2.121554E+04  3.104742E+04  1.566959E+04  8.826575E+04  1.209313E+05  1.322125E+05  3.717001E+04  2.097655E+04  2.080778E+04  2.233054E+04
   17    1  1.4007E+00 -3.9120E-01  1.498110E+04  2.395807E+04  2.406496E+04  2.436169E+04  2.498631E+04  2.142741E+04  2.256676E+04  2.287432E+04  1.622122E+04 -2.151489E+04  6.121913E+03  1.013311E+05  3.192970E+04  2.163155E+04  2.214355E+04  2.405905E+04
   18    1  1.3289E+00 -2.9118E-01  1.545365E+04  2.284640E+04  2.304664E+04  2.357200E+04  2.466034E+04  2.221158E+04  2.357902E+04  2.405825E+03  1.702175E+04 -7.882525E+04 -7.549027E+04  9.527575E+02  2.718727E+04  2.229097E+04  2.324329E+04  2.522658E+04
   19    1  1.2748E+00 -1.5386E-01  1.593139E+04  2.179703E+04  2.206059E+04  2.273158E+04  2.411223E+04  2.230652E+04  2.342045E+04 -6.739981E+03  1.765508E+04 -7.745649E+04 -7.528125E+04 -6.199635E+04  2.311381E+04  2.236559E+04  2.328466E+04  2.490364E+04
   20    1  1.2514E+00  7.5673E-03  1.622593E+04  2.058433E+04  2.088299E+04  2.163442E+04  2.317566E+04  2.168620E+04  2.217887E+04 -3.231326E+03  1.792180E+04 -7.251726E+04 -7.187284E+04 -7.238890E+04  1.882359E+04  2.179333E+04  2.234848E+04  2.319221E+04
   21    1  1.2664E+00  1.7857E-01  1.623262E+04  1.890081E+04  1.920221E+04  1.997154E+04  2.155061E+04  2.013924E+04  1.978556E+04 -2.821434E+02  1.770722E+04 -6.790289E+04 -6.826309E+04 -7.788118E+04  1.302372E+04  2.030975E+04  2.023999E+04  2.002768E+04
   22    1  1.3237E+00  3.4063E-01  1.587625E+04  1.639038E+04  1.664893E+04  1.734724E+04  1.878921E+04  1.740118E+04  1.633712E+04  1.813930E+02  1.688923E+04 -6.443955E+04 -6.759686E+04 -8.280632E+04  4.821574E+03  1.754533E+04  1.686103E+04  1.578178E+04
   23    1  1.4166E+00  4.6770E-01  1.524390E+04  1.305976E+04  1.320716E+04  1.367508E+04  1.465898E+04  1.343277E+04  1.199390E+04 -5.806555E+03  1.553189E+04 -6.572621E+04 -7.521166E+04 -8.533079E+04 -4.832178E+03  1.340066E+04  1.235216E+04  1.075827E+04
   24    1  1.5193E+00  5.3893E-01  1.476000E+04  1.002037E+04  1.003974E+04  1.022226E+04  1.061892E+04  1.001568E+04  8.753984E+03 -2.858611E+04  1.433678E+04 -7.483570E+04 -8.520382E+04 -8.161208E+04 -1.367914E+04  9.701873E+03  8.829493E+03  7.229394E+03
   25    1  1.6225E+00  5.5996E-01  1.463293E+04  7.908393E+03  7.811450E+03  7.715044E+03  7.522045E+03  7.804782E+03  7.022086E+03 -3.263809E+04  1.360781E+04 -8.303317E+04 -8.233265E+04 -7.317971E+04 -2.025061E+04  7.184647E+03  6.794197E+03  5.428974E+03
   26    1  1.7463E+00  5.3135E-01  1.474912E+04  6.812208E+03  6.615170E+03  6.267900E+03  5.531895E+03  6.374397E+03  6.020550E+03 -2.908492E+04  1.319473E+04 -7.796513E+04 -7.190982E+04 -6.297734E+04 -2.345884E+04  5.518408E+03  5.546628E+03  4.376972E+03
   27    1  1.8782E+00  4.3914E-01  1.492225E+04  6.805842E+03  6.535589E+03  6.004579E+03  4.855858E+03  5.457600E+03  5.298374E+03 -2.228709E+04  1.293777E+04 -5.598869E+04 -5.304327E+04 -4.709954E+04 -2.267591E+04  4.507683E+03  4.650085E+03  3.559789E+03
   28    1  1.9782E+00  2.9388E-01  1.503445E+04  7.808035E+03  7.491751E+03  6.837333E+03  5.406675E+03  5.184698E+03  5.021971E+03 -1.366225E+04  1.279103E+04 -1.574259E+04 -1.959551E+04 -2.183272E+04 -1.504934E+04  4.274659E+03  4.252504E+03  3.215294E+03
   29    1  2.0249E+00  1.2261E-01  1.509449E+04  9.756917E+03  9.428523E+03  8.710373E+03  7.102497E+03  5.521122E+03  5.177195E+03 -5.128649E+03  1.277505E+04 -4.736800E+03 -4.508605E+03 -1.694590E+03  6.279738E+02  4.748189E+03  4.336423E+03  3.315573E+03
   30    1  2.0154E+00 -5.0942E-02  1.514164E+04  1.250798E+04  1.218705E+04  1.143644E+04  9.723047E+03  6.407435E+03  5.659762E+03  4.202260E+03  1.291201E+04  5.672001E+03  1.092801E+04  1.622592E+04  1.461072E+04  5.863730E+03  4.813115E+03  3.707724E+03
   31    1  1.9577E+00 -2.0851E-01  1.515255E+04  1.582079E+04  1.551157E+04  1.474051E+04  1.297130E+04  7.855214E+03  6.556355E+03  1.289623E+04  1.317455E+04  7.607726E+03  1.339049E+04  2.325858E+04  2.621257E+04  7.593469E+03  5.773182E+03  4.510445E+03
   32    1  1.8663E+00 -3.3673E-01  1.506159E+04  1.933970E+04  1.903470E+04  1.824553E+04  1.645894E+04  9.810737E+03  7.962962E+03  2.173926E+04  1.348050E+04  2.706253E+04  4.188707E+04  5.591568E+04  4.053543E+04  9.834425E+03  7.306548E+03  5.887886E+03
   33    1  1.7589E+00 -4.2565E-01  1.488177E+04  2.258716E+04  2.230129E+04  2.155108E+04  1.987387E+04  1.236242E+04  1.029571E+04  2.930013E+04  1.384992E+04  5.555736E+04  6.993352E+04  8.000698E+04  4.628184E+04  1.260414E+04  9.771662E+03  8.440036E+03
   34    1  1.6575E+00 -4.7058E-01  1.474295E+04  2.492549E+04  2.469737E+04  2.409157E+04  2.273101E+04  1.535291E+04  1.374870E+04  3.004377E+04  1.435942E+04  7.889687E+04  9.131683E+04  9.711458E+04  4.686764E+04  1.567874E+04  1.326123E+04  1.254522E+04
   35    1  1.5850E+00 -4.8122E-01  1.472138E+04  2.599707E+04  2.583402E+04  2.539562E+04  2.439748E+04  1.768517E+04  1.681797E+04  3.452106E+04  1.485201E+04  9.866138E+04  1.069687E+05  1.079143E+05  4.525735E+04  1.801672E+04  1.631013E+04  1.635268E+04
   36    1  1.5514E+00 -4.7927E-01  1.474870E+04  2.638360E+04  2.626168E+04  2.593124E+04  2.517252E+04  1.892142E+04  1.853617E+04  3.006003E+04  1.513756E+04  1.079085E+05  1.157844E+05  1.135937E+05  4.433319E+04  1.927265E+04  1.803378E+04  1.857279E+04
   37    1  1.5387E+00 -4.7691E-01  1.480539E+04  2.656922E+04  2.647753E+04  2.622662E+04  2.564652E+04  1.965793E+04  1.957364E+04  2.615277E+04  1.531424E+04  1.128823E+05  1.227671E+05  1.186980E+05  4.382675E+04  2.004744E+04  1.909925E+04  1.997607E+04
   38    1  1.4344E+00 -1.0433E+00 -7.447010E+03 -4.707515E+03 -4.621387E+03 -4.027202E+03 -3.629999E+03 -3.380955E+03 -3.218660E+03 -7.498765E+03 -5.554869E+03 -4.198364E+03 -4.528654E+03 -3.932209E+03 -3.558254E+03 -3.329287E+03 -3.185269E+03 -3.068521E+03
   39    1  1.4570E+00 -1.0510E+00 -6.850692E+03 -4.057063E+03 -3.849117E+03 -3.223554E+03 -2.800010E+03 -2.517372E+03 -2.319201E+03 -6.731443E+03 -4.766258E+03 -3.589840E+03 -3.819135E+03 -3.119950E+03 -2.706439E+03 -2.448989E+03 -2.282834E+03 -2.116563E+03
   40    1  1.4802E+00 -1.0632E+00 -5.837165E+03 -3.171490E+03 -2.721042E+03 -2.043463E+03 -1.581256E+03 -1.258315E+03 -1.035287E+03 -5.628934E+03 -3.632750E+03 -2.742138E+03 -2.805693E+03 -1.936879E+03 -1.463349E+03 -1.171405E+03 -9.955849E+02 -7.826880E+02
