    8   24   30    1    8     /OXYGEN             /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.60226   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 26/07/01
 -13.48705 -13.52216 -13.56056 -13.61487 -13.65679 -13.69866 -13.75901 -13.80903
 -13.86092 -13.93298 -13.99015 -14.04878 -14.12588 -14.17907 -14.22325 -14.26746
 -14.29283 -14.31639 -14.36250 -14.39194 -14.40769 -14.55444 -14.50043 -14.19966
 -13.81547 -13.85074 -13.88932 -13.94389 -13.98603 -14.02816 -14.08894 -14.13933
 -14.19167 -14.26444 -14.32228 -14.38171 -14.46002 -14.51415 -14.55919 -14.60429
 -14.63005 -14.65379 -14.69985 -14.72907 -14.74433 -14.88943 -14.83463 -14.53381
 -14.03290 -14.06822 -14.10688 -14.16156 -14.20379 -14.24603 -14.30698 -14.35753
 -14.41006 -14.48314 -14.54125 -14.60101 -14.67984 -14.73438 -14.77972 -14.82512
 -14.85113 -14.87501 -14.92099 -14.95009 -14.96519 -15.10961 -15.05445 -14.75358
 -14.26396 -14.29934 -14.33804 -14.39280 -14.43512 -14.47743 -14.53848 -14.58916
 -14.64183 -14.71513 -14.77346 -14.83346 -14.91267 -14.96750 -15.01316 -15.05887
 -15.08494 -15.10890 -15.15492 -15.18390 -15.19885 -15.34276 -15.28731 -14.98640
 -14.52690 -14.56233 -14.60106 -14.65590 -14.69832 -14.74069 -14.80184 -14.85264
 -14.90544 -14.97895 -15.03747 -15.09772 -15.17728 -15.23239 -15.27839 -15.32443
 -15.35051 -15.37453 -15.42063 -15.44948 -15.46429 -15.60768 -15.55195 -15.25099
 -14.71354 -14.74901 -14.78778 -14.84266 -14.88513 -14.92755 -14.98877 -15.03964
 -15.09253 -15.16618 -15.22483 -15.28522 -15.36502 -15.42030 -15.46652 -15.51277
 -15.53886 -15.56293 -15.60906 -15.63784 -15.65255 -15.79560 -15.73969 -15.43870
 -14.97673 -15.01225 -15.05104 -15.10599 -15.14853 -15.19101 -15.25231 -15.30327
 -15.35627 -15.43010 -15.48891 -15.54951 -15.62960 -15.68511 -15.73160 -15.77813
 -15.80423 -15.82835 -15.87453 -15.90321 -15.91779 -16.06040 -16.00427 -15.70323
 -15.30847 -15.34405 -15.38288 -15.43790 -15.48051 -15.52306 -15.58446 -15.63553
 -15.68865 -15.76267 -15.82167 -15.88248 -15.96290 -16.01867 -16.06546 -16.11228
 -16.13841 -16.16259 -16.20882 -16.23738 -16.25181 -16.39393 -16.33753 -16.03646
 -15.52708 -15.56269 -15.60155 -15.65660 -15.69925 -15.74184 -15.80330 -15.85443
 -15.90763 -15.98176 -16.04086 -16.10181 -16.18242 -16.23835 -16.28531 -16.33229
 -16.35845 -16.38267 -16.42891 -16.45741 -16.47174 -16.61356 -16.55702 -16.25593
 -15.75888 -15.79452 -15.83340 -15.88849 -15.93118 -15.97381 -16.03534 -16.08652
 -16.13979 -16.21403 -16.27324 -16.33430 -16.41510 -16.47118 -16.51830 -16.56545
 -16.59163 -16.61589 -16.66213 -16.69057 -16.70482 -16.84635 -16.78967 -16.48856
 -16.02247 -16.05814 -16.09705 -16.15217 -16.19490 -16.23757 -16.29916 -16.35040
 -16.40374 -16.47810 -16.53741 -16.59860 -16.67959 -16.73582 -16.78311 -16.83042
 -16.85664 -16.88093 -16.92718 -16.95555 -16.96971 -17.11094 -17.05410 -16.75298
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 2   / DATE= 26/07/01
 -11.15553 -11.14014 -11.12454 -11.09902 -11.07375 -11.04657 -11.00092 -10.95309
 -10.89423 -10.80009 -10.71892 -10.63726 -10.50899 -10.37879 -10.22847 -10.00251
  -9.80702  -9.58678  -9.25370  -8.96961  -8.66086  -8.22852  -7.89231  -7.54759
 -11.28429 -11.27122 -11.25786 -11.23662 -11.21582 -11.19233 -11.15294 -11.11306
 -11.06390 -10.98642 -10.92007 -10.84958 -10.74096 -10.63959 -10.52971 -10.35910
 -10.19751 -10.01358  -9.73510  -9.49569  -9.23703  -8.85297  -8.53269  -8.22048
 -11.44664 -11.43900 -11.43094 -11.41809 -11.40483 -11.38737 -11.35858 -11.33321
 -11.30396 -11.25830 -11.21720 -11.16796 -11.08807 -11.01553 -10.93182 -10.80181
 -10.68580 -10.55119 -10.34195 -10.15951  -9.95660  -9.65610  -9.40561  -9.14013
 -11.55759 -11.55232 -11.54563 -11.53594 -11.52782 -11.51596 -11.49498 -11.47684
 -11.45624 -11.42398 -11.39445 -11.35881 -11.30033 -11.24669 -11.18487 -11.08782
 -10.99974 -10.89699 -10.73428 -10.58850 -10.42364 -10.17397  -9.95958  -9.72505
 -11.68389 -11.68043 -11.67688 -11.67023 -11.66291 -11.65513 -11.64199 -11.62838
 -11.61372 -11.59171 -11.57080 -11.54553 -11.50417 -11.46608 -11.42211 -11.35241
 -11.28840 -11.21324 -11.09287 -10.98324 -10.85694 -10.66076 -10.48752 -10.29259
 -11.83738 -11.83523 -11.83291 -11.82880 -11.82431 -11.81922 -11.81075 -11.80239
 -11.79280 -11.77791 -11.76437 -11.74788 -11.72043 -11.69510 -11.66530 -11.61806
 -11.57514 -11.52382 -11.44144 -11.36671 -11.27833 -11.13758 -11.01120 -10.86528
 -11.90389 -11.90491 -11.90524 -11.90497 -11.90417 -11.90244 -11.89872 -11.89501
 -11.89028 -11.88188 -11.87366 -11.86330 -11.84564 -11.82912 -11.80930 -11.77694
 -11.74666 -11.71005 -11.65069 -11.59605 -11.53090 -11.42603 -11.33032 -11.21791
