    2   24   30    1    2     /HELIUM             /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
   -.69877   -.52268   -.30083   -.15470    .00020    .17629    .30123    .47732
    .69917    .84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 04/11/99
  -7.59086  -7.59084  -7.59080  -7.59122  -7.59090  -7.58895  -7.58755  -7.58788
  -7.58793  -7.58776  -7.58776  -7.58781  -7.58709  -7.58595  -7.58487  -7.58396
  -7.58215  -7.57759  -7.57049  -7.56427  -7.55507  -7.53718  -7.52071  -7.50384
  -7.57836  -7.57834  -7.57842  -7.57956  -7.57877  -7.57397  -7.57054  -7.57140
  -7.57156  -7.57131  -7.57135  -7.57134  -7.57073  -7.56968  -7.56853  -7.56930
  -7.56916  -7.56469  -7.55861  -7.55444  -7.54716  -7.53199  -7.51785  -7.50336
  -7.57311  -7.57310  -7.57325  -7.57487  -7.57376  -7.56708  -7.56231  -7.56352
  -7.56374  -7.56342  -7.56349  -7.56343  -7.56289  -7.56191  -7.56073  -7.56261
  -7.56360  -7.55924  -7.55386  -7.55107  -7.54507  -7.53170  -7.51911  -7.50620
  -7.56930  -7.56929  -7.56951  -7.57164  -7.57020  -7.56152  -7.55533  -7.55690
  -7.55718  -7.55680  -7.55688  -7.55677  -7.55631  -7.55540  -7.55418  -7.55726
  -7.55945  -7.55523  -7.55063  -7.54930  -7.54467  -7.53322  -7.52227  -7.51102
  -7.56648  -7.56648  -7.56678  -7.56950  -7.56767  -7.55672  -7.54891  -7.55090
  -7.55125  -7.55078  -7.55088  -7.55071  -7.55034  -7.54950  -7.54824  -7.55268
  -7.55627  -7.55222  -7.54852  -7.54887  -7.54580  -7.53653  -7.52745  -7.51810
  -7.56519  -7.56519  -7.56554  -7.56867  -7.56657  -7.55400  -7.54505  -7.54733
  -7.54773  -7.54720  -7.54732  -7.54711  -7.54679  -7.54601  -7.54471  -7.55012
  -7.55470  -7.55078  -7.54773  -7.54928  -7.54732  -7.53960  -7.53185  -7.52385
  -7.56404  -7.56404  -7.56448  -7.56819  -7.56571  -7.55086  -7.54029  -7.54299
  -7.54346  -7.54284  -7.54298  -7.54270  -7.54247  -7.54176  -7.54042  -7.54720
  -7.55318  -7.54945  -7.54731  -7.55055  -7.55016  -7.54463  -7.53875  -7.53266
  -7.56337  -7.56338  -7.56392  -7.56835  -7.56539  -7.54768  -7.53507  -7.53829
  -7.53885  -7.53812  -7.53828  -7.53792  -7.53779  -7.53717  -7.53579  -7.54429
  -7.55203  -7.54854  -7.54758  -7.55295  -7.55454  -7.55176  -7.54825  -7.54455
  -7.56324  -7.56325  -7.56385  -7.56877  -7.56549  -7.54589  -7.53195  -7.53551
  -7.53612  -7.53532  -7.53549  -7.53508  -7.53502  -7.53446  -7.53304  -7.54268
  -7.55159  -7.54826  -7.54807  -7.55485  -7.55774  -7.55678  -7.55482  -7.55271
  -7.56328  -7.56329  -7.56397  -7.56939  -7.56577  -7.54418  -7.52881  -7.53274
  -7.53341  -7.53254  -7.53272  -7.53225  -7.53226  -7.53177  -7.53031  -7.54116
  -7.55129  -7.54814  -7.54877  -7.55704  -7.56132  -7.56228  -7.56197  -7.56154
  -7.56348  -7.56350  -7.56426  -7.57025  -7.56626  -7.54239  -7.52541  -7.52975
  -7.53049  -7.52953  -7.52973  -7.52919  -7.52928  -7.52886  -7.52736  -7.53958
  -7.55112  -7.54815  -7.54972  -7.55969  -7.56554  -7.56870  -7.57027  -7.57173
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 2   / DATE= 04/11/99
 -70.91954 -70.91891 -70.91819 -70.91708 -70.91611 -70.91504 -70.91350 -70.91222
 -70.91081 -70.90876 -70.90703 -70.90513 -70.90247 -70.90023 -70.89740 -70.89470
 -70.89248 -70.88247 -70.82614 -70.74865 -70.68372 -70.62481 -70.58196 -70.53427
 -73.40575 -73.40804 -73.41066 -73.41473 -73.41830 -73.42220 -73.42784 -73.43252
 -73.43764 -73.44518 -73.45150 -73.45835 -73.46831 -73.47663 -73.48575 -73.49871
 -73.50882 -73.51918 -73.53703 -73.55173 -73.55599 -73.54238 -73.55012 -73.63673
 -56.45578 -56.43349 -56.40767 -56.36770 -56.33285 -56.29465 -56.23915 -56.19290
 -56.14234 -56.06816 -56.00616 -55.93901 -55.84098 -55.75871 -55.66927 -55.54005
 -55.43632 -55.33345 -55.21504 -55.14849 -55.10164 -55.06518 -54.85423 -54.06086
 -42.92398 -42.90429 -42.88073 -42.84406 -42.81253 -42.77775 -42.72642 -42.68324
 -42.63628 -42.56799 -42.51127 -42.45010 -42.35995 -42.28351 -42.20126 -42.07902
 -41.97078 -41.84565 -41.64290 -41.45463 -41.23843 -40.91279 -40.64575 -40.37912
 -32.80625 -32.78960 -32.76985 -32.73779 -32.70894 -32.67809 -32.63330 -32.59533
 -32.55529 -32.49645 -32.44554 -32.39139 -32.31402 -32.24905 -32.17801 -32.07342
 -31.98315 -31.87795 -31.70723 -31.54770 -31.35704 -31.05951 -30.81094 -30.55737
 -24.87513 -24.86246 -24.84706 -24.82243 -24.80081 -24.77699 -24.74102 -24.70996
 -24.67704 -24.62910 -24.58771 -24.54229 -24.47648 -24.42206 -24.36286 -24.27608
 -24.20210 -24.11751 -23.98169 -23.85428 -23.70082 -23.46039 -23.24772 -22.99564
 -20.87716 -20.86743 -20.85597 -20.83844 -20.82282 -20.80381 -20.77506 -20.75179
