%  n/a	   m	 part/m2/s	 part/m2/s	 part/m2/s	 part/m2/s	  eV	  eV	 m-3	 m-3	   V	   V	W/m2	W/m2
%     Pr#	   dsSep	      js	  js_err	    jsur	jsur_err	      Te	  Te_err	      ne	  ne_err	      Vf	  Vf_err	    Psur	Psur_err
 21	-4.072E-02	 3.188E+21	 3.437E+21	 6.902E+19	       Inf	 3.000E+01	 9.388E+00	 6.578E+16	 7.494E+16	-1.617E+00	 1.059E+01	 2.197E+03	 2.065E+03
 21	-3.572E-02	 5.739E+21	 2.609E+21	 1.266E+20	       Inf	 1.337E+01	 2.052E+01	 2.959E+17	 1.885E+17	-4.649E+00	 3.539E+01	 3.041E+03	 4.937E+03
 21	-3.072E-02	 4.330E+21	 5.680E+21	 1.092E+20	       Inf	 2.243E+01	 1.648E+01	 1.326E+17	 1.798E+17	 9.194E+02	 1.409E+03	 1.617E+03	 1.827E+03
 21	-2.572E-02	 1.962E+21	 5.056E+20	 4.754E+19	       Inf	 6.894E+00	 9.372E+00	 2.319E+16	 2.712E+16	-4.476E+00	 4.239E+01	 3.571E+02	 5.104E+02
 21	-2.072E-02	 2.666E+20	       NaN	 6.910E+18	       NaN	 3.777E+00	       NaN	 1.401E+16	       NaN	 8.459E+01	       NaN	 3.341E+01	       NaN
 21	-1.572E-02	 1.205E+23	 1.153E+23	 3.328E+21	       Inf	 1.863E+01	 3.381E+01	 5.578E+18	 5.710E+18	 9.163E-01	 3.641E+01	 2.563E+04	 2.199E+04
 21	-1.072E-02	 2.083E+23	 1.186E+23	 5.988E+21	       Inf	 1.349E+01	 1.748E+01	 8.278E+18	 4.696E+18	-9.743E+00	 1.915E+01	 5.686E+04	 4.516E+04
 21	-5.716E-03	 4.512E+23	 5.232E+22	 1.343E+22	       Inf	 6.511E+00	 8.978E-01	 1.825E+19	 3.160E+18	 4.582E-01	 9.736E-01	 1.110E+05	 1.168E+04
 21	-7.159E-04	 3.925E+21	 8.110E+20	 1.207E+20	       Inf	 1.835E+01	 1.225E+01	 9.922E+16	 1.526E+16	-5.426E+00	 9.446E+00	 3.028E+03	 2.473E+03
 21	 4.284E-03	 5.271E+24	 1.729E+24	 1.756E+23	       Inf	 2.742E+01	 1.256E+01	 1.033E+20	       Inf	-4.569E+00	 7.820E+00	 6.789E+06	 4.379E+06
 21	 9.284E-03	 6.923E+24	 1.885E+24	 2.323E+23	       Inf	 5.167E+01	 2.349E+01	 9.946E+19	       Inf	-1.708E+01	 6.012E+00	 1.706E+07	 1.119E+07
 21	 1.428E-02	 1.075E+25	 1.432E+24	 3.613E+23	       Inf	 8.187E+01	 1.893E+01	 1.224E+20	       Inf	-1.674E+01	 2.835E+00	 3.836E+07	 1.133E+07
