%  n/a	   m	 part/m2/s	 part/m2/s	 part/m2/s	 part/m2/s	  eV	  eV	 m-3	 m-3	   V	   V	W/m2	W/m2
 %     Pr#	   dsSep	      js	  js_err	    jsur	jsur_err	      Te	  Te_err	      ne	  ne_err	      Vf	  Vf_err	    Psur	Psur_err
 06	 1.320E-01	 3.841E+23	 1.089E+23	 1.142E+22	       Inf	 6.530E+00	 2.546E+00	 1.583E+19	       Inf	-6.261E-01	 2.556E+00	 9.713E+04	 4.489E+04
 06	 1.370E-01	 2.309E+23	 6.900E+22	 7.191E+21	       Inf	 7.366E+00	 4.318E+00	 9.322E+18	 3.008E+18	-1.713E+00	 3.861E+00	 6.978E+04	 5.305E+04
 06	 1.420E-01	 1.369E+23	 4.460E+22	 4.471E+21	       Inf	 7.926E+00	 4.565E+00	 5.169E+18	 1.031E+18	-2.546E+00	 3.189E+00	 5.115E+04	 4.883E+04
 07	 1.320E-01	 3.959E+23	 6.540E+22	 1.134E+22	       Inf	 5.397E+00	 1.117E+00	 1.758E+19	 2.760E+18	-1.728E+00	 2.035E+00	 7.915E+04	 2.538E+04
 07	 1.370E-01	 3.427E+23	 5.946E+22	 1.008E+22	       Inf	 6.066E+00	 1.898E+00	 1.455E+19	 2.606E+18	-1.987E+00	 2.223E+00	 7.973E+04	 3.144E+04
 07	 1.420E-01	 2.682E+23	 5.077E+22	 8.188E+21	       Inf	 5.585E+00	 1.506E+00	 1.180E+19	 2.337E+18	-1.461E+00	 1.690E+00	 5.905E+04	 2.005E+04
 07	 1.470E-01	 1.864E+23	 4.746E+22	 5.935E+21	       Inf	 6.532E+00	 3.292E+00	 7.805E+18	 2.202E+18	-2.242E+00	 2.445E+00	 4.997E+04	 2.702E+04
 07	 1.520E-01	 9.871E+22	 3.336E+22	 3.290E+21	       Inf	 5.585E+00	 2.518E+00	 4.424E+18	 1.631E+18	-2.254E+00	 2.736E+00	 2.471E+04	 1.920E+04
 07	 1.570E-01	 3.761E+22	 3.066E+22	 1.316E+21	       Inf	 4.439E+00	 1.578E+00	 1.794E+18	 1.446E+18	-4.132E+00	 2.843E+00	 8.223E+03	 7.486E+03
 08	 1.480E-01	 1.385E+23	 3.436E+22	 4.229E+21	       Inf	 6.341E+00	 2.292E+00	 5.755E+18	 1.442E+18	-1.588E+00	 2.168E+00	 3.511E+04	 1.781E+04
 08	 1.530E-01	 1.082E+23	 3.715E+22	 3.388E+21	       Inf	 5.875E+00	 2.437E+00	 4.635E+18	 1.500E+18	-1.912E+00	 3.131E+00	 2.730E+04	 1.594E+04
 08	 1.580E-01	 8.760E+22	 3.868E+22	 2.838E+21	       Inf	 6.738E+00	 5.374E+00	 3.695E+18	 1.559E+18	-2.288E+00	 3.288E+00	 2.799E+04	 3.515E+04
 08	 1.630E-01	 6.430E+22	 4.473E+22	 2.187E+21	       Inf	 1.063E+01	 2.056E+01	 2.701E+18	 1.317E+18	-2.583E+00	 7.212E+00	 5.677E+04	 2.039E+05
 08	 1.680E-01	 4.016E+22	 2.729E+22	 1.432E+21	       Inf	 1.287E+01	 1.353E+01	 1.205E+18	 9.277E+17	-4.670E+00	 8.054E+00	 3.180E+04	 4.149E+04
