%    m	   m	 n/a	 n/a	  eV	  eV
%  XTIE	 RMDE	 RHOE	 PSIE	  TIE	 DTIE
  3.835E+00	 3.835E+00	 1.006E+00	 1.012E+00	 6.953E-01	 2.350E-02
  3.835E+00	 3.835E+00	 1.006E+00	 1.012E+00	 6.906E-01	 2.358E-02
  3.835E+00	 3.835E+00	 1.007E+00	 1.012E+00	 7.004E-01	 3.251E-02
  3.835E+00	 3.835E+00	 1.007E+00	 1.012E+00	 7.827E-01	 3.065E-02
  3.835E+00	 3.835E+00	 1.007E+00	 1.013E+00	 6.233E-01	 2.174E-02
  3.836E+00	 3.836E+00	 1.008E+00	 1.014E+00	 5.611E-01	 2.004E-02
  3.836E+00	 3.836E+00	 1.008E+00	 1.015E+00	 6.705E-01	 3.507E-02
  3.837E+00	 3.837E+00	 1.010E+00	 1.017E+00	 6.852E-01	 3.378E-02
  3.838E+00	 3.838E+00	 1.010E+00	 1.018E+00	 0.000E+00	 3.112E-02
  3.838E+00	 3.838E+00	 1.011E+00	 1.018E+00	 0.000E+00	 2.884E-02
  3.843E+00	 3.843E+00	 1.017E+00	 1.028E+00	 0.000E+00	 9.103E-02
  3.844E+00	 3.844E+00	 1.018E+00	 1.030E+00	 0.000E+00	 1.097E-01
  3.844E+00	 3.844E+00	 1.019E+00	 1.031E+00	 0.000E+00	 9.556E-02
  3.847E+00	 3.846E+00	 1.021E+00	 1.035E+00	 0.000E+00	 9.712E-02
  3.847E+00	 3.847E+00	 1.022E+00	 1.036E+00	 0.000E+00	 7.986E-02
  3.848E+00	 3.848E+00	 1.023E+00	 1.037E+00	 0.000E+00	 7.153E-02
  3.848E+00	 3.848E+00	 1.023E+00	 1.037E+00	 0.000E+00	 1.081E-01
  3.848E+00	 3.848E+00	 1.023E+00	 1.038E+00	 0.000E+00	 7.883E-02
  3.853E+00	 3.853E+00	 1.029E+00	 1.048E+00	 0.000E+00	 1.175E-01
  3.853E+00	 3.853E+00	 1.030E+00	 1.048E+00	 0.000E+00	 2.679E-01
  3.854E+00	 3.854E+00	 1.031E+00	 1.049E+00	 0.000E+00	 9.524E-02
  3.856E+00	 3.856E+00	 1.033E+00	 1.053E+00	 0.000E+00	 5.929E-02
  3.856E+00	 3.856E+00	 1.033E+00	 1.053E+00	 0.000E+00	 8.200E-02
  3.856E+00	 3.856E+00	 1.033E+00	 1.053E+00	 0.000E+00	 1.235E-01
  3.856E+00	 3.856E+00	 1.033E+00	 1.053E+00	 0.000E+00	 1.013E-01
  3.856E+00	 3.856E+00	 1.034E+00	 1.054E+00	 0.000E+00	 8.544E-02
  3.857E+00	 3.857E+00	 1.035E+00	 1.056E+00	 0.000E+00	 9.329E-02
  3.857E+00	 3.857E+00	 1.035E+00	 1.056E+00	 0.000E+00	 1.257E-01
  3.858E+00	 3.858E+00	 1.036E+00	 1.058E+00	 0.000E+00	 1.071E-01
  3.859E+00	 3.859E+00	 1.037E+00	 1.059E+00	 0.000E+00	 9.527E-02
  3.859E+00	 3.859E+00	 1.037E+00	 1.060E+00	 0.000E+00	 7.487E-02
