%    m	   m	 n/a	 n/a	  eV	  eV
%  XTIE	 RMDE	 RHOE	 PSIE	  TIE	 DTIE
  3.686E+00	 3.686E+00	 8.183E-01	 7.123E-01	 1.457E+00	 1.228E-02
  3.686E+00	 3.686E+00	 8.186E-01	 7.127E-01	 1.482E+00	 1.255E-02
  3.686E+00	 3.686E+00	 8.190E-01	 7.133E-01	 1.537E+00	 1.193E-02
  3.691E+00	 3.691E+00	 8.245E-01	 7.218E-01	 1.444E+00	 2.258E-02
  3.692E+00	 3.692E+00	 8.257E-01	 7.238E-01	 1.459E+00	 2.474E-02
  3.692E+00	 3.692E+00	 8.260E-01	 7.242E-01	 1.428E+00	 2.489E-02
  3.694E+00	 3.694E+00	 8.289E-01	 7.288E-01	 1.474E+00	 2.426E-02
  3.695E+00	 3.695E+00	 8.300E-01	 7.306E-01	 1.389E+00	 1.899E-02
  3.695E+00	 3.695E+00	 8.301E-01	 7.307E-01	 1.462E+00	 2.260E-02
  3.695E+00	 3.695E+00	 8.303E-01	 7.310E-01	 1.464E+00	 2.001E-02
  3.696E+00	 3.696E+00	 8.307E-01	 7.316E-01	 1.420E+00	 2.127E-02
  3.700E+00	 3.700E+00	 8.367E-01	 7.411E-01	 1.391E+00	 2.055E-02
  3.701E+00	 3.701E+00	 8.375E-01	 7.424E-01	 1.407E+00	 4.647E-02
  3.702E+00	 3.702E+00	 8.390E-01	 7.448E-01	 1.423E+00	 1.888E-02
  3.703E+00	 3.703E+00	 8.403E-01	 7.467E-01	 1.409E+00	 1.883E-02
  3.703E+00	 3.703E+00	 8.403E-01	 7.468E-01	 1.416E+00	 1.779E-02
  3.703E+00	 3.703E+00	 8.403E-01	 7.468E-01	 1.403E+00	 1.399E-02
  3.704E+00	 3.704E+00	 8.407E-01	 7.474E-01	 1.443E+00	 1.628E-02
  3.704E+00	 3.704E+00	 8.414E-01	 7.484E-01	 1.425E+00	 1.752E-02
  3.705E+00	 3.705E+00	 8.419E-01	 7.493E-01	 1.394E+00	 1.881E-02
  3.705E+00	 3.705E+00	 8.421E-01	 7.496E-01	 1.413E+00	 1.959E-02
  3.706E+00	 3.706E+00	 8.433E-01	 7.515E-01	 1.377E+00	 1.989E-02
  3.706E+00	 3.706E+00	 8.436E-01	 7.520E-01	 1.382E+00	 1.927E-02
