   20    /BE+0 PHOTON EMISSIVITY COEFFICIENTS/
8254.1 A    10   8 /FILMEM = WJD91#BE/TYPE = EXCIT    /INDM  = 1/ISEL=    1
 8.41D-10 1.89D-09 1.75D-09 1.47D-09 1.26D-09 9.69D-10 5.57D-10 2.63D-10
 7.25D-10 1.53D-09 1.37D-09 1.13D-09 9.73D-10 7.46D-10 4.34D-10 2.08D-10
 5.59D-10 1.09D-09 9.48D-10 7.80D-10 6.67D-10 5.12D-10 3.01D-10 1.47D-10
 3.32D-10 5.98D-10 5.04D-10 4.13D-10 3.53D-10 2.71D-10 1.61D-10 8.08D-11
 2.03D-10 3.50D-10 2.93D-10 2.41D-10 2.06D-10 1.59D-10 9.51D-11 4.83D-11
4407.9 A    10   8 /FILMEM = WJD91#BE/TYPE = EXCIT    /INDM  = 1/ISEL=    5
 1.00D+11 2.00D+11 5.00D+11 1.00D+12 2.00D+12 5.00D+12 1.00D+13 2.00D+13
 5.00D+13 1.00D+14
 2.00D+00 5.00D+00 1.00D+01 1.50D+01 2.00D+01 3.00D+01 5.00D+01 8.00D+01
 1.54D-11 2.45D-10 6.36D-10 8.84D-10 1.03D-09 1.15D-09 1.17D-09 1.10D-09
 1.51D-11 2.37D-10 6.13D-10 8.50D-10 9.88D-10 1.11D-09 1.13D-09 1.07D-09
 1.35D-11 2.07D-10 5.32D-10 7.38D-10 8.60D-10 9.72D-10 1.01D-09 9.67D-10
 1.13D-11 1.70D-10 4.35D-10 6.05D-10 7.09D-10 8.09D-10 8.52D-10 8.31D-10
 8.89D-12 1.29D-10 3.28D-10 4.59D-10 5.41D-10 6.23D-10 6.66D-10 6.61D-10
 6.15D-12 8.19D-11 2.06D-10 2.89D-10 3.42D-10 3.99D-10 4.35D-10 4.39D-10
 4.59D-12 5.52D-11 1.36D-10 1.91D-10 2.28D-10 2.67D-10 2.94D-10 3.00D-10
 3.30D-12 3.55D-11 8.60D-11 1.21D-10 1.44D-10 1.70D-10 1.88D-10 1.94D-10
 1.94D-12 1.85D-11 4.42D-11 6.23D-11 7.46D-11 8.87D-11 9.93D-11 1.03D-10
 1.23D-12 1.11D-11 2.66D-11 3.78D-11 4.55D-11 5.45D-11 6.15D-11 6.41D-11
4407.9 A    10   8 /FILMEM = WJD91#BE/TYPE = EXCIT    /INDM  = 2/ISEL=    6
 1.00D+11 2.00D+11 5.00D+11 1.00D+12 2.00D+12 5.00D+12 1.00D+13 2.00D+13
 5.00D+13 1.00D+14
 2.00D+00 5.00D+00 1.00D+01 1.50D+01 2.00D+01 3.00D+01 5.00D+01 8.00D+01
 1.28D-12 2.73D-12 2.48D-12 2.16D-12 1.86D-12 1.34D-12 7.10D-13 3.23D-13
 2.47D-12 5.25D-12 4.77D-12 4.13D-12 3.55D-12 2.57D-12 1.36D-12 6.22D-13
 5.24D-12 1.09D-11 9.81D-12 8.45D-12 7.25D-12 5.30D-12 2.85D-12 1.32D-12
 8.02D-12 1.61D-11 1.44D-11 1.24D-11 1.06D-11 7.84D-12 4.29D-12 2.01D-12
 1.05D-11 2.03D-11 1.79D-11 1.52D-11 1.31D-11 9.75D-12 5.45D-12 2.62D-12
 1.17D-11 2.10D-11 1.79D-11 1.51D-11 1.30D-11 9.79D-12 5.62D-12 2.77D-12
 1.06D-11 1.77D-11 1.47D-11 1.23D-11 1.05D-11 7.98D-12 4.66D-12 2.35D-12
 8.22D-12 1.28D-11 1.04D-11 8.58D-12 7.35D-12 5.60D-12 3.31D-12 1.70D-12
 4.87D-12 7.01D-12 5.59D-12 4.59D-12 3.93D-12 3.00D-12 1.79D-12 9.33D-13
 2.96D-12 4.12D-12 3.28D-12 2.70D-12 2.31D-12 1.77D-12 1.06D-12 5.58D-13
2348.6 A    10   8 /FILMEM = WJD91#BE/TYPE = EXCIT    /INDM  = 1/ISEL=    7
 1.00D+11 2.00D+11 5.00D+11 1.00D+12 2.00D+12 5.00D+12 1.00D+13 2.00D+13
 5.00D+13 1.00D+14
 2.00D+00 5.00D+00 1.00D+01 1.50D+01 2.00D+01 3.00D+01 5.00D+01 8.00D+01
 1.10D-08 8.14D-08 1.79D-07 2.36D-07 2.73D-07 3.14D-07 3.40D-07 3.37D-07
 1.10D-08 8.12D-08 1.79D-07 2.36D-07 2.73D-07 3.14D-07 3.40D-07 3.37D-07
 1.10D-08 8.09D-08 1.78D-07 2.35D-07 2.72D-07 3.13D-07 3.39D-07 3.36D-07
 1.10D-08 8.06D-08 1.77D-07 2.34D-07 2.71D-07 3.12D-07 3.38D-07 3.35D-07
 1.09D-08 8.01D-08 1.76D-07 2.33D-07 2.69D-07 3.10D-07 3.36D-07 3.33D-07
 1.08D-08 7.90D-08 1.73D-07 2.29D-07 2.65D-07 3.05D-07 3.31D-07 3.30D-07
 1.07D-08 7.76D-08 1.70D-07 2.24D-07 2.59D-07 2.99D-07 3.25D-07 3.24D-07
 1.05D-08 7.56D-08 1.65D-07 2.17D-07 2.51D-07 2.90D-07 3.16D-07 3.16D-07
 1.02D-08 7.19D-08 1.55D-07 2.04D-07 2.35D-07 2.71D-07 2.96D-07 2.97D-07
 9.75D-09 6.79D-08 1.44D-07 1.88D-07 2.16D-07 2.48D-07 2.71D-07 2.73D-07
2348.6 A    10   8 /FILMEM = WJD91#BE/TYPE = EXCIT    /INDM  = 2/ISEL=    8
 1.00D+11 2.00D+11 5.00D+11 1.00D+12 2.00D+12 5.00D+12 1.00D+13 2.00D+13
 5.00D+13 1.00D+14
 2.00D+00 5.00D+00 1.00D+01 1.50D+01 2.00D+01 3.00D+01 5.00D+01 8.00D+01
 1.53D-08 2.08D-08 1.64D-08 1.28D-08 1.04D-08 7.41D-09 4.16D-09 2.09D-09
 1.53D-08 2.08D-08 1.64D-08 1.28D-08 1.04D-08 7.40D-09 4.16D-09 2.09D-09
 1.53D-08 2.08D-08 1.64D-08 1.27D-08 1.03D-08 7.38D-09 4.14D-09 2.08D-09
 1.53D-08 2.07D-08 1.63D-08 1.26D-08 1.03D-08 7.32D-09 4.11D-09 2.07D-09
 1.52D-08 2.05D-08 1.61D-08 1.25D-08 1.01D-08 7.21D-09 4.05D-09 2.04D-09
 1.50D-08 2.00D-08 1.55D-08 1.20D-08 9.73D-09 6.91D-09 3.89D-09 1.97D-09
 1.46D-08 1.92D-08 1.48D-08 1.14D-08 9.23D-09 6.54D-09 3.69D-09 1.89D-09
 1.40D-08 1.81D-08 1.39D-08 1.07D-08 8.62D-09 6.09D-09 3.44D-09 1.77D-09
 1.30D-08 1.63D-08 1.24D-08 9.51D-09 7.65D-09 5.39D-09 3.06D-09 1.59D-09
 1.21D-08 1.48D-08 1.11D-08 8.41D-09 6.74D-09 4.73D-09 2.70D-09 1.42D-09
6786.0 A    10   8 /FILMEM = WJD91#BE/TYPE = EXCIT    /INDM  = 1/ISEL=    9
 1.00D+11 2.00D+11 5.00D+11 1.00D+12 2.00D+12 5.00D+12 1.00D+13 2.00D+13
 5.00D+13 1.00D+14
 2.00D+00 5.00D+00 1.00D+01 1.50D+01 2.00D+01 3.00D+01 5.00D+01 8.00D+01
 1.66D-14 7.71D-14 9.04D-14 8.80D-14 8.26D-14 6.79D-14 3.84D-14 1.63D-14
 2.63D-14 1.20D-13 1.43D-13 1.41D-13 1.34D-13 1.12D-13 6.40D-14 2.74D-14
 4.59D-14 2.08D-13 2.48D-13 2.50D-13 2.41D-13 2.03D-13 1.17D-13 5.07D-14
 6.81D-14 3.03D-13 3.59D-13 3.62D-13 3.48D-13 2.94D-13 1.71D-13 7.48D-14
 9.69D-14 4.15D-13 4.80D-13 4.76D-13 4.55D-13 3.82D-13 2.23D-13 9.89D-14
 1.37D-13 5.46D-13 5.99D-13 5.76D-13 5.40D-13 4.46D-13 2.60D-13 1.17D-13
 1.58D-13 5.93D-13 6.25D-13 5.86D-13 5.41D-13 4.40D-13 2.55D-13 1.16D-13
 1.63D-13 5.73D-13 5.80D-13 5.32D-13 4.84D-13 3.89D-13 2.25D-13 1.03D-13
 1.40D-13 4.47D-13 4.30D-13 3.85D-13 3.46D-13 2.75D-13 1.60D-13 7.46D-14
 1.07D-13 3.15D-13 2.93D-13 2.58D-13 2.30D-13 1.83D-13 1.07D-13 5.05D-14
6786.0 A    10   8 /FILMEM = WJD91#BE/TYPE = EXCIT    /INDM  = 2/ISEL=   10
 1.00D+11 2.00D+11 5.00D+11 1.00D+12 2.00D+12 5.00D+12 1.00D+13 2.00D+13
 5.00D+13 1.00D+14
 2.00D+00 5.00D+00 1.00D+01 1.50D+01 2.00D+01 3.00D+01 5.00D+01 8.00D+01
 2.05D-11 1.25D-10 2.20D-10 2.60D-10 2.73D-10 2.73D-10 2.60D-10 2.50D-10
 1.53D-11 9.13D-11 1.62D-10 1.92D-10 2.04D-10 2.07D-10 2.01D-10 1.97D-10
 9.38D-12 5.57D-11 1.01D-10 1.22D-10 1.31D-10 1.35D-10 1.35D-10 1.34D-10
 6.36D-12 3.83D-11 7.07D-11 8.60D-11 9.32D-11 9.82D-11 9.97D-11 9.94D-11
 4.41D-12 2.68D-11 5.01D-11 6.14D-11 6.71D-11 7.17D-11 7.39D-11 7.39D-11
 2.79D-12 1.65D-11 3.11D-11 3.83D-11 4.22D-11 4.58D-11 4.80D-11 4.84D-11
 1.95D-12 1.11D-11 2.07D-11 2.57D-11 2.84D-11 3.12D-11 3.30D-11 3.35D-11
 1.35D-12 7.24D-12 1.34D-11 1.66D-11 1.85D-11 2.05D-11 2.19D-11 2.23D-11
 8.19D-13 3.94D-12 7.13D-12 8.86D-12 9.90D-12 1.11D-11 1.19D-11 1.22D-11
 5.41D-13 2.36D-12 4.20D-12 5.20D-12 5.82D-12 6.53D-12 7.10D-12 7.33D-12
3321.2 A    10   8 /FILMEM = WJD91#BE/TYPE = EXCIT    /INDM  = 1/ISEL=   11
 1.00D+11 2.00D+11 5.00D+11 1.00D+12 2.00D+12 5.00D+12 1.00D+13 2.00D+13
 5.00D+13 1.00D+14
 2.00D+00 5.00D+00 1.00D+01 1.50D+01 2.00D+01 3.00D+01 5.00D+01 8.00D+01
 7.93D-10 2.99D-09 3.16D-09 2.97D-09 2.73D-09 2.21D-09 1.29D-09 5.91D-10
 7.86D-10 2.94D-09 3.09D-09 2.90D-09 2.66D-09 2.15D-09 1.26D-09 5.80D-10
 7.68D-10 2.82D-09 2.91D-09 2.72D-09 2.49D-09 2.01D-09 1.18D-09 5.49D-10
 7.44D-10 2.68D-09 2.71D-09 2.51D-09 2.29D-09 1.84D-09 1.08D-09 5.10D-10
 7.11D-10 2.50D-09 2.45D-09 2.26D-09 2.05D-09 1.64D-09 9.63D-10 4.59D-10
 6.56D-10 2.21D-09 2.09D-09 1.89D-09 1.70D-09 1.35D-09 7.90D-10 3.82D-10
 6.06D-10 1.96D-09 1.79D-09 1.61D-09 1.44D-09 1.13D-09 6.60D-10 3.22D-10
 5.40D-10 1.65D-09 1.46D-09 1.29D-09 1.15D-09 8.95D-10 5.25D-10 2.59D-10
 4.18D-10 1.15D-09 9.74D-10 8.48D-10 7.48D-10 5.80D-10 3.42D-10 1.71D-10
 3.06D-10 7.69D-10 6.33D-10 5.44D-10 4.78D-10 3.70D-10 2.19D-10 1.11D-10
3321.2 A    10   8 /FILMEM = WJD91#BE/TYPE = EXCIT    /INDM  = 2/ISEL=   12
 1.00D+11 2.00D+11 5.00D+11 1.00D+12 2.00D+12 5.00D+12 1.00D+13 2.00D+13
