# ITER#1542 (F57 ref-20-NF-C0, tau=0.3e-6, ntime=150)  - 61.0 ms
# ion temperature (eV)
   ix   iy      x           y           z01
   16    2  4.5880E+03 -3.7302E+03  7.516729E-01
   17    2  4.6877E+03 -3.7037E+03  7.560396E-01
   18    2  4.7961E+03 -3.6836E+03  1.032882E+00
   19    2  4.9013E+03 -3.6785E+03  1.533308E+00
   20    2  4.9818E+03 -3.6895E+03  7.348139E-01
   21    2  5.4113E+03 -2.6783E+03  1.924508E+03
   22    2  5.3141E+03 -2.6035E+03  1.924567E+03
   23    2  5.1453E+03 -2.4055E+03  1.924688E+03
   24    2  4.9856E+03 -2.1177E+03  1.924828E+03
   25    2  4.8477E+03 -1.7931E+03  1.924952E+03
   26    2  4.7279E+03 -1.4566E+03  1.925053E+03
   27    2  4.6244E+03 -1.1141E+03  1.925133E+03
   28    2  4.5365E+03 -7.6712E+02  1.925197E+03
   29    2  4.4641E+03 -4.1644E+02  1.925244E+03
   30    2  4.4064E+03 -6.3096E+01  1.925275E+03
   31    2  4.3652E+03  2.9222E+02  1.925291E+03
   32    2  4.3417E+03  6.4937E+02  1.925293E+03
   33    2  4.3337E+03  1.0072E+03  1.925279E+03
   34    2  4.3416E+03  1.3644E+03  1.925249E+03
   35    2  4.3675E+03  1.7192E+03  1.925202E+03
   36    2  4.4152E+03  2.0694E+03  1.925139E+03
   37    2  4.4876E+03  2.4118E+03  1.925060E+03
   38    2  4.5875E+03  2.7401E+03  1.924963E+03
   39    2  4.7198E+03  3.0422E+03  1.924852E+03
   40    2  4.8855E+03  3.2988E+03  1.924737E+03
   41    2  5.0789E+03  3.4912E+03  1.924627E+03
   42    2  5.2971E+03  3.6143E+03  1.924531E+03
   43    2  5.5501E+03  3.6704E+03  1.924449E+03
   44    2  5.8394E+03  3.6545E+03  1.924382E+03
   45    2  6.1456E+03  3.5681E+03  1.924339E+03
   46    2  6.4480E+03  3.4241E+03  1.924308E+03
   47    2  6.7347E+03  3.2349E+03  1.924293E+03
   48    2  7.0016E+03  3.0104E+03  1.924281E+03
   49    2  7.2462E+03  2.7585E+03  1.924272E+03
   50    2  7.4639E+03  2.4825E+03  1.924265E+03
   51    2  7.6523E+03  2.1844E+03  1.924260E+03
   52    2  7.8110E+03  1.8685E+03  1.924256E+03
   53    2  7.9375E+03  1.5384E+03  1.924253E+03
   54    2  8.0294E+03  1.1968E+03  1.924251E+03
   55    2  8.0870E+03  8.4756E+02  1.924249E+03
   56    2  8.1079E+03  4.9508E+02  1.924248E+03
   57    2  8.0884E+03  1.4286E+02  1.924249E+03
   58    2  8.0306E+03 -2.0553E+02  1.924251E+03
   59    2  7.9361E+03 -5.4503E+02  1.924254E+03
   60    2  7.8038E+03 -8.7092E+02  1.924257E+03
   61    2  7.6358E+03 -1.1800E+03  1.924261E+03
   62    2  7.4355E+03 -1.4700E+03  1.924266E+03
   63    2  7.2082E+03 -1.7395E+03  1.924273E+03
   64    2  6.9574E+03 -1.9858E+03  1.924280E+03
   65    2  6.6846E+03 -2.2077E+03  1.924290E+03
   66    2  6.3937E+03 -2.4047E+03  1.924305E+03
   67    2  6.0901E+03 -2.5695E+03  1.924330E+03
   68    2  5.7913E+03 -2.6785E+03  1.924377E+03
   69    2  5.5486E+03 -2.7044E+03  1.924444E+03
   70    2  5.4379E+03 -2.6895E+03  1.924493E+03
   71    2  5.0436E+03 -3.7142E+03  9.325764E-01
   72    2  5.1166E+03 -3.7678E+03  1.045688E+00
   73    2  5.1977E+03 -3.8547E+03  1.020736E+00
   74    2  5.2696E+03 -3.9551E+03  7.827796E-01
   75    2  5.3305E+03 -4.0538E+03  8.313718E-01
   76    2  5.3816E+03 -4.1440E+03  8.099606E-01
   77    2  5.4232E+03 -4.2214E+03  8.894141E-01
   78    2  5.4560E+03 -4.2846E+03  8.201712E-01
   79    2  5.4814E+03 -4.3349E+03  8.607843E-01
   80    2  5.5010E+03 -4.3744E+03  9.091072E-01
   81    2  5.5161E+03 -4.4052E+03  9.131929E-01
   82    2  5.5275E+03 -4.4288E+03  8.064718E-01
   83    2  5.5360E+03 -4.4464E+03  5.665346E-01
   84    2  5.5420E+03 -4.4590E+03  3.945345E-01
   85    2  5.5461E+03 -4.4677E+03  3.023042E-01
   86    2  5.5488E+03 -4.4734E+03  2.151695E-01
   87    2  5.5506E+03 -4.4771E+03  2.131429E-01
   88    2  5.5519E+03 -4.4798E+03  2.153071E-01
   89    2  5.5529E+03 -4.4818E+03  1.967833E-01
   90    2  5.5538E+03 -4.4838E+03  1.601202E-01
    1    3  4.1893E+03 -3.8655E+03  1.604596E-01
    2    3  4.1912E+03 -3.8647E+03  1.976056E-01
    3    3  4.1932E+03 -3.8639E+03  1.972884E-01
    4    3  4.1957E+03 -3.8629E+03  2.722098E-01
    5    3  4.1993E+03 -3.8614E+03  3.038110E-01
    6    3  4.2048E+03 -3.8592E+03  4.504457E-01
    7    3  4.2130E+03 -3.8559E+03  5.525308E-01
    8    3  4.2250E+03 -3.8511E+03  6.402002E-01
    9    3  4.2415E+03 -3.8445E+03  8.339434E-01
   10    3  4.2637E+03 -3.8357E+03  8.898453E-01
   11    3  4.2926E+03 -3.8244E+03  9.643310E-01
   12    3  4.3294E+03 -3.8101E+03  8.779251E-01
   13    3  4.3758E+03 -3.7925E+03  8.600551E-01
   14    3  4.4339E+03 -3.7712E+03  8.526620E-01
   15    3  4.5056E+03 -3.7461E+03  8.154613E-01
   16    3  4.5916E+03 -3.7182E+03  7.603798E-01
   17    3  4.6904E+03 -3.6904E+03  9.200048E-01
   18    3  4.7988E+03 -3.6682E+03  1.026356E+00
   19    3  4.9058E+03 -3.6608E+03  1.182905E+00
   20    3  4.9882E+03 -3.6704E+03  1.023895E+00
   21    3  5.3781E+03 -2.7440E+03  1.723885E+03
   22    3  5.2724E+03 -2.6541E+03  1.723901E+03
   23    3  5.1044E+03 -2.4345E+03  1.723955E+03
   24    3  4.9526E+03 -2.1336E+03  1.724032E+03
   25    3  4.8209E+03 -1.8034E+03  1.724108E+03
   26    3  4.7051E+03 -1.4641E+03  1.724174E+03
