# ITER#1542 (F57 ref-20-NF-C0, tau=0.3e-6, ntime=150)  - 61.0 ms
# parallel velocity (up) (m.s-1)
   ix   iy      x           y           z01           z02           z03           z04           z05           z06           z07           z08           z09
   31    1  4.3824E+03  2.9378E+02 -1.169870E+01 -2.792693E+01 -2.749830E+01 -6.310656E+01 -6.275732E+01 -6.201542E+01 -5.945684E+01 -2.577185E+01  1.629457E+01
   32    1  4.3589E+03  6.5012E+02 -3.743619E+00 -2.098976E+01 -2.735910E+01  2.211738E+02  2.190582E+02  2.102247E+02  1.887654E+02  5.311590E+01 -1.161585E+02
   33    1  4.3515E+03  1.0072E+03  4.842974E+00 -1.306907E+01 -2.570753E+01  5.025539E+02  4.981793E+02  4.797894E+02  4.342625E+02  1.320501E+02 -2.460021E+02
   34    1  4.3605E+03  1.3634E+03  1.467120E+01 -3.162079E+00 -2.105767E+01  7.753222E+02  7.685016E+02  7.405036E+02  6.711278E+02  2.104458E+02 -3.687785E+02
   35    1  4.3879E+03  1.7170E+03  2.609135E+01  9.834065E+00 -1.196484E+01  1.031346E+03  1.020086E+03  9.814853E+02  8.884863E+02  2.859333E+02 -4.770607E+02
   36    1  4.4377E+03  2.0654E+03  3.961869E+01  2.684579E+01  2.280376E+00  1.273084E+03  1.257402E+03  1.208147E+03  1.091846E+03  3.610827E+02 -5.724205E+02
   37    1  4.5125E+03  2.4051E+03  5.492360E+01  4.849384E+01  2.157563E+01  1.496304E+03  1.477116E+03  1.417393E+03  1.278031E+03  4.342761E+02 -6.523652E+02
   38    1  4.6154E+03  2.7294E+03  7.118687E+01  7.462339E+01  4.539807E+01  1.685170E+03  1.661820E+03  1.591425E+03  1.430308E+03  4.984568E+02 -7.098011E+02
   39    1  4.7504E+03  3.0251E+03  8.754163E+01  1.034791E+02  7.163285E+01  1.822354E+03  1.795466E+03  1.715800E+03  1.536516E+03  5.463978E+02 -7.445831E+02
   40    1  4.9164E+03  3.2727E+03  1.026368E+02  1.317397E+02  9.705284E+01  1.886227E+03  1.856688E+03  1.770057E+03  1.578180E+03  5.668318E+02 -7.576831E+02
   41    1  5.1052E+03  3.4555E+03  1.157171E+02  1.560137E+02  1.194028E+02  1.866128E+03  1.835687E+03  1.745395E+03  1.547691E+03  5.512058E+02 -7.596961E+02
   42    1  5.3135E+03  3.5722E+03  1.266025E+02  1.748246E+02  1.385006E+02  1.757505E+03  1.726804E+03  1.635855E+03  1.439419E+03  4.960709E+02 -7.528370E+02
   43    1  5.5546E+03  3.6286E+03  1.367862E+02  1.882644E+02  1.562506E+02  1.559365E+03  1.528623E+03  1.439456E+03  1.250631E+03  3.997112E+02 -7.395927E+02
   44    1  5.8345E+03  3.6189E+03  1.485123E+02  1.946758E+02  1.758473E+02  1.287804E+03  1.258377E+03  1.173007E+03  9.956881E+02  2.632043E+02 -7.384056E+02
   45    1  6.1357E+03  3.5401E+03  1.585852E+02  1.870795E+02  1.934167E+02  9.731363E+02  9.441148E+02  8.626462E+02  6.983842E+02  1.023138E+02 -7.416785E+02
   46    1  6.4361E+03  3.4023E+03  1.639557E+02  1.576536E+02  2.046959E+02  6.589715E+02  6.288245E+02  5.513892E+02  4.017779E+02 -5.089780E+01 -7.281815E+02
   47    1  6.7223E+03  3.2179E+03  1.652093E+02  1.024997E+02  2.103955E+02  3.855036E+02  3.543439E+02  2.818229E+02  1.476088E+02 -1.778183E+02 -7.071037E+02
   48    1  6.9892E+03  2.9969E+03  1.605403E+02  2.108989E+01  2.077294E+02  1.685543E+02  1.367671E+02  6.945995E+01 -5.006738E+01 -2.725139E+02 -6.787680E+02
   49    1  7.2338E+03  2.7476E+03  1.498774E+02 -8.164650E+01  1.961743E+02  9.663990E+00 -2.205370E+01 -8.332940E+01 -1.879466E+02 -3.296839E+02 -6.341056E+02
   50    1  7.4516E+03  2.4737E+03  1.351222E+02 -2.161430E+02  1.779727E+02 -9.560614E+01 -1.268931E+02 -1.812423E+02 -2.702446E+02 -3.524381E+02 -5.759046E+02
   51    1  7.6402E+03  2.1775E+03  1.160215E+02 -2.251439E+02  1.528766E+02 -1.491477E+02 -1.777978E+02 -2.240375E+02 -2.974430E+02 -3.404653E+02 -5.019566E+02
   52    1  7.7989E+03  1.8632E+03  9.291661E+01 -3.184211E+02  1.215983E+02 -1.587356E+02 -1.824294E+02 -2.194631E+02 -2.773535E+02 -2.978000E+02 -4.123564E+02
   53    1  7.9254E+03  1.5344E+03  6.717225E+01 -5.897042E+02  8.624903E+01 -1.366724E+02 -1.551436E+02 -1.825679E+02 -2.244137E+02 -2.329200E+02 -3.105746E+02
   54    1  8.0173E+03  1.1942E+03  3.947972E+01 -2.870097E+02  4.779733E+01 -8.984931E+01 -1.008261E+02 -1.178000E+02 -1.439797E+02 -1.503279E+02 -2.002239E+02
   55    1  8.0748E+03  8.4620E+02  1.044496E+01 -5.150987E+01  7.233348E+00 -2.968491E+01 -3.089842E+01 -3.644912E+01 -4.722326E+01 -5.666454E+01 -8.346546E+01
   56    1  8.0955E+03  4.9507E+02 -1.846466E+01 -4.774817E+02 -3.303497E+01  2.512551E+01  2.952102E+01  3.442306E+01  4.085809E+01  3.416618E+01  3.520508E+01
   57    1  8.0760E+03  1.4422E+02 -4.708832E+01 -1.103275E+03 -7.298387E+01  7.247563E+01  8.198371E+01  9.726007E+01  1.211643E+02  1.206184E+02  1.524271E+02
   58    1  8.0182E+03 -2.0275E+02 -7.441402E+01 -1.956797E+03 -1.110310E+02  1.107419E+02  1.278957E+02  1.541027E+02  1.942025E+02  2.001276E+02  2.629280E+02
   59    1  7.9235E+03 -5.4071E+02 -9.935529E+01  1.994697E+02 -1.453755E+02  1.261027E+02  1.477401E+02  1.835701E+02  2.401968E+02  2.615142E+02  3.629077E+02
   60    1  7.7913E+03 -8.6495E+02 -1.224365E+02  2.333849E+03 -1.769299E+02  1.150987E+02  1.394879E+02  1.840565E+02  2.570955E+02  3.038873E+02  4.534901E+02
