# ITER#1511 (F57 ref-20-NF-C0, tau=0.5e-6, ntime=150)  - 84.4 ms
# Atomic density (m^-3)
   ix   iy      x           y           z01           z02           z03
   32    1  4.3589E+03  6.5012E+02  0.000000E+00  0.000000E+00  0.000000E+00
   33    1  4.3515E+03  1.0072E+03  0.000000E+00  0.000000E+00  0.000000E+00
   34    1  4.3605E+03  1.3634E+03  0.000000E+00  0.000000E+00  0.000000E+00
   35    1  4.3879E+03  1.7170E+03  0.000000E+00  0.000000E+00  0.000000E+00
   36    1  4.4377E+03  2.0654E+03  0.000000E+00  0.000000E+00  0.000000E+00
   37    1  4.5125E+03  2.4051E+03  0.000000E+00  0.000000E+00  0.000000E+00
   38    1  4.6154E+03  2.7294E+03  0.000000E+00  0.000000E+00  0.000000E+00
   39    1  4.7504E+03  3.0251E+03  0.000000E+00  0.000000E+00  0.000000E+00
   40    1  4.9164E+03  3.2727E+03  0.000000E+00  0.000000E+00  0.000000E+00
   41    1  5.1052E+03  3.4555E+03  0.000000E+00  0.000000E+00  0.000000E+00
   42    1  5.3135E+03  3.5722E+03  0.000000E+00  0.000000E+00  0.000000E+00
   43    1  5.5546E+03  3.6286E+03  5.403608E+12  0.000000E+00  0.000000E+00
   44    1  5.8345E+03  3.6189E+03  5.403608E+12  0.000000E+00  0.000000E+00
   45    1  6.1357E+03  3.5401E+03  0.000000E+00  0.000000E+00  0.000000E+00
   46    1  6.4361E+03  3.4023E+03  6.269217E+11  0.000000E+00  0.000000E+00
   47    1  6.7223E+03  3.2179E+03  6.269217E+11  0.000000E+00  0.000000E+00
   48    1  6.9892E+03  2.9969E+03  0.000000E+00  0.000000E+00  0.000000E+00
   49    1  7.2338E+03  2.7476E+03  0.000000E+00  0.000000E+00  0.000000E+00
   50    1  7.4516E+03  2.4737E+03  0.000000E+00  0.000000E+00  0.000000E+00
   51    1  7.6402E+03  2.1775E+03  0.000000E+00  0.000000E+00  0.000000E+00
   52    1  7.7989E+03  1.8632E+03  0.000000E+00  0.000000E+00  0.000000E+00
   53    1  7.9254E+03  1.5344E+03  0.000000E+00  0.000000E+00  0.000000E+00
   54    1  8.0173E+03  1.1942E+03  0.000000E+00  0.000000E+00  0.000000E+00
   55    1  8.0748E+03  8.4620E+02  0.000000E+00  0.000000E+00  0.000000E+00
   56    1  8.0955E+03  4.9507E+02  0.000000E+00  0.000000E+00  0.000000E+00
   57    1  8.0760E+03  1.4422E+02  0.000000E+00  0.000000E+00  0.000000E+00
   58    1  8.0182E+03 -2.0275E+02  0.000000E+00  0.000000E+00  0.000000E+00
   59    1  7.9235E+03 -5.4071E+02  0.000000E+00  0.000000E+00  0.000000E+00
   60    1  7.7913E+03 -8.6495E+02  9.483546E+11  0.000000E+00  0.000000E+00
   61    1  7.6233E+03 -1.1723E+03  9.483546E+11  0.000000E+00  0.000000E+00
   62    1  7.4231E+03 -1.4604E+03  0.000000E+00  0.000000E+00  0.000000E+00
   63    1  7.1956E+03 -1.7276E+03  0.000000E+00  0.000000E+00  0.000000E+00
   64    1  6.9444E+03 -1.9711E+03  0.000000E+00  0.000000E+00  0.000000E+00
   65    1  6.6712E+03 -2.1892E+03  0.000000E+00  0.000000E+00  0.000000E+00
   66    1  6.3795E+03 -2.3804E+03  0.000000E+00  0.000000E+00  0.000000E+00
   67    1  6.0760E+03 -2.5349E+03  0.000000E+00  0.000000E+00  0.000000E+00
   68    1  5.7833E+03 -2.6271E+03  0.000000E+00  0.000000E+00  0.000000E+00
   69    1  5.5581E+03 -2.6394E+03  0.000000E+00  0.000000E+00  0.000000E+00
   70    1  5.4620E+03 -2.6219E+03  8.275065E+17  5.085246E+16  2.567956E+16
   71    1  5.0368E+03 -3.7322E+03  2.716129E+18  1.288338E+17  7.030184E+16
   72    1  5.1093E+03 -3.7836E+03  4.596475E+18  1.905884E+17  1.330155E+17
   73    1  5.1911E+03 -3.8676E+03  5.975389E+18  2.735067E+17  1.937245E+17
   74    1  5.2648E+03 -3.9669E+03  8.502628E+18  3.704980E+17  2.957095E+17
   75    1  5.3274E+03 -4.0657E+03  9.554283E+18  3.785166E+17  3.602914E+17
   76    1  5.3798E+03 -4.1563E+03  1.178378E+19  4.852680E+17  4.515334E+17
   77    1  5.4222E+03 -4.2339E+03  1.134860E+19  5.658934E+17  8.319079E+17
   78    1  5.4554E+03 -4.2970E+03  1.830799E+19  7.535117E+17  1.316887E+18
   79    1  5.4810E+03 -4.3470E+03  2.517723E+19  9.563852E+17  1.744104E+18
   80    1  5.5007E+03 -4.3864E+03  2.336108E+19  1.092957E+18  1.976966E+18
   81    1  5.5159E+03 -4.4170E+03  2.568928E+19  1.473232E+18  1.784346E+18
   82    1  5.5274E+03 -4.4405E+03  1.595131E+19  1.753466E+18  1.348698E+18
   83    1  5.5359E+03 -4.4580E+03  1.326763E+19  2.142020E+18  1.060717E+18
   84    1  5.5420E+03 -4.4706E+03  1.180789E+19  2.643086E+18  7.820673E+17
   85    1  5.5461E+03 -4.4792E+03  1.273967E+19  2.715798E+18  6.710532E+17
   86    1  5.5488E+03 -4.4849E+03  1.193746E+19  3.121419E+18  1.146938E+18
   87    1  5.5506E+03 -4.4886E+03  1.105631E+19  2.860199E+18  6.622827E+17
   88    1  5.5519E+03 -4.4913E+03  8.338673E+18  3.184665E+18  1.454277E+18
   89    1  5.5529E+03 -4.4933E+03  5.191131E+18  1.386673E+18  3.909853E+17
   90    1  5.5538E+03 -4.4953E+03  4.325174E+18  1.564859E+18  6.568987E+17
    1    2  4.1850E+03 -3.8745E+03  1.078391E+19  9.677001E+18  1.183293E+18
    2    2  4.1868E+03 -3.8737E+03  9.746101E+18  8.985928E+18  1.554338E+18
    3    2  4.1888E+03 -3.8729E+03  7.673300E+18  9.075675E+18  1.510098E+18
    4    2  4.1914E+03 -3.8719E+03  4.503746E+18  1.062778E+19  1.891318E+18
    5    2  4.1950E+03 -3.8705E+03  2.268295E+19  8.584532E+18  1.755871E+18
    6    2  4.2004E+03 -3.8683E+03  1.681092E+19  6.031598E+18  1.272407E+18
    7    2  4.2086E+03 -3.8650E+03  3.775824E+19  4.124047E+18  3.838814E+18
    8    2  4.2205E+03 -3.8603E+03  3.674899E+19  3.647173E+18  2.451800E+18
    9    2  4.2371E+03 -3.8538E+03  5.070875E+19  3.380493E+18  2.711434E+18
   10    2  4.2593E+03 -3.8451E+03  7.008793E+19  2.702271E+18  2.237890E+18
   11    2  4.2881E+03 -3.8339E+03  5.035917E+19  2.905704E+18  1.750973E+18
