{NUMBER OF COLUMNS}  5 
*
* Outer target data for shot "80237, 59.5-60.5s, SP swept -2.5cm, +3.5cm from their stationary position in 80295", 
* where 80295 and 80237 were the same plasma scenario.  Data sent by Karl Krieger via email on 07/04/2012.
*
*     psin         Jsat          ne       Te      Ti  
*               (A m-2)        (m-3)    (eV)    (eV)
{DATA} 
* 1.043    4.791e+03    1.180e+18     6.7     6.7
* 1.044    4.878e+03    1.154e+18     7.3     7.3
* 1.045    4.670e+03    1.079e+18     7.6     7.6
* 1.046    4.469e+03    1.023e+18     7.8     7.8
* 1.047    4.335e+03    1.171e+18     5.6     5.6
* 1.048    4.254e+03    1.069e+18     6.4     6.4
* 1.049    4.056e+03    1.021e+18     6.4     6.4
* 1.050    4.065e+03    9.948e+17     6.8     6.8
* 1.051    3.808e+03    9.325e+17     6.8     6.8
* 1.052    3.836e+03    9.780e+17     6.3     6.3
* 1.053    3.589e+03    8.961e+17     6.5     6.5
* 1.054    0.000e+00         -NaN     0.0     0.0
* 1.055    0.000e+00         -NaN     0.0     0.0
* 1.056    0.000e+00         -NaN     0.0     0.0
* 1.057    0.000e+00         -NaN     0.0     0.0
* 1.058    0.000e+00         -NaN     0.0     0.0
* 1.059    0.000e+00         -NaN     0.0     0.0
* 1.060    0.000e+00         -NaN     0.0     0.0
* 1.061    0.000e+00         -NaN     0.0     0.0
* 1.062    0.000e+00         -NaN     0.0     0.0
* 1.063    0.000e+00         -NaN     0.0     0.0
* 1.064    0.000e+00         -NaN     0.0     0.0
* 1.065    1.967e+03    5.869e+17     4.6     4.6
* 1.066    1.876e+03    5.190e+17     5.3     5.3
* 1.067    1.900e+03    5.718e+17     4.5     4.5
* 1.068    1.912e+03    5.263e+17     5.4     5.4
* 1.069    1.860e+03    5.368e+17     4.9     4.9
* 1.070    1.761e+03    5.162e+17     4.7     4.7
* 1.071    1.904e+03    5.535e+17     4.8     4.8
* 1.072    1.889e+03    5.307e+17     5.1     5.1
