   10   24   30    1   10     /NEON               /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 0  /--------/ Z1= 1   / DATE= 20/12/00
 -25.67444 -25.67444 -25.67444 -25.67444 -25.67444 -25.67444 -25.67444 -25.67444
 -25.67444 -25.67444 -25.67444 -25.67443 -25.67448 -25.67444 -25.67425 -25.67486
 -25.67630 -25.67939 -25.69451 -25.72100 -25.76880 -25.89686 -26.03391 -26.17636
 -25.63432 -25.63432 -25.63432 -25.63432 -25.63432 -25.63432 -25.63432 -25.63432
 -25.63432 -25.63433 -25.63432 -25.63429 -25.63441 -25.63432 -25.63383 -25.63441
 -25.63533 -25.63635 -25.64889 -25.67233 -25.71307 -25.82687 -25.95130 -26.08088
 -25.60790 -25.60790 -25.60790 -25.60790 -25.60790 -25.60790 -25.60790 -25.60790
 -25.60789 -25.60790 -25.60790 -25.60786 -25.60802 -25.60790 -25.60721 -25.60777
 -25.60834 -25.60799 -25.61884 -25.64028 -25.67636 -25.78076 -25.89688 -26.01799
 -25.57988 -25.57988 -25.57988 -25.57988 -25.57988 -25.57988 -25.57988 -25.57988
 -25.57988 -25.57989 -25.57988 -25.57984 -25.58004 -25.57989 -25.57899 -25.57953
 -25.57973 -25.57793 -25.58699 -25.60630 -25.63745 -25.73189 -25.83919 -25.95133
 -25.54804 -25.54804 -25.54804 -25.54804 -25.54804 -25.54804 -25.54804 -25.54804
 -25.54804 -25.54805 -25.54804 -25.54798 -25.54824 -25.54804 -25.54691 -25.54742
 -25.54721 -25.54377 -25.55078 -25.56767 -25.59321 -25.67634 -25.77362 -25.87554
 -25.52545 -25.52545 -25.52545 -25.52545 -25.52545 -25.52545 -25.52545 -25.52545
 -25.52544 -25.52546 -25.52545 -25.52538 -25.52567 -25.52545 -25.52415 -25.52465
 -25.52414 -25.51952 -25.52509 -25.54026 -25.56183 -25.63692 -25.72709 -25.82177
 -25.49360 -25.49360 -25.49360 -25.49360 -25.49360 -25.49360 -25.49360 -25.49360
 -25.49360 -25.49362 -25.49360 -25.49352 -25.49387 -25.49361 -25.49207 -25.49254
 -25.49161 -25.48535 -25.48889 -25.50163 -25.51759 -25.58137 -25.66151 -25.74598
 -25.45348 -25.45348 -25.45348 -25.45348 -25.45348 -25.45348 -25.45349 -25.45348
 -25.45348 -25.45350 -25.45348 -25.45339 -25.45380 -25.45349 -25.45166 -25.45209
 -25.45064 -25.44231 -25.44327 -25.45297 -25.46186 -25.51137 -25.57890 -25.65051
 -25.42706 -25.42706 -25.42706 -25.42706 -25.42706 -25.42706 -25.42706 -25.42706
 -25.42705 -25.42708 -25.42706 -25.42696 -25.42741 -25.42706 -25.42504 -25.42545
 -25.42365 -25.41395 -25.41322 -25.42091 -25.42515 -25.46527 -25.52448 -25.58762
 -25.39905 -25.39905 -25.39905 -25.39905 -25.39905 -25.39905 -25.39905 -25.39905
 -25.39904 -25.39907 -25.39904 -25.39893 -25.39943 -25.39905 -25.39682 -25.39721
 -25.39504 -25.38390 -25.38137 -25.38693 -25.38624 -25.41640 -25.46680 -25.52095
 -25.36720 -25.36720 -25.36720 -25.36720 -25.36720 -25.36720 -25.36720 -25.36720
 -25.36719 -25.36723 -25.36720 -25.36708 -25.36762 -25.36721 -25.36474 -25.36510
 -25.36252 -25.34973 -25.34516 -25.34830 -25.34200 -25.36085 -25.40122 -25.44516
---------------------/ IGRD= 1  / IPRT= 0  /--------/ Z1= 2   / DATE= 20/12/00
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -66.65573 -67.64541 -68.04514 -67.86122 -67.88113 -67.90992 -67.89807 -67.89941
 -67.90127 -67.90039 -67.90049 -67.90062 -67.90056 -67.90056 -67.90057 -67.90057
 -67.90057 -67.90057 -67.90057 -67.90047 -67.90013 -67.90086 -67.90298 -67.90528
 -47.99403 -48.08963 -48.12824 -48.11047 -48.11239 -48.11518 -48.11403 -48.11416
