{NUMBER OF COLUMNS}  3
* 51587 @ 6060
*  rho            jsat            Te    ne
*  (m)            (Am-2)          (eV)  (m-3)
{DATA}
-0.03386	4.22E+01	3.9	1.36E+16	
-0.02965	5.10E+01	4.8	1.48E+16	
-0.02553	5.65E+01	5.9	1.49E+16	Outlying points removed
-0.02151	4.10E+01	4.2	1.28E+16	
-0.01553	7.53E+01	6.7	1.85E+16	-0.01761	3.15E+01	1.0	2.01E+16	
-0.01081	3.43E+02	6.5	8.58E+16	
-0.00652	9.08E+02	7.2	2.16E+17	
-0.00359	2.27E+03	5.1	6.44E+17	
-0.00046	8.60E+03	8.9	1.84E+18	 0.00253	2.56E+04	2.1	1.11E+19	
 0.00539	5.87E+04	24.5	7.55E+18	
 0.00814	5.92E+04	24.8	7.59E+18	
 0.00947	3.23E+04	13.8	5.54E+18	
 0.01279	3.64E+04	11.6	6.81E+18	
 0.01794	2.46E+04	12.9	4.36E+18	 0.01591	2.57E+04	5.9	6.77E+18	
 0.02006	1.57E+04	16.9	2.43E+18	
 0.02204	1.34E+04	14.5	2.25E+18	
 0.02388	9.00E+03	14.5	1.51E+18	
 0.04000	2.00E+03	14.5	3.35E+17	
 0.04010	0.00E+00	0.0	0.00E+00	
 0.15000	0.00E+00	0.0	0.00E+00	
{END}
