* number of heading lines in this data file : 15
* 
* BM 3D coordinates extracted from CASTEM
* Post-proc in Matlab : only reading CASTEM raw data (for checking) and write concatenate ascii files - no modifications of X,Y,Z coordinates
* Date CASTEM calculations : 15/03/2011
* Date Matlab post-processing data : 15/03/2011
* Files can be found in : C:\CASTEM_FW.BM coordinates for Steve. march. 2011 (bis) -  whole column - def
* Modif compared to latest version : - 
* 
* FIRST WALL GEOMETRY:
* Reference design November 2009 - slightly adjusted in January 2010 (CATIA skeleton post-Blanket CDR)
* higher spatial resolution than the one used for previous DIVIMP grid (2010)
* 
* DATA
* nºnode  nºelem  X(m)    Y(m)    Z(m) 
  1.000   1.000   8.397   0.597   1.205
  2.000   1.000   8.403   0.597   1.156
  3.000   1.000   8.408   0.597   1.156
  4.000   1.000   8.402   0.597   1.206
  5.000   2.000   8.391   0.597   1.254
  6.000   2.000   8.397   0.597   1.205
  7.000   2.000   8.402   0.597   1.206
  8.000   2.000   8.396   0.597   1.255
  9.000   3.000   8.385   0.597   1.304
 10.000   3.000   8.391   0.597   1.254
 11.000   3.000   8.396   0.597   1.255
 12.000   3.000   8.390   0.597   1.304
 13.000   4.000   8.380   0.597   1.353
 14.000   4.000   8.385   0.597   1.304
 15.000   4.000   8.390   0.597   1.304
 16.000   4.000   8.384   0.597   1.354
 17.000   5.000   8.374   0.597   1.403
 18.000   5.000   8.380   0.597   1.353
 19.000   5.000   8.384   0.597   1.354
 20.000   5.000   8.379   0.597   1.403
 21.000   6.000   8.368   0.597   1.452
 22.000   6.000   8.374   0.597   1.403
 23.000   6.000   8.379   0.597   1.403
 24.000   6.000   8.373   0.597   1.452
 25.000   7.000   8.362   0.597   1.501
 26.000   7.000   8.368   0.597   1.452
 27.000   7.000   8.373   0.597   1.452
 28.000   7.000   8.367   0.597   1.502
 29.000   8.000   8.356   0.597   1.551
 30.000   8.000   8.362   0.597   1.501
 31.000   8.000   8.367   0.597   1.502
 32.000   8.000   8.361   0.597   1.551
 33.000   9.000   8.350   0.597   1.600
 34.000   9.000   8.356   0.597   1.551
 35.000   9.000   8.361   0.597   1.551
 36.000   9.000   8.355   0.597   1.601
 37.000  10.000   8.345   0.597   1.649
 38.000  10.000   8.350   0.597   1.600
 39.000  10.000   8.355   0.597   1.601
 40.000  10.000   8.350   0.597   1.650
 41.000  11.000   8.343   0.597   1.659
 42.000  11.000   8.345   0.597   1.649
 43.000  11.000   8.350   0.597   1.650
 44.000  11.000   8.348   0.597   1.660
 45.000  12.000   8.324   0.587   1.657
 46.000  12.000   8.343   0.597   1.659
 47.000  12.000   8.348   0.597   1.660
 48.000  12.000   8.329   0.587   1.657
 49.000  13.000   8.300   0.534   1.654
 50.000  13.000   8.324   0.587   1.657
 51.000  13.000   8.329   0.587   1.657
 52.000  13.000   8.305   0.534   1.655
 53.000  14.000   8.292   0.481   1.653
 54.000  14.000   8.300   0.534   1.654
 55.000  14.000   8.305   0.534   1.655
 56.000  14.000   8.297   0.481   1.654
 57.000  15.000   8.287   0.428   1.653
 58.000  15.000   8.292   0.481   1.653
 59.000  15.000   8.297   0.481   1.654
 60.000  15.000   8.292   0.428   1.653
 61.000  16.000   8.283   0.375   1.652
 62.000  16.000   8.287   0.428   1.653
 63.000  16.000   8.292   0.428   1.653
 64.000  16.000   8.288   0.375   1.653
 65.000  17.000   8.280   0.323   1.652
 66.000  17.000   8.283   0.375   1.652
 67.000  17.000   8.288   0.375   1.653
 68.000  17.000   8.285   0.323   1.652
 69.000  18.000   8.278   0.270   1.651
 70.000  18.000   8.280   0.323   1.652
 71.000  18.000   8.285   0.323   1.652
 72.000  18.000   8.283   0.270   1.652
 73.000  19.000   8.276   0.217   1.651
 74.000  19.000   8.278   0.270   1.651
 75.000  19.000   8.283   0.270   1.652
 76.000  19.000   8.281   0.217   1.652
 77.000  20.000   8.279   0.158   1.652
 78.000  20.000   8.276   0.217   1.651
 79.000  20.000   8.281   0.217   1.652
 80.000  20.000   8.284   0.158   1.652
 81.000  21.000   8.282   0.099   1.652
 82.000  21.000   8.279   0.158   1.652
 83.000  21.000   8.284   0.158   1.652
 84.000  21.000   8.287   0.099   1.653
 85.000  22.000   8.286   0.040   1.652
 86.000  22.000   8.282   0.099   1.652
 87.000  22.000   8.287   0.099   1.653
 88.000  22.000   8.290   0.040   1.653
 89.000  23.000   8.286   0.030   1.652
 90.000  23.000   8.286   0.040   1.652
 91.000  23.000   8.290   0.040   1.653
 92.000  23.000   8.291   0.030   1.653
 93.000  24.000   8.287   0.030   1.643
 94.000  24.000   8.286   0.030   1.652
 95.000  24.000   8.291   0.030   1.653
 96.000  24.000   8.292   0.030   1.643
 97.000  25.000   8.293   0.030   1.593
 98.000  25.000   8.287   0.030   1.643
 99.000  25.000   8.292   0.030   1.643
100.000  25.000   8.298   0.030   1.594
101.000  26.000   8.299   0.030   1.544
102.000  26.000   8.293   0.030   1.593
103.000  26.000   8.298   0.030   1.594
104.000  26.000   8.304   0.030   1.544
105.000  27.000   8.305   0.030   1.494
106.000  27.000   8.299   0.030   1.544
107.000  27.000   8.304   0.030   1.544
108.000  27.000   8.310   0.030   1.495
109.000  28.000   8.311   0.030   1.445
110.000  28.000   8.305   0.030   1.494
111.000  28.000   8.310   0.030   1.495
112.000  28.000   8.316   0.030   1.446
113.000  29.000   8.317   0.030   1.396
114.000  29.000   8.311   0.030   1.445
115.000  29.000   8.316   0.030   1.446
116.000  29.000   8.322   0.030   1.396
117.000  30.000   8.322   0.030   1.346
118.000  30.000   8.317   0.030   1.396
119.000  30.000   8.322   0.030   1.396
120.000  30.000   8.327   0.030   1.347
121.000  31.000   8.328   0.030   1.297
122.000  31.000   8.322   0.030   1.346
123.000  31.000   8.327   0.030   1.347
124.000  31.000   8.333   0.030   1.298
125.000  32.000   8.334   0.030   1.248
126.000  32.000   8.328   0.030   1.297
127.000  32.000   8.333   0.030   1.298
128.000  32.000   8.339   0.030   1.248
129.000  33.000   8.340   0.030   1.198
130.000  33.000   8.334   0.030   1.248
131.000  33.000   8.339   0.030   1.248
132.000  33.000   8.345   0.030   1.199
133.000  34.000   8.346   0.030   1.149
134.000  34.000   8.340   0.030   1.198
135.000  34.000   8.345   0.030   1.199
136.000  34.000   8.351   0.030   1.150
137.000  35.000   8.392   0.597   1.204
138.000  35.000   8.398   0.597   1.155
139.000  35.000   8.403   0.597   1.156
140.000  35.000   8.397   0.597   1.205
141.000  36.000   8.386   0.597   1.254
142.000  36.000   8.392   0.597   1.204
143.000  36.000   8.397   0.597   1.205
144.000  36.000   8.391   0.597   1.254
145.000  37.000   8.380   0.597   1.303
146.000  37.000   8.386   0.597   1.254
147.000  37.000   8.391   0.597   1.254
148.000  37.000   8.385   0.597   1.304
149.000  38.000   8.375   0.597   1.353
150.000  38.000   8.380   0.597   1.303
151.000  38.000   8.385   0.597   1.304
152.000  38.000   8.380   0.597   1.353
153.000  39.000   8.369   0.597   1.402
154.000  39.000   8.375   0.597   1.353
155.000  39.000   8.380   0.597   1.353
156.000  39.000   8.374   0.597   1.403
157.000  40.000   8.363   0.597   1.451
158.000  40.000   8.369   0.597   1.402
159.000  40.000   8.374   0.597   1.403
160.000  40.000   8.368   0.597   1.452
161.000  41.000   8.357   0.597   1.501
162.000  41.000   8.363   0.597   1.451
163.000  41.000   8.368   0.597   1.452
164.000  41.000   8.362   0.597   1.501
165.000  42.000   8.351   0.597   1.550
166.000  42.000   8.357   0.597   1.501
167.000  42.000   8.362   0.597   1.501
168.000  42.000   8.356   0.597   1.551
169.000  43.000   8.345   0.597   1.599
170.000  43.000   8.351   0.597   1.550
171.000  43.000   8.356   0.597   1.551
172.000  43.000   8.350   0.597   1.600
173.000  44.000   8.339   0.597   1.649
174.000  44.000   8.345   0.597   1.599
175.000  44.000   8.350   0.597   1.600
176.000  44.000   8.345   0.597   1.649
177.000  45.000   8.338   0.597   1.659
178.000  45.000   8.339   0.597   1.649
179.000  45.000   8.345   0.597   1.649
180.000  45.000   8.343   0.597   1.659
181.000  46.000   8.319   0.587   1.656
182.000  46.000   8.338   0.597   1.659
183.000  46.000   8.343   0.597   1.659
184.000  46.000   8.324   0.587   1.657
185.000  47.000   8.296   0.534   1.654
186.000  47.000   8.319   0.587   1.656
187.000  47.000   8.324   0.587   1.657
188.000  47.000   8.300   0.534   1.654
189.000  48.000   8.287   0.481   1.653
190.000  48.000   8.296   0.534   1.654
191.000  48.000   8.300   0.534   1.654
192.000  48.000   8.292   0.481   1.653
193.000  49.000   8.282   0.428   1.652
194.000  49.000   8.287   0.481   1.653
195.000  49.000   8.292   0.481   1.653
196.000  49.000   8.287   0.428   1.653
197.000  50.000   8.278   0.375   1.652
198.000  50.000   8.282   0.428   1.652
199.000  50.000   8.287   0.428   1.653
200.000  50.000   8.283   0.375   1.652
201.000  51.000   8.275   0.323   1.651
202.000  51.000   8.278   0.375   1.652
203.000  51.000   8.283   0.375   1.652
204.000  51.000   8.280   0.323   1.652
205.000  52.000   8.273   0.270   1.651
206.000  52.000   8.275   0.323   1.651
207.000  52.000   8.280   0.323   1.652
208.000  52.000   8.278   0.270   1.651
209.000  53.000   8.271   0.217   1.651
210.000  53.000   8.273   0.270   1.651
211.000  53.000   8.278   0.270   1.651
212.000  53.000   8.276   0.217   1.651
213.000  54.000   8.274   0.158   1.651
214.000  54.000   8.271   0.217   1.651
215.000  54.000   8.276   0.217   1.651
216.000  54.000   8.279   0.158   1.652
217.000  55.000   8.277   0.099   1.651
218.000  55.000   8.274   0.158   1.651
219.000  55.000   8.279   0.158   1.652
220.000  55.000   8.282   0.099   1.652
221.000  56.000   8.281   0.040   1.652
222.000  56.000   8.277   0.099   1.651
223.000  56.000   8.282   0.099   1.652
224.000  56.000   8.286   0.040   1.652
225.000  57.000   8.281   0.030   1.652
226.000  57.000   8.281   0.040   1.652
227.000  57.000   8.286   0.040   1.652
228.000  57.000   8.286   0.030   1.652
229.000  58.000   8.282   0.030   1.642
230.000  58.000   8.281   0.030   1.652
231.000  58.000   8.286   0.030   1.652
232.000  58.000   8.287   0.030   1.643
233.000  59.000   8.288   0.030   1.593
234.000  59.000   8.282   0.030   1.642
235.000  59.000   8.287   0.030   1.643
236.000  59.000   8.293   0.030   1.593
237.000  60.000   8.294   0.030   1.543
238.000  60.000   8.288   0.030   1.593
239.000  60.000   8.293   0.030   1.593
