# ITER#1511 (F57 ref-20-NF-C0, tau=0.5e-6, ntime=150)  - 84.4 ms
# parallel velocity (up) (m.s-1)
   ix   iy      x           y           z01           z02           z03           z04           z05           z06           z07           z08           z09
    1    1  4.1805E+03 -3.8836E+03 -2.612730E+03 -2.614000E+03 -2.613391E+03 -2.611990E+03 -2.612865E+03 -2.612943E+03 -2.612945E+03 -2.612936E+03 -2.612925E+03
    2    1  4.1824E+03 -3.8828E+03 -1.805917E+03 -1.803656E+03 -1.804814E+03 -1.795787E+03 -1.802636E+03 -1.803836E+03 -1.804216E+03 -1.804357E+03 -1.804425E+03
    3    1  4.1844E+03 -3.8820E+03 -1.091819E+03 -1.085825E+03 -1.089245E+03 -1.077716E+03 -1.086888E+03 -1.088703E+03 -1.089341E+03 -1.089612E+03 -1.089761E+03
    4    1  4.1869E+03 -3.8810E+03 -7.084194E+02 -7.045000E+02 -7.069089E+02 -6.996456E+02 -7.054940E+02 -7.066627E+02 -7.070792E+02 -7.072652E+02 -7.073677E+02
    5    1  4.1905E+03 -3.8796E+03 -3.710138E+02 -3.687591E+02 -3.699898E+02 -3.653501E+02 -3.690514E+02 -3.697337E+02 -3.699630E+02 -3.700613E+02 -3.701123E+02
    6    1  4.1960E+03 -3.8775E+03 -4.493143E+02 -4.449094E+02 -4.472728E+02 -4.388105E+02 -4.456277E+02 -4.468910E+02 -4.473121E+02 -4.474904E+02 -4.475811E+02
    7    1  4.2042E+03 -3.8742E+03 -1.143236E+03 -1.130264E+03 -1.137764E+03 -1.114454E+03 -1.133169E+03 -1.136944E+03 -1.138254E+03 -1.138836E+03 -1.139143E+03
    8    1  4.2161E+03 -3.8696E+03 -1.742620E+03 -1.724576E+03 -1.734707E+03 -1.705249E+03 -1.728580E+03 -1.733688E+03 -1.735513E+03 -1.736337E+03 -1.736778E+03
    9    1  4.2326E+03 -3.8631E+03 -1.838299E+03 -1.825788E+03 -1.830745E+03 -1.819026E+03 -1.826801E+03 -1.829847E+03 -1.831045E+03 -1.831591E+03 -1.831879E+03
   10    1  4.2548E+03 -3.8546E+03 -1.986265E+03 -1.970886E+03 -1.978343E+03 -1.970403E+03 -1.973919E+03 -1.977932E+03 -1.979803E+03 -1.980770E+03 -1.981323E+03
   11    1  4.2836E+03 -3.8436E+03 -2.537382E+03 -2.511336E+03 -2.526447E+03 -2.493199E+03 -2.517588E+03 -2.525343E+03 -2.528688E+03 -2.530412E+03 -2.531392E+03
   12    1  4.3204E+03 -3.8299E+03 -2.259930E+03 -2.238622E+03 -2.250855E+03 -2.219264E+03 -2.243095E+03 -2.249632E+03 -2.252410E+03 -2.253843E+03 -2.254654E+03
   13    1  4.3667E+03 -3.8129E+03 -1.624296E+03 -1.614834E+03 -1.620587E+03 -1.610339E+03 -1.617386E+03 -1.620364E+03 -1.621692E+03 -1.622402E+03 -1.622810E+03
   14    1  4.4249E+03 -3.7925E+03 -1.446459E+03 -1.446041E+03 -1.446241E+03 -1.448735E+03 -1.446322E+03 -1.446449E+03 -1.446561E+03 -1.446648E+03 -1.446703E+03
   15    1  4.4971E+03 -3.7686E+03 -1.229257E+03 -1.231093E+03 -1.230072E+03 -1.234203E+03 -1.230951E+03 -1.230378E+03 -1.230188E+03 -1.230126E+03 -1.230103E+03
   16    1  4.5842E+03 -3.7423E+03 -8.692939E+02 -8.703685E+02 -8.698887E+02 -8.711836E+02 -8.703773E+02 -8.700530E+02 -8.699410E+02 -8.699093E+02 -8.699019E+02
   17    1  4.6845E+03 -3.7170E+03 -5.378333E+02 -5.412380E+02 -5.391104E+02 -5.446007E+02 -5.404050E+02 -5.393120E+02 -5.389100E+02 -5.387312E+02 -5.386386E+02
   18    1  4.7929E+03 -3.6989E+03 -5.079634E+02 -5.102752E+02 -5.087307E+02 -5.132570E+02 -5.096396E+02 -5.088554E+02 -5.085665E+02 -5.084264E+02 -5.083515E+02
   19    1  4.8964E+03 -3.6959E+03 -7.074774E+02 -7.087045E+02 -7.078347E+02 -7.098674E+02 -7.083758E+02 -7.078794E+02 -7.076651E+02 -7.075414E+02 -7.074548E+02
   20    1  4.9755E+03 -3.7077E+03 -8.046098E+02 -8.064230E+02 -8.052414E+02 -8.065118E+02 -8.060392E+02 -8.053190E+02 -8.049152E+02 -8.046803E+02 -8.045326E+02
   21    1  5.4416E+03 -2.6135E+03 -1.402500E+02 -9.914883E+01 -7.842915E+01 -1.809296E+03 -1.789328E+03 -1.713254E+03 -1.533054E+03 -5.762484E+02  6.955860E+02
   22    1  5.3527E+03 -2.5513E+03 -1.310232E+02 -1.015617E+02 -7.461940E+01 -1.825091E+03 -1.794875E+03 -1.710443E+03 -1.526914E+03 -5.773854E+02  6.783635E+02
   23    1  5.1855E+03 -2.3739E+03 -1.182976E+02 -1.009219E+02 -7.126619E+01 -1.821450E+03 -1.793285E+03 -1.713528E+03 -1.536495E+03 -5.777838E+02  6.833378E+02
   24    1  5.0190E+03 -2.1003E+03 -1.029207E+02 -9.450976E+01 -6.786638E+01 -1.728369E+03 -1.705066E+03 -1.633757E+03 -1.470813E+03 -5.371218E+02  6.851464E+02
