{NUMBER OF COLUMNS}       5
*
* SHOTS  =   24861
* TIMES  =     0.233333 to     0.249333 s
* SMOOTH =       5
* SAMPLE =       1
*
*       PSIn           r           z        dens          Te
*                    (m)         (m)       (m-3)        (eV)
{DATA LIST}
    0.149776    0.910568    0.000000    5.61E+19      432.48
    0.149894    0.900307    0.000000    5.66E+19      439.01
    0.150215    0.909912    0.000000    5.63E+19      434.69
    0.150272    0.921469    0.000000    5.62E+19      432.15
    0.150394    0.911881    0.000000    5.61E+19      436.23
    0.150612    0.901653    0.000000    5.60E+19      432.50
    0.150781    0.920830    0.000000    5.60E+19      434.25
    0.151279    0.920191    0.000000    5.62E+19      440.47
    0.151292    0.922107    0.000000    5.64E+19      438.48
    0.152345    0.931714    0.000000    5.61E+19      445.67
    0.152914    0.931091    0.000000    5.63E+19      446.07
    0.153313    0.932335    0.000000    5.71E+19      439.69
    0.153472    0.930470    0.000000    5.74E+19      429.26
    0.155561    0.941959    0.000000    5.69E+19      445.48
    0.156193    0.941354    0.000000    5.69E+19      453.51
    0.156477    0.942564    0.000000    5.78E+19      447.88
    0.156814    0.940750    0.000000    5.77E+19      443.76
    0.159918    0.952203    0.000000    5.68E+19      458.43
    0.160616    0.951616    0.000000    5.67E+19      458.86
    0.160779    0.952791    0.000000    5.78E+19      450.16
    0.161303    0.951028    0.000000    5.79E+19      439.30
    0.165415    0.962447    0.000000    5.72E+19      455.22
    0.166183    0.961877    0.000000    5.73E+19      453.37
    0.166219    0.963019    0.000000    5.83E+19      440.87
    0.166940    0.961307    0.000000    5.76E+19      432.25
    0.168352    0.913520    0.000000    5.76E+19      436.53
    0.168429    0.903335    0.000000    5.79E+19      420.06
    0.169392    0.923705    0.000000    5.90E+19      410.11
    0.171561    0.933889    0.000000    5.84E+19      430.79
    0.172057    0.972692    0.000000    5.87E+19      431.43
    0.172799    0.973245    0.000000    5.75E+19      441.86
    0.172898    0.972138    0.000000    5.73E+19      439.88
    0.173729    0.971585    0.000000    5.73E+19      440.65
    0.174875    0.944076    0.000000    5.78E+19      425.52
    0.179328    0.954260    0.000000    5.74E+19      439.62
    0.179847    0.982936    0.000000    5.81E+19      421.07
    0.180526    0.983473    0.000000    5.73E+19      436.63
    0.180765    0.982400    0.000000    5.74E+19      428.37
    0.181672    0.981863    0.000000    5.71E+19      427.35
    0.184920    0.964445    0.000000    5.67E+19      435.56
    0.188773    0.993177    0.000000    5.63E+19      439.05
    0.189388    0.993700    0.000000    5.65E+19      442.50
    0.189769    0.992654    0.000000    5.64E+19      447.61
    0.190765    0.992141    0.000000    5.59E+19      447.42
    0.191655    0.974630    0.000000    5.56E+19      448.41
    0.198843    1.003430    0.000000    5.62E+19      448.56
    0.199380    1.003930    0.000000    5.62E+19      430.56
