{NUMBER OF COLUMNS}       4
*
* SHOTS  =   24861
* TIMES  =     0.230053 to     0.249813 s
*
*       PSIn        jsat        jsol          Te
*                (A m-2)       (A ?)        (eV)
{DATA LIST}
    0.983192    2.43E+04   -1.25E+03        5.69
    0.983563    2.44E+04    1.74E+04        3.86
    0.983837    3.25E+04    2.23E+04        4.69
    0.984199    3.64E+04    3.18E+04        3.98
    0.984392    2.73E+04    2.72E+04        1.31
    0.984835    2.70E+04    1.96E+04        3.90
    0.985222    3.03E+04    2.35E+04        4.30
    0.985656    3.20E+04    2.98E+04        3.38
    0.986051    2.70E+04    8.87E+03       25.05
    0.986477    3.04E+04    2.96E+04        3.41
    0.986881    2.10E+04    2.06E+04        3.97
    0.987299    2.78E+04    2.47E+04        3.82
    0.987710    2.50E+04    2.48E+04        2.48
    0.988941    2.51E+04    2.28E+04        3.82
    0.989762    8.20E+03    5.92E+03        7.18
    0.990144    2.32E+04    1.89E+04        5.37
    0.990435    1.39E+04    1.36E+04        3.08
    0.990584    2.49E+04    2.42E+04        3.93
    0.990800    1.60E+04    1.48E+04        3.59
    0.990958    2.60E+04    2.57E+04        2.45
    0.991164    1.63E+04    7.86E+03       23.35
    0.991405    2.52E+04    2.06E+04        4.46
    0.991529    1.87E+04    1.70E+04        5.21
    0.991771    2.10E+04    1.81E+04        5.16
    0.992226    1.58E+04    1.58E+04        0.84
    0.992585    1.91E+04    1.77E+04        3.87
    0.993048    8.71E+03    7.76E+03        4.77
    0.993398    3.98E+03    3.98E+03        0.61
    0.993869    9.47E+03    7.21E+03        3.96
    0.994690    1.57E+04    1.41E+04        2.69
    0.995025    8.15E+03    5.72E+03        4.79
    0.996956    2.12E+04    8.14E+03        7.24
    0.997023    8.46E+03    8.32E+03        3.16
    0.997325    1.58E+04   -5.21E+03        3.03
    0.997465    1.08E+04    8.48E+03        5.03
    0.997695    1.82E+04    1.30E+04        2.86
    0.997829    6.35E+03    5.25E+03        3.74
    0.998065    9.83E+03    5.70E+03        4.87
    0.998279    7.77E+03    4.53E+03        5.88
    0.998435    1.38E+04    5.73E+03        6.95
    0.998635    8.40E+03    8.30E+03        1.54
    0.999092    9.65E+03    5.55E+03        4.55
    0.999441    6.42E+03    3.63E+03        4.05
    1.000247    2.10E+04    1.09E+04        3.74
    1.000719    2.43E+04   -9.20E+03        4.47
    1.001052    2.88E+04   -1.00E+04       11.69
    1.001532    1.27E+04    1.11E+04        1.74
    1.001858    3.37E+04    1.28E+04        3.69
    1.003814    1.21E+04    6.59E+03        5.79
    1.004276    1.45E+04    1.64E+03       19.46
    1.004612    1.65E+04    8.98E+03        3.57
    1.005082    3.67E+04    7.70E+03       18.38
    1.005261    3.45E+04    1.96E+03       16.44
    1.005410    2.37E+04    1.40E+04        3.69
    1.005887    4.14E+04    1.81E+03        4.31
    1.006209    3.51E+04    6.18E+03        4.31
    1.006693    3.71E+04   -1.36E+04        6.21
    1.007007    3.98E+04   -6.11E+03        3.21
    1.007806    2.11E+04   -9.31E+03        5.86
    1.010500    3.87E+04    7.51E+03        7.15
    1.010833    5.00E+04    5.65E+03       46.28
    1.012082    3.46E+04    1.79E+04        3.32
    1.012873    4.16E+04    3.25E+03       17.68
    1.013665    5.00E+04   -6.92E+02       29.75
    1.014193    3.90E+04   -2.72E+04        9.12
    1.015247    3.97E+04   -6.17E+03       14.55
    1.016039    3.99E+04   -2.12E+04        8.81
    1.016830    3.94E+04    5.93E+03       20.41
    1.017022    3.38E+04   -2.12E+04        8.50
    1.017066    5.00E+04    6.54E+03       42.01
    1.017418    3.36E+04    1.03E+04       12.74
    1.017621    3.31E+04   -1.30E+04        8.97
    1.017813    3.72E+04    2.24E+03       20.42
    1.017851    5.00E+04    7.76E+03       70.86
    1.018209    2.99E+04   -7.12E+04        3.41
    1.018604    2.77E+04   -8.21E+03        6.01
    1.018635    2.76E+04   -4.24E+02        4.72
    1.019204    4.22E+04   -5.44E+04        9.77
    1.019419    2.70E+04    2.11E+03        2.33
    1.019995    3.76E+04   -4.22E+03       11.15
    1.020204    2.46E+04    3.41E+03        4.63
    1.020787    2.18E+04   -8.03E+02        5.65
    1.020988    2.68E+04   -5.97E+03        4.34
    1.021578    3.06E+04   -7.44E+03       13.81
    1.022557    3.13E+04    4.44E+03       21.70
    1.023342    1.95E+04    1.01E+04        3.25
    1.023464    2.13E+04    3.87E+03        4.53
    1.023498    3.24E+04    4.43E+03       16.02
    1.023870    2.68E+04   -3.17E+04        4.03
