    4   24   25    1    4     /BERYLLIUM          /GCR PROJECT      
--------------------------------------------------------------------------------
    2    1    2    1    1                                                       
--------------------------------------------------------------------------------
   4.00000   4.47712   5.00000   5.47712   6.00000   6.47712   7.00000   7.47712
   8.00000   8.47712   9.00000   9.47712  10.00000  10.47712  11.00000  11.47712
  12.00000  12.47712  13.00000  13.47712  14.00000  14.47712  15.00000  15.47712
  -0.69877  -0.52268  -0.30083  -0.15470   0.07938   0.30123   0.47732   0.65341
   0.84530   1.04159   1.25547   1.44736   1.65341   1.84530   2.00020   2.23065
   2.43157   2.63367   2.82628   3.02139   3.21690   3.39814   3.60766   3.79954
   4.00020
---------------------/ IPRT= 1  / IGRD= 0  /--------/ Z1= 1   / DATE= 23/02/06
 -30.45143 -30.44329 -30.43451 -30.42741 -30.42221 -30.41942 -30.41333 -30.40958
 -30.40131 -30.39592 -30.39078 -30.38253 -30.38051 -30.38182 -30.37727 -30.36997
 -30.37347 -30.37133 -30.37184 -30.36894 -30.36972 -30.37151 -30.36491 -30.35673
 -30.49404 -30.48122 -30.46756 -30.45630 -30.44735 -30.44181 -30.43188 -30.42565
 -30.41345 -30.40503 -30.39726 -30.38537 -30.38172 -30.38245 -30.37577 -30.36579
 -30.36974 -30.36657 -30.36690 -30.36306 -30.36376 -30.36612 -30.35741 -30.34657
 -30.53354 -30.51638 -30.49820 -30.48308 -30.47067 -30.46257 -30.44909 -30.44056
 -30.42471 -30.41348 -30.40327 -30.38801 -30.38284 -30.38304 -30.37438 -30.36191
 -30.36628 -30.36216 -30.36232 -30.35762 -30.35823 -30.36113 -30.35045 -30.33715
 -30.57920 -30.55703 -30.53361 -30.51404 -30.49762 -30.48657 -30.46897 -30.45779
 -30.43772 -30.42324 -30.41022 -30.39106 -30.38413 -30.38371 -30.37277 -30.35743
 -30.36227 -30.35706 -30.35703 -30.35133 -30.35185 -30.35536 -30.34241 -30.32627
 -30.62102 -30.59426 -30.56605 -30.54239 -30.52230 -30.50855 -30.48718 -30.47357
 -30.44963 -30.43219 -30.41658 -30.39386 -30.38532 -30.38433 -30.37130 -30.35332
 -30.35861 -30.35238 -30.35219 -30.34557 -30.34600 -30.35008 -30.33504 -30.31629
 -30.66475 -30.63319 -30.59997 -30.57204 -30.54812 -30.53154 -30.50622 -30.49007
 -30.46209 -30.44154 -30.42324 -30.39678 -30.38656 -30.38498 -30.36975 -30.34903
 -30.35477 -30.34750 -30.34712 -30.33954 -30.33988 -30.34455 -30.32734 -30.30586
---------------------/ IPRT= 1  / IGRD= 0  /--------/ Z1= 2   / DATE= 23/02/06
 -28.94611 -28.94071 -28.93421 -28.92664 -28.91548 -28.90167 -28.87978 -28.85105
 -28.81340 -28.77705 -28.72049 -28.64542 -28.53896 -28.41855 -28.25846 -28.07768
 -27.82125 -27.53800 -27.17841 -26.80848 -26.36900 -25.95150 -25.49970 -25.11866
 -29.06802 -29.06485 -29.06047 -29.05526 -29.04762 -29.03820 -29.02360 -29.00495
 -28.97994 -28.95429 -28.91495 -28.86221 -28.78739 -28.70315 -28.58808 -28.45411
 -28.26287 -28.04754 -27.76608 -27.46294 -27.08261 -26.70422 -26.27359 -25.89551
 -29.22098 -29.21910 -29.21659 -29.21373 -29.20951 -29.20406 -29.19532 -29.18398
 -29.16901 -29.15400 -29.12912 -29.09742 -29.05093 -28.99777 -28.92212 -28.83566
 -28.70928 -28.56475 -28.37086 -28.15377 -27.87047 -27.56893 -27.20413 -26.85824
 -29.32182 -29.32067 -29.31928 -29.31750 -29.31448 -29.31032 -29.30402 -29.29661
 -29.28659 -29.27529 -29.25749 -29.23473 -29.20171 -29.16289 -29.10953 -29.04421
 -28.94993 -28.84342 -28.69660 -28.52981 -28.30533 -28.06396 -27.75853 -27.45983
 -29.48169 -29.48123 -29.48091 -29.48005 -29.47841 -29.47645 -29.47321 -29.46855
