# ITER#1513 (F57 ref-20-NF-C0, tau=0.4e-6, ntime=150)  - 79.9 ms
# electron temperature (eV)
   ix   iy      x           y           z01
   16    2  4.5880E+03 -3.7302E+03  5.665096E-01
   17    2  4.6877E+03 -3.7037E+03  5.288544E-01
   18    2  4.7961E+03 -3.6836E+03  6.113120E-01
   19    2  4.9013E+03 -3.6785E+03  7.772099E-01
   20    2  4.9818E+03 -3.6895E+03  9.491587E-01
   21    2  5.4113E+03 -2.6783E+03  1.769719E+03
   22    2  5.3141E+03 -2.6035E+03  1.769720E+03
   23    2  5.1453E+03 -2.4055E+03  1.769722E+03
   24    2  4.9856E+03 -2.1177E+03  1.769724E+03
   25    2  4.8477E+03 -1.7931E+03  1.769725E+03
   26    2  4.7279E+03 -1.4566E+03  1.769726E+03
   27    2  4.6244E+03 -1.1141E+03  1.769727E+03
   28    2  4.5365E+03 -7.6712E+02  1.769727E+03
   29    2  4.4641E+03 -4.1644E+02  1.769728E+03
   30    2  4.4064E+03 -6.3096E+01  1.769728E+03
   31    2  4.3652E+03  2.9222E+02  1.769728E+03
   32    2  4.3417E+03  6.4937E+02  1.769728E+03
   33    2  4.3337E+03  1.0072E+03  1.769728E+03
   34    2  4.3416E+03  1.3644E+03  1.769728E+03
   35    2  4.3675E+03  1.7192E+03  1.769727E+03
   36    2  4.4152E+03  2.0694E+03  1.769727E+03
   37    2  4.4876E+03  2.4118E+03  1.769726E+03
   38    2  4.5875E+03  2.7401E+03  1.769725E+03
   39    2  4.7198E+03  3.0422E+03  1.769724E+03
   40    2  4.8855E+03  3.2988E+03  1.769722E+03
   41    2  5.0789E+03  3.4912E+03  1.769721E+03
   42    2  5.2971E+03  3.6143E+03  1.769719E+03
   43    2  5.5501E+03  3.6704E+03  1.769718E+03
   44    2  5.8394E+03  3.6545E+03  1.769716E+03
   45    2  6.1456E+03  3.5681E+03  1.769715E+03
   46    2  6.4480E+03  3.4241E+03  1.769714E+03
   47    2  6.7347E+03  3.2349E+03  1.769714E+03
   48    2  7.0016E+03  3.0104E+03  1.769713E+03
   49    2  7.2462E+03  2.7585E+03  1.769713E+03
   50    2  7.4639E+03  2.4825E+03  1.769712E+03
   51    2  7.6523E+03  2.1844E+03  1.769712E+03
   52    2  7.8110E+03  1.8685E+03  1.769712E+03
   53    2  7.9375E+03  1.5384E+03  1.769712E+03
   54    2  8.0294E+03  1.1968E+03  1.769711E+03
   55    2  8.0870E+03  8.4756E+02  1.769711E+03
   56    2  8.1079E+03  4.9508E+02  1.769711E+03
   57    2  8.0884E+03  1.4286E+02  1.769711E+03
   58    2  8.0306E+03 -2.0553E+02  1.769711E+03
   59    2  7.9361E+03 -5.4503E+02  1.769712E+03
   60    2  7.8038E+03 -8.7092E+02  1.769712E+03
   61    2  7.6358E+03 -1.1800E+03  1.769712E+03
   62    2  7.4355E+03 -1.4700E+03  1.769712E+03
   63    2  7.2082E+03 -1.7395E+03  1.769713E+03
   64    2  6.9574E+03 -1.9858E+03  1.769713E+03
   65    2  6.6846E+03 -2.2077E+03  1.769714E+03
   66    2  6.3937E+03 -2.4047E+03  1.769714E+03
   67    2  6.0901E+03 -2.5695E+03  1.769715E+03
   68    2  5.7913E+03 -2.6785E+03  1.769717E+03
   69    2  5.5486E+03 -2.7044E+03  1.769718E+03
   70    2  5.4379E+03 -2.6895E+03  1.769719E+03
   71    2  5.0436E+03 -3.7142E+03  1.007444E+00
   72    2  5.1166E+03 -3.7678E+03  1.038488E+00
   73    2  5.1977E+03 -3.8547E+03  1.016642E+00
   74    2  5.2696E+03 -3.9551E+03  9.267764E-01
   75    2  5.3305E+03 -4.0538E+03  9.122245E-01
   76    2  5.3816E+03 -4.1440E+03  9.856263E-01
   77    2  5.4232E+03 -4.2214E+03  1.046934E+00
   78    2  5.4560E+03 -4.2846E+03  1.086685E+00
   79    2  5.4814E+03 -4.3349E+03  1.143639E+00
   80    2  5.5010E+03 -4.3744E+03  1.212152E+00
   81    2  5.5161E+03 -4.4052E+03  1.198228E+00
   82    2  5.5275E+03 -4.4288E+03  1.174017E+00
   83    2  5.5360E+03 -4.4464E+03  1.031623E+00
   84    2  5.5420E+03 -4.4590E+03  8.450220E-01
   85    2  5.5461E+03 -4.4677E+03  7.057799E-01
   86    2  5.5488E+03 -4.4734E+03  6.086662E-01
   87    2  5.5506E+03 -4.4771E+03  5.703245E-01
   88    2  5.5519E+03 -4.4798E+03  5.166284E-01
   89    2  5.5529E+03 -4.4818E+03  4.720591E-01
   90    2  5.5538E+03 -4.4838E+03  3.835252E-01
    1    3  4.1893E+03 -3.8655E+03  1.972085E-01
    2    3  4.1912E+03 -3.8647E+03  2.389405E-01
    3    3  4.1932E+03 -3.8639E+03  2.752091E-01
    4    3  4.1957E+03 -3.8629E+03  3.344727E-01
    5    3  4.1993E+03 -3.8614E+03  4.051941E-01
    6    3  4.2048E+03 -3.8592E+03  4.563663E-01
    7    3  4.2130E+03 -3.8559E+03  6.447312E-01
    8    3  4.2250E+03 -3.8511E+03  7.888445E-01
    9    3  4.2415E+03 -3.8445E+03  9.175777E-01
   10    3  4.2637E+03 -3.8357E+03  9.273858E-01
   11    3  4.2926E+03 -3.8244E+03  9.207183E-01
   12    3  4.3294E+03 -3.8101E+03  8.595940E-01
   13    3  4.3758E+03 -3.7925E+03  8.341606E-01
   14    3  4.4339E+03 -3.7712E+03  8.075296E-01
   15    3  4.5056E+03 -3.7461E+03  7.523074E-01
