number of heading lines in this data file : 30
Field Line Tracing Calculations (FLT) performed with CASTEM
Date CASTEM calculations : 14/04/2010
Date post-processing data : 10/06/2010
Modif compared to latest version (26/04/2010): change precision to 5 digits - correct the problem : some entering points shifted 

FIRST WALL GEOMETRY
Outer wall and upper panels from BM8 to BM18
NB. 3D gemoetry of lower baffle not incorporated in the code, horizontal cut in the CASTEM code,
Field line tracing calculations are stopped for the points reaching a vertical location below Z ~ -3.27 m
EQUILIBRIUM
Steady-state, 15 MA, Scenario 1, ITER (eqdsk high resolution, "Baseline 2010", FST, Corsica, Feb. 2010)

PARAMETERS
origin location : omp, Z = 0.60 
number of field lines followed :  300 
Radial extent of origin : from R = 8.3000  m to R = 8.3850 m
radial resolution at origin : 0.000283 
dphi step for FLT calculations in CASTEM : 0.50 
number of steps for calculation in CASTEM - toward the top :   590 
number of steps for calculation in CASTEM - toward the bottom :  340 
number of tangency points :     41 
number of points entering a surface :   2996 
number of points leaving a surface :   2792 
max number of intersection from omp toward top :    30 
max number of intersection from omp toward bottom :    12 
maximum connection length toward top : 32.60 
maximum connection length toward bottom : -21.18 
 17.00000 8.30455 0.00000 0.60000 4.00000 2.00000 6.00000 
 18.00000 8.30483 0.00000 0.60000 5.00000 2.00000 7.00000 
 19.00000 8.30512 0.00000 0.60000 5.00000 2.00000 7.00000 
 20.00000 8.30540 0.00000 0.60000 5.00000 2.00000 7.00000 
 21.00000 8.30569 0.00000 0.60000 5.00000 2.00000 7.00000 
 22.00000 8.30597 0.00000 0.60000 5.00000 3.00000 8.00000 
 23.00000 8.30625 0.00000 0.60000 5.00000 3.00000 8.00000 
 24.00000 8.30654 0.00000 0.60000 4.00000 3.00000 7.00000 
 25.00000 8.30682 0.00000 0.60000 4.00000 3.00000 7.00000 
 26.00000 8.30711 0.00000 0.60000 5.00000 3.00000 8.00000 
 27.00000 8.30739 0.00000 0.60000 6.00000 3.00000 9.00000 
 28.00000 8.30768 0.00000 0.60000 6.00000 3.00000 9.00000 
 29.00000 8.30796 0.00000 0.60000 6.00000 3.00000 9.00000 
 30.00000 8.30824 0.00000 0.60000 6.00000 3.00000 9.00000 
 31.00000 8.30853 0.00000 0.60000 7.00000 3.00000 10.00000 
 32.00000 8.30881 0.00000 0.60000 7.00000 3.00000 10.00000 
 33.00000 8.30910 0.00000 0.60000 7.00000 3.00000 10.00000 
 34.00000 8.30938 0.00000 0.60000 7.00000 3.00000 10.00000 
 35.00000 8.30967 0.00000 0.60000 8.00000 3.00000 11.00000 
 36.00000 8.30995 0.00000 0.60000 8.00000 3.00000 11.00000 
 37.00000 8.31023 0.00000 0.60000 9.00000 3.00000 12.00000 
 38.00000 8.31052 0.00000 0.60000 9.00000 3.00000 12.00000 
 39.00000 8.31080 0.00000 0.60000 9.00000 3.00000 12.00000 
 40.00000 8.31109 0.00000 0.60000 9.00000 3.00000 12.00000 
 41.00000 8.31137 0.00000 0.60000 9.00000 3.00000 12.00000 
 42.00000 8.31166 0.00000 0.60000 9.00000 3.00000 12.00000 
 43.00000 8.31194 0.00000 0.60000 9.00000 3.00000 12.00000 
 44.00000 8.31222 0.00000 0.60000 8.00000 3.00000 11.00000 
 45.00000 8.31251 0.00000 0.60000 7.00000 3.00000 10.00000 
 46.00000 8.31279 0.00000 0.60000 7.00000 3.00000 10.00000 
 47.00000 8.31308 0.00000 0.60000 7.00000 3.00000 10.00000 
 48.00000 8.31336 0.00000 0.60000 7.00000 3.00000 10.00000 
