    5    /BE+1 PHOTON EMISSIVITY COEFFICIENTS/
3130.6 A    10   8 /FILMEM = WJD91#BE/TYPE = EXCIT    /INDM  = 1/ISEL=    1
 7.10D-11 2.57D-10 3.87D-10 4.66D-10 5.46D-10 5.86D-10 5.79D-10 5.30D-10
 7.59D-11 2.71D-10 4.04D-10 4.87D-10 5.69D-10 6.11D-10 6.07D-10 5.60D-10
 8.28D-11 2.90D-10 4.31D-10 5.16D-10 6.02D-10 6.46D-10 6.44D-10 6.00D-10
 9.75D-11 3.32D-10 4.87D-10 5.80D-10 6.70D-10 7.15D-10 7.14D-10 6.68D-10
 1.16D-10 3.83D-10 5.56D-10 6.56D-10 7.50D-10 7.94D-10 7.89D-10 7.36D-10
4673.5 A    10   8 /FILMEM = WJD91#BE/TYPE = EXCIT    /INDM  = 1/ISEL=    5
 1.00D+11 2.00D+11 5.00D+11 1.00D+12 2.00D+12 5.00D+12 1.00D+13 2.00D+13
 5.00D+13 1.00D+14
 5.00D+00 1.00D+01 1.50D+01 2.00D+01 3.00D+01 5.00D+01 8.00D+01 1.50D+02
 2.03D-10 7.24D-10 1.05D-09 1.22D-09 1.35D-09 1.30D-09 1.18D-09 1.02D-09
 2.01D-10 7.17D-10 1.03D-09 1.21D-09 1.33D-09 1.28D-09 1.16D-09 1.01D-09
 1.99D-10 7.06D-10 1.02D-09 1.18D-09 1.30D-09 1.26D-09 1.14D-09 9.86D-10
 1.97D-10 6.97D-10 1.00D-09 1.17D-09 1.29D-09 1.23D-09 1.12D-09 9.67D-10
 1.96D-10 6.90D-10 9.93D-10 1.15D-09 1.27D-09 1.22D-09 1.10D-09 9.49D-10
 1.98D-10 6.92D-10 9.94D-10 1.15D-09 1.27D-09 1.22D-09 1.10D-09 9.41D-10
 2.07D-10 7.13D-10 1.02D-09 1.19D-09 1.31D-09 1.26D-09 1.14D-09 9.71D-10
 2.25D-10 7.64D-10 1.10D-09 1.28D-09 1.41D-09 1.37D-09 1.25D-09 1.06D-09
 2.69D-10 8.97D-10 1.29D-09 1.50D-09 1.66D-09 1.66D-09 1.54D-09 1.32D-09
 3.25D-10 1.06D-09 1.52D-09 1.77D-09 1.96D-09 1.98D-09 1.88D-09 1.64D-09
C----------------------------------------------------------------------------
C
C  PHOTON EMISSIVITY COEFFICIENTS:
C
C     ISEL  WAVELENGTH   TRANSITION            TYPE    METASTABLE   IMET
C     ----  ----------   -------------------   -----   ----------   ----
C       1.    3130.6     2P(2P)   - 2S(2S)     EXCIT   2S2 (1S)      1
C       2.    5270.7     4S(2S)   - 3P(2P)     EXCIT   2S2 (1S)      1
C       3.    3274.7     4P(2P)   - 3S(2S)     EXCIT   2S2 (1S)      1
C       4.    4360.9     4D(2D)   - 3P(2P)     EXCIT   2S2 (1S)      1
C       5.    4673.5     4F(2F)   - 3D(2D)     EXCIT   2S2 (1S)      1
C
C   NOTES
C        (1) * ON IMET INDEXES THE RECOMBINING PARENT STATE FOR
C            RECOMBINATION CONTRIBUTIONS
C        (2) PROCESSED WITH CODE V3BNDLN1
C
C          WILLIAM J. DICKSON   JET   ??/??/??
C
C----------------------------------------------------------------------------
 
C---------------------------------------------------------------------------------
C ADAS ADF15 DATA - SCCS info: @(#)$Header: /home/adascvs/adas/adf15/ionelec/ionelec_pec#be1.dat,v 2.1 2004/07/07 00:24:04 whitefor Exp $ Date $Date: 2004/07/07 00:24:04 $
C---------------------------------------------------------------------------------
