    6   24   30    1    6     /CARBON             /GCR PROJECT      
--------------------------------------------------------------------------------
    4    2    2    1    2    1    1                                             
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
   -.69877   -.52268   -.30083   -.15470    .00020    .17629    .30123    .47732
    .69917    .84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 0  /--------/ Z1= 1   / DATE= 04/11/99
 -24.86628 -24.86654 -24.86821 -24.86941 -24.86910 -24.86905 -24.86913 -24.86910
 -24.86909 -24.86915 -24.86910 -24.86893 -24.86989 -24.87168 -24.87424 -24.88197
 -24.89016 -24.90020 -24.93703 -24.96666 -24.99289 -25.21211 -25.20434 -24.90331
 -25.19906 -25.19931 -25.20099 -25.20218 -25.20188 -25.20182 -25.20190 -25.20188
 -25.20186 -25.20192 -25.20188 -25.20171 -25.20267 -25.20445 -25.20702 -25.21474
 -25.22294 -25.23297 -25.26981 -25.29943 -25.32567 -25.54488 -25.53711 -25.23608
 -25.41825 -25.41851 -25.42018 -25.42138 -25.42107 -25.42101 -25.42109 -25.42107
 -25.42105 -25.42111 -25.42107 -25.42090 -25.42186 -25.42365 -25.42621 -25.43394
 -25.44213 -25.45217 -25.48900 -25.51862 -25.54486 -25.76407 -25.75630 -25.45527
 -25.65060 -25.65086 -25.65253 -25.65373 -25.65342 -25.65337 -25.65345 -25.65342
 -25.65341 -25.65347 -25.65342 -25.65325 -25.65421 -25.65600 -25.65856 -25.66629
 -25.67448 -25.68452 -25.72135 -25.75097 -25.77721 -25.99643 -25.98866 -25.68763
 -25.91474 -25.91500 -25.91667 -25.91787 -25.91756 -25.91750 -25.91758 -25.91756
 -25.91754 -25.91760 -25.91756 -25.91739 -25.91835 -25.92014 -25.92270 -25.93043
 -25.93862 -25.94866 -25.98549 -26.01511 -26.04135 -26.26056 -26.25279 -25.95176
 -26.10215 -26.10240 -26.10408 -26.10527 -26.10497 -26.10491 -26.10499 -26.10497
 -26.10495 -26.10501 -26.10497 -26.10480 -26.10576 -26.10754 -26.11011 -26.11783
 -26.12603 -26.13606 -26.17290 -26.20252 -26.22876 -26.44797 -26.44020 -26.13917
 -26.36628 -26.36654 -26.36821 -26.36941 -26.36910 -26.36905 -26.36913 -26.36910
 -26.36909 -26.36915 -26.36910 -26.36893 -26.36989 -26.37168 -26.37424 -26.38197
 -26.39016 -26.40020 -26.43703 -26.46666 -26.49289 -26.71211 -26.70434 -26.40331
 -26.69906 -26.69931 -26.70099 -26.70218 -26.70188 -26.70182 -26.70190 -26.70188
 -26.70186 -26.70192 -26.70188 -26.70171 -26.70267 -26.70445 -26.70702 -26.71474
 -26.72294 -26.73297 -26.76981 -26.79943 -26.82567 -27.04488 -27.03711 -26.73608
 -26.91825 -26.91851 -26.92018 -26.92138 -26.92107 -26.92101 -26.92109 -26.92107
 -26.92105 -26.92111 -26.92107 -26.92090 -26.92186 -26.92365 -26.92621 -26.93394
 -26.94213 -26.95217 -26.98900 -27.01862 -27.04486 -27.26407 -27.25630 -26.95527
 -27.15060 -27.15086 -27.15253 -27.15373 -27.15342 -27.15337 -27.15345 -27.15342
 -27.15341 -27.15347 -27.15342 -27.15325 -27.15421 -27.15600 -27.15856 -27.16629
 -27.17448 -27.18452 -27.22135 -27.25097 -27.27721 -27.49643 -27.48866 -27.18763
 -27.41474 -27.41500 -27.41667 -27.41787 -27.41756 -27.41750 -27.41758 -27.41756
 -27.41754 -27.41760 -27.41756 -27.41739 -27.41835 -27.42014 -27.42270 -27.43043
 -27.43862 -27.44866 -27.48549 -27.51511 -27.54135 -27.76056 -27.75279 -27.45176
---------------------/ IGRD= 2  / IPRT= 0  /--------/ Z1= 1   / DATE= 04/11/99
 -30.00221 -30.29956 -30.59554 -30.98945 -31.29091 -31.59489 -32.00368 -32.31720
 -32.63157 -33.04974 -33.36719 -33.68357 -34.10207 -34.41795 -34.73071 -35.13886
 -35.43716 -35.71984 -36.08273 -36.31981 -36.51705 -36.98716 -37.08845 -36.78742
 -30.02925 -30.34842 -30.66718 -31.08098 -31.38083 -31.66276 -32.00849 -32.25329
 -32.48800 -32.78999 -33.01533 -33.23879 -33.53109 -33.74901 -33.96227 -34.22813
 -34.40575 -34.55255 -34.69466 -34.74600 -34.75601 -34.90478 -34.86089 -34.55986
 -29.87143 -30.07010 -30.24554 -30.44077 -30.55705 -30.64258 -30.70689 -30.72538
 -30.72817 -30.71771 -30.70440 -30.68962 -30.66916 -30.65317 -30.63707 -30.61823
 -30.60573 -30.59552 -30.60204 -30.60302 -30.59526 -30.77085 -30.74811 -30.44708
 -29.04508 -29.06969 -29.07204 -29.05678 -29.04155 -29.02983 -29.02128 -29.01930
 -29.02020 -29.02462 -29.02909 -29.03349 -29.04064 -29.04647 -29.05129 -29.05861
 -29.06374 -29.06756 -29.08544 -29.08965 -29.08238 -29.26331 -29.24456 -28.94353
 -27.82690 -27.82756 -27.83206 -27.84018 -27.84573 -27.84996 -27.85307 -27.85365
 -27.85313 -27.85201 -27.85115 -27.85004 -27.84794 -27.84625 -27.84518 -27.84544
 -27.84597 -27.84763 -27.86835 -27.87805 -27.87903 -28.08877 -28.08624 -27.78521
 -26.89730 -26.89810 -26.89786 -26.89666 -26.89581 -26.89545 -26.89501 -26.89495
 -26.89572 -26.89640 -26.89639 -26.89667 -26.89786 -26.89895 -26.89985 -26.90332
 -26.90754 -26.91421 -26.94683 -26.96949 -26.98612 -27.22719 -27.23947 -26.93844
 -26.40803 -26.40916 -26.40951 -26.40995 -26.41054 -26.41083 -26.41088 -26.41124
 -26.41226 -26.41312 -26.41301 -26.41281 -26.41363 -26.41478 -26.41583 -26.42048
 -26.42696 -26.43766 -26.47969 -26.51266 -26.54186 -26.80280 -26.82320 -26.52217
 -25.90284 -25.90311 -25.90368 -25.90399 -25.90404 -25.90463 -25.90531 -25.90530
 -25.90498 -25.90530 -25.90625 -25.90730 -25.90826 -25.90919 -25.91157 -25.91975
 -25.93016 -25.94652 -25.99986 -26.04466 -26.08737 -26.36034 -26.38308 -26.08205
 -25.46049 -25.46064 -25.46149 -25.46225 -25.46242 -25.46295 -25.46367 -25.46380
 -25.46363 -25.46444 -25.46568 -25.46651 -25.46753 -25.46913 -25.47246 -25.48250
 -25.49505 -25.51438 -25.57301 -25.62374 -25.67115 -25.91814 -25.92085 -25.61982
 -25.24997 -25.25074 -25.25141 -25.25228 -25.25275 -25.25280 -25.25309 -25.25351
 -25.25372 -25.25438 -25.25522 -25.25601 -25.25754 -25.25956 -25.26295 -25.27256
 -25.28516 -25.30526 -25.36188 -25.40908 -25.45119 -25.66915 -25.65403 -25.35300
 -25.08073 -25.08105 -25.08160 -25.08207 -25.08222 -25.08257 -25.08284 -25.08267
 -25.08240 -25.08369 -25.08534 -25.08618 -25.08805 -25.09032 -25.09296 -25.10186
 -25.11410 -25.13255 -25.18386 -25.22529 -25.25953 -25.45072 -25.42056 -25.11953
 -24.94158 -24.94102 -24.94090 -24.94099 -24.94094 -24.94095 -24.94066 -24.94069
 -24.94172 -24.94395 -24.94495 -24.94457 -24.94574 -24.94858 -24.95208 -24.96026
 -24.97050 -24.98659 -25.03220 -25.06684 -25.09177 -25.26077 -25.21949 -24.91846
 -24.86795 -24.86772 -24.86758 -24.86759 -24.86763 -24.86765 -24.86777 -24.86872
 -24.87087 -24.87157 -24.87070 -24.87115 -24.87305 -24.87510 -24.87823 -24.88627
 -24.89572 -24.90969 -24.95077 -24.98111 -25.00094 -25.15951 -25.11324 -24.81221
 -24.79484 -24.79505 -24.79566 -24.79601 -24.79570 -24.79539 -24.79684 -24.79824
 -24.79788 -24.79767 -24.79869 -24.80005 -24.80229 -24.80369 -24.80467 -24.81123
 -24.82039 -24.83236 -24.86811 -24.89342 -24.90782 -25.05541 -25.00382 -24.70279
 -24.74376 -24.74386 -24.74474 -24.74596 -24.74639 -24.74644 -24.74630 -24.74616
 -24.74608 -24.74688 -24.74781 -24.74827 -24.74939 -24.75130 -24.75423 -24.75980
 -24.76624 -24.77730 -24.80946 -24.82960 -24.83890 -24.97685 -24.92060 -24.61957
 -24.73158 -24.73156 -24.73110 -24.73234 -24.73403 -24.73424 -24.73395 -24.73410
 -24.73424 -24.73354 -24.73351 -24.73538 -24.73699 -24.73765 -24.74021 -24.74627
 -24.75228 -24.76115 -24.79018 -24.80834 -24.81534 -24.95057 -24.89350 -24.59247
 -24.72560 -24.72528 -24.72516 -24.72599 -24.72680 -24.72690 -24.72678 -24.72678
 -24.72671 -24.72718 -24.72799 -24.72878 -24.72938 -24.72993 -24.73155 -24.73740
 -24.74338 -24.75041 -24.77823 -24.79587 -24.79995 -24.93222 -24.87484 -24.57381
 -24.73561 -24.73619 -24.73625 -24.73609 -24.73604 -24.73603 -24.73607 -24.73605
 -24.73595 -24.73646 -24.73727 -24.73801 -24.73882 -24.73968 -24.74137 -24.74634
 -24.75142 -24.75795 -24.78280 -24.79712 -24.79950 -24.93096 -24.87339 -24.57236
 -24.69968 -24.70129 -24.70149 -24.70124 -24.70135 -24.70137 -24.70131 -24.70135
 -24.70147 -24.70089 -24.70098 -24.70288 -24.70349 -24.70330 -24.70606 -24.71133
 -24.71531 -24.72144 -24.74402 -24.75581 -24.75714 -24.88714 -24.82865 -24.52762
 -24.83078 -24.83217 -24.83234 -24.83210 -24.83217 -24.83219 -24.83215 -24.83217
 -24.83225 -24.83191 -24.83217 -24.83381 -24.83449 -24.83454 -24.83703 -24.84244
 -24.84657 -24.85184 -24.87343 -24.88480 -24.88521 -25.01330 -24.95398 -24.65295
 -25.16356 -25.16495 -25.16511 -25.16488 -25.16495 -25.16496 -25.16492 -25.16495
 -25.16502 -25.16468 -25.16495 -25.16659 -25.16726 -25.16731 -25.16980 -25.17522
 -25.17934 -25.18461 -25.20620 -25.21758 -25.21799 -25.34607 -25.28675 -24.98572
 -25.38275 -25.38414 -25.38431 -25.38407 -25.38414 -25.38415 -25.38411 -25.38414
 -25.38421 -25.38388 -25.38414 -25.38578 -25.38645 -25.38650 -25.38900 -25.39441
 -25.39854 -25.40380 -25.42539 -25.43677 -25.43718 -25.56526 -25.50594 -25.20491
 -25.61510 -25.61649 -25.61666 -25.61642 -25.61649 -25.61651 -25.61647 -25.61649
 -25.61657 -25.61623 -25.61649 -25.61813 -25.61881 -25.61886 -25.62135 -25.62676
 -25.63089 -25.63616 -25.65774 -25.66912 -25.66953 -25.79762 -25.73829 -25.43726
 -25.87924 -25.88063 -25.88080 -25.88056 -25.88063 -25.88064 -25.88060 -25.88063
 -25.88070 -25.88037 -25.88063 -25.88227 -25.88294 -25.88299 -25.88549 -25.89090
 -25.89503 -25.90029 -25.92188 -25.93326 -25.93367 -26.06175 -26.00243 -25.70140
 -26.06665 -26.06804 -26.06820 -26.06797 -26.06804 -26.06805 -26.06801 -26.06804
 -26.06811 -26.06777 -26.06804 -26.06968 -26.07035 -26.07040 -26.07289 -26.07831
 -26.08243 -26.08770 -26.10929 -26.12067 -26.12108 -26.24916 -26.18984 -25.88881
 -26.33078 -26.33217 -26.33234 -26.33210 -26.33217 -26.33219 -26.33215 -26.33217
 -26.33225 -26.33191 -26.33217 -26.33381 -26.33449 -26.33454 -26.33703 -26.34244
 -26.34657 -26.35184 -26.37343 -26.38480 -26.38521 -26.51330 -26.45398 -26.15295
 -26.66356 -26.66495 -26.66511 -26.66488 -26.66495 -26.66496 -26.66492 -26.66495
 -26.66502 -26.66468 -26.66495 -26.66659 -26.66726 -26.66731 -26.66980 -26.67522
 -26.67934 -26.68461 -26.70620 -26.71758 -26.71799 -26.84607 -26.78675 -26.48572
 -26.88275 -26.88414 -26.88431 -26.88407 -26.88414 -26.88415 -26.88411 -26.88414
 -26.88421 -26.88388 -26.88414 -26.88578 -26.88645 -26.88650 -26.88900 -26.89441
 -26.89854 -26.90380 -26.92539 -26.93677 -26.93718 -27.06526 -27.00594 -26.70491
 -27.11510 -27.11649 -27.11666 -27.11642 -27.11649 -27.11651 -27.11647 -27.11649
 -27.11657 -27.11623 -27.11649 -27.11813 -27.11881 -27.11886 -27.12135 -27.12676
 -27.13089 -27.13616 -27.15774 -27.16912 -27.16953 -27.29762 -27.23829 -26.93726
 -27.37924 -27.38063 -27.38080 -27.38056 -27.38063 -27.38064 -27.38060 -27.38063
 -27.38070 -27.38037 -27.38063 -27.38227 -27.38294 -27.38299 -27.38549 -27.39090
 -27.39503 -27.40029 -27.42188 -27.43326 -27.43367 -27.56175 -27.50243 -27.20140
---------------------/ IGRD= 3  / IPRT= 0  /--------/ Z1= 1   / DATE= 04/11/99
 -26.65301 -26.95476 -27.25496 -27.65321 -27.95523 -28.25538 -28.65231 -28.95222
 -29.24971 -29.64394 -29.94424 -30.24585 -30.65179 -30.96356 -31.27585 -31.69319
 -32.00862 -32.31937 -32.74295 -33.03854 -33.29443 -33.83633 -33.96302 -33.66199
 -26.65290 -26.95464 -27.25501 -27.65199 -27.95257 -28.25308 -28.65567 -28.96508
 -29.27653 -29.68965 -29.99591 -30.28744 -30.64726 -30.90038 -31.13900 -31.44342
 -31.66710 -31.88316 -32.16856 -32.35641 -32.50237 -32.80399 -32.80957 -32.50854
 -26.65259 -26.95436 -27.25443 -27.65083 -27.95032 -28.24566 -28.61378 -28.86331
 -29.08065 -29.32080 -29.46585 -29.57588 -29.66875 -29.70439 -29.71766 -29.71634
 -29.70677 -29.69248 -29.68550 -29.67263 -29.64737 -29.77652 -29.72935 -29.42832
 -26.64635 -26.94064 -27.22595 -27.57330 -27.80379 -28.00056 -28.19909 -28.29896
 -28.35713 -28.38668 -28.38751 -28.38100 -28.37283 -28.37064 -28.37177 -28.37735
