# ITER#1540 (F57 ref-20-NF-C0, tau=0.3e-6, ntime=150)  - 82.7 ms
# Atomic density (m^-3)
   ix   iy      x           y           z01           z02           z03
   69    1  5.5581E+03 -2.6394E+03  0.000000E+00  0.000000E+00  0.000000E+00
   70    1  5.4620E+03 -2.6219E+03  3.610542E+18  4.382730E+16  5.131416E+16
   71    1  5.0368E+03 -3.7322E+03  8.248555E+18  1.106668E+17  1.572424E+17
   72    1  5.1093E+03 -3.7836E+03  1.298607E+19  1.895197E+17  2.640985E+17
   73    1  5.1911E+03 -3.8676E+03  1.244291E+19  1.666869E+17  2.866916E+17
   74    1  5.2648E+03 -3.9669E+03  2.395576E+19  2.606357E+17  5.332098E+17
   75    1  5.3274E+03 -4.0657E+03  2.412012E+19  2.689086E+17  5.778606E+17
   76    1  5.3798E+03 -4.1563E+03  4.922176E+19  2.961424E+17  9.476804E+17
   77    1  5.4222E+03 -4.2339E+03  5.163915E+19  4.318392E+17  1.216386E+18
   78    1  5.4554E+03 -4.2970E+03  6.629079E+19  4.749166E+17  1.819855E+18
   79    1  5.4810E+03 -4.3470E+03  5.618164E+19  7.013866E+17  1.850275E+18
   80    1  5.5007E+03 -4.3864E+03  5.596330E+19  7.280230E+17  2.045569E+18
   81    1  5.5159E+03 -4.4170E+03  5.913237E+19  1.089438E+18  1.557455E+18
   82    1  5.5274E+03 -4.4405E+03  4.788177E+19  1.328278E+18  1.068873E+18
   83    1  5.5359E+03 -4.4580E+03  4.084969E+19  1.857198E+18  1.192586E+18
   84    1  5.5420E+03 -4.4706E+03  2.664099E+19  2.430297E+18  9.098565E+17
   85    1  5.5461E+03 -4.4792E+03  6.071053E+18  2.624767E+18  1.456325E+18
   86    1  5.5488E+03 -4.4849E+03  9.401097E+18  3.085312E+18  1.619823E+18
   87    1  5.5506E+03 -4.4886E+03  1.279227E+19  3.434536E+18  1.613163E+18
   88    1  5.5519E+03 -4.4913E+03  1.573473E+19  3.552285E+18  1.702548E+18
   89    1  5.5529E+03 -4.4933E+03  9.296249E+18  2.016137E+18  8.229551E+17
   90    1  5.5538E+03 -4.4953E+03  9.301826E+18  1.997916E+18  7.768196E+17
    1    2  4.1850E+03 -3.8745E+03  9.414230E+18  3.320982E+18  1.103589E+18
    2    2  4.1868E+03 -3.8737E+03  9.393454E+18  3.316633E+18  8.755481E+17
    3    2  4.1888E+03 -3.8729E+03  9.375278E+18  4.095840E+18  5.128384E+17
    4    2  4.1914E+03 -3.8719E+03  2.759579E+19  6.378206E+18  4.372309E+17
    5    2  4.1950E+03 -3.8705E+03  3.890417E+16  5.106150E+18  1.441093E+18
    6    2  4.2004E+03 -3.8683E+03  1.064435E+19  2.754961E+18  1.318784E+18
    7    2  4.2086E+03 -3.8650E+03  1.816006E+19  4.886389E+18  2.540742E+18
    8    2  4.2205E+03 -3.8603E+03  5.610679E+19  3.923235E+18  2.416505E+18
    9    2  4.2371E+03 -3.8538E+03  6.177575E+19  2.345822E+18  2.887104E+18
   10    2  4.2593E+03 -3.8451E+03  5.998678E+19  1.867370E+18  3.468298E+18
   11    2  4.2881E+03 -3.8339E+03  3.936704E+19  1.387505E+18  2.807684E+18
   12    2  4.3249E+03 -3.8199E+03  4.323019E+19  1.031072E+18  2.140954E+18
   13    2  4.3713E+03 -3.8027E+03  3.716014E+19  8.484325E+17  1.396528E+18
   14    2  4.4294E+03 -3.7818E+03  1.475075E+19  7.165172E+17  1.114803E+18
   15    2  4.5014E+03 -3.7573E+03  3.399139E+19  6.867547E+17  6.989549E+17
   16    2  4.5880E+03 -3.7302E+03  2.790092E+19  7.608465E+17  5.417386E+17
   17    2  4.6877E+03 -3.7037E+03  3.470946E+19  4.701273E+17  3.076895E+17
   18    2  4.7961E+03 -3.6836E+03  1.212872E+19  2.424186E+17  2.780848E+17
   19    2  4.9013E+03 -3.6785E+03  1.565782E+19  1.257337E+17  2.110147E+17
   20    2  4.9818E+03 -3.6895E+03  9.285747E+18  7.725694E+16  2.428043E+17
