    4   24   25    1    4     /BERYLLIUM          /GCR PROJECT      
--------------------------------------------------------------------------------
    2    1    2    1    1                                                       
--------------------------------------------------------------------------------
   4.00000   4.47712   5.00000   5.47712   6.00000   6.47712   7.00000   7.47712
   8.00000   8.47712   9.00000   9.47712  10.00000  10.47712  11.00000  11.47712
  12.00000  12.47712  13.00000  13.47712  14.00000  14.47712  15.00000  15.47712
  -0.69877  -0.52268  -0.30083  -0.15470   0.07938   0.30123   0.47732   0.65341
   0.84530   1.04159   1.25547   1.44736   1.65341   1.84530   2.00020   2.23065
   2.43157   2.63367   2.82628   3.02139   3.21690   3.39814   3.60766   3.79954
   4.00020
---------------------/ IGRD= 1  / IPRT= 0  /--------/ Z1= 1   / DATE= 23/02/06
 -24.75915 -24.75916 -24.75915 -24.75912 -24.75915 -24.75915 -24.75915 -24.75986
 -24.75965 -24.77165 -24.76838 -24.76574 -24.76460 -24.76152 -24.76429 -24.76049
 -24.75823 -24.77359 -24.77829 -24.79405 -24.83054 -24.90188 -25.12234 -25.35722
 -24.78857 -24.78858 -24.78857 -24.78852 -24.78857 -24.78857 -24.78857 -24.78950
 -24.78922 -24.80508 -24.80075 -24.79792 -24.79769 -24.79363 -24.79728 -24.79099
 -24.78605 -24.80303 -24.80377 -24.81670 -24.84765 -24.90803 -25.12188 -25.35245
 -24.81584 -24.81585 -24.81584 -24.81578 -24.81584 -24.81584 -24.81584 -24.81698
 -24.81664 -24.83608 -24.83077 -24.82775 -24.82838 -24.82339 -24.82787 -24.81926
 -24.81184 -24.83032 -24.82739 -24.83770 -24.86351 -24.91373 -25.12145 -25.34804
 -24.84736 -24.84738 -24.84736 -24.84730 -24.84736 -24.84736 -24.84736 -24.84875
 -24.84833 -24.87190 -24.86547 -24.86223 -24.86385 -24.85780 -24.86324 -24.85194
 -24.84165 -24.86186 -24.85469 -24.86197 -24.88184 -24.92032 -25.12095 -25.34293
 -24.87623 -24.87625 -24.87623 -24.87616 -24.87623 -24.87623 -24.87623 -24.87784
 -24.87736 -24.90471 -24.89725 -24.89381 -24.89633 -24.88932 -24.89562 -24.88187
 -24.86895 -24.89075 -24.87969 -24.88419 -24.89863 -24.92636 -25.12049 -25.33826
 -24.90642 -24.90645 -24.90642 -24.90634 -24.90642 -24.90642 -24.90642 -24.90827
 -24.90771 -24.93903 -24.93048 -24.92684 -24.93030 -24.92227 -24.92949 -24.91317
 -24.89750 -24.92096 -24.90584 -24.90744 -24.91618 -24.93267 -25.12002 -25.33337
---------------------/ IGRD= 2  / IPRT= 0  /--------/ Z1= 1   / DATE= 23/02/06
 -23.69680 -24.17708 -24.69682 -25.17303 -25.69681 -26.17431 -26.69662 -27.17383
 -27.69655 -28.17808 -28.70933 -29.18954 -29.68579 -30.09283 -30.48444 -30.79733
 -31.07957 -31.24379 -31.30373 -31.28177 -31.22992 -31.19421 -31.21015 -31.23762
 -23.69682 -24.17700 -24.69673 -25.17309 -25.69673 -26.17395 -26.69721 -27.17333
 -27.68908 -28.13075 -28.55922 -28.89176 -29.16614 -29.30107 -29.33424 -29.30657
 -29.26406 -29.23625 -29.23436 -29.24801 -29.27674 -29.30891 -29.37414 -29.44105
 -23.69675 -24.17738 -24.69705 -25.17193 -25.69216 -26.16269 -26.66015 -27.06780
 -27.41456 -27.61138 -27.70791 -27.73038 -27.72965 -27.72772 -27.73171 -27.73869
 -27.74674 -27.75228 -27.75593 -27.75875 -27.76608 -27.78642 -27.84761 -27.91244
 -23.69698 -24.17693 -24.69558 -25.16846 -25.67763 -26.11817 -26.53254 -26.80066
 -26.95457 -27.00615 -27.02561 -27.03430 -27.04010 -27.04265 -27.04323 -27.04271
 -27.04155 -27.04530 -27.05333 -27.06701 -27.08958 -27.12548 -27.20817 -27.29366
 -23.69487 -24.17268 -24.68456 -25.13922 -25.58547 -25.90018 -26.10123 -26.18129
 -26.21326 -26.22229 -26.22396 -26.22241 -26.21939 -26.21901 -26.22141 -26.22548
 -26.23346 -26.24673 -26.27162 -26.30445 -26.35289 -26.41549 -26.52973 -26.64444
 -23.69350 -24.16717 -24.65726 -25.06183 -25.40496 -25.58573 -25.67068 -25.70001
 -25.70811 -25.71028 -25.70944 -25.70584 -25.70293 -25.70044 -25.70392 -25.71346
 -25.72677 -25.74782 -25.78424 -25.83073 -25.89372 -25.97333 -26.10127 -26.22693
 -23.68894 -24.15754 -24.62341 -24.97666 -25.24419 -25.36042 -25.41027 -25.42457
 -25.42942 -25.43040 -25.42725 -25.42285 -25.41985 -25.42065 -25.42514 -25.43364
 -25.44947 -25.47334 -25.51415 -25.56241 -25.63097 -25.71278 -25.83840 -25.96103
 -23.68572 -24.14656 -24.58588 -24.89173 -25.10238 -25.18317 -25.21539 -25.22480
 -25.22772 -25.22768 -25.22540 -25.22175 -25.21888 -25.21958 -25.22411 -25.23338
 -25.25075 -25.27474 -25.31475 -25.36315 -25.43213 -25.50948 -25.62964 -25.74749
 -23.67930 -24.12997 -24.54370 -24.81054 -24.97873 -25.03732 -25.06091 -25.06752
 -25.06939 -25.06941 -25.06777 -25.06500 -25.06351 -25.06405 -25.06858 -25.07733
 -25.09374 -25.11703 -25.15442 -25.20143 -25.26980 -25.34510 -25.45723 -25.56641
 -23.67291 -24.11370 -24.50721 -24.74619 -24.88597 -24.93151 -24.95081 -24.95518
 -24.95817 -24.95817 -24.95484 -24.95472 -24.95423 -24.95436 -24.95838 -24.96607
 -24.98124 -25.00247 -25.03871 -25.08416 -25.15267 -25.22647 -25.33637 -25.44353
 -23.66931 -24.10062 -24.47656 -24.69484 -24.81597 -24.85458 -24.87042 -24.87367
 -24.87690 -24.87690 -24.87726 -24.87392 -24.87390 -24.87384 -24.87715 -24.88373
 -24.90077 -24.91857 -24.95260 -24.99922 -25.06939 -25.14297 -25.25060 -25.35526
 -23.66731 -24.09267 -24.45828 -24.66539 -24.77694 -24.81216 -24.82647 -24.82938
 -24.83230 -24.83230 -24.83212 -24.83215 -24.83216 -24.83268 -24.83530 -24.84130
 -24.85297 -24.87287 -24.90692 -24.95173 -25.02246 -25.09891 -25.20634 -25.30985
 -23.66521 -24.08748 -24.44797 -24.64938 -24.75587 -24.78922 -24.80279 -24.80556
 -24.80843 -24.80843 -24.80845 -24.80581 -24.80581 -24.80830 -24.80821 -24.81382
 -24.82542 -24.84597 -24.87749 -24.92241 -24.99446 -25.07485 -25.18240 -25.28477
 -23.66420 -24.08656 -24.44663 -24.64641 -24.75190 -24.78627 -24.79976 -24.80250
 -24.80396 -24.80396 -24.80395 -24.80434 -24.80434 -24.80529 -24.80513 -24.81093
 -24.82115 -24.83853 -24.86985 -24.91394 -24.99089 -25.06959 -25.17702 -25.28028
 -23.66562 -24.08904 -24.45045 -24.65164 -24.75888 -24.79468 -24.80838 -24.81123
 -24.81184 -24.81184 -24.81184 -24.81172 -24.81172 -24.81405 -24.81499 -24.81968
 -24.82797 -24.84529 -24.87561 -24.91941 -24.99350 -25.07524 -25.18201 -25.28320
 -23.66748 -24.09362 -24.46060 -24.66918 -24.78189 -24.81742 -24.83196 -24.83488
 -24.83792 -24.83792 -24.83792 -24.83793 -24.83793 -24.83786 -24.84092 -24.84392
 -24.85316 -24.86582 -24.89554 -24.93493 -25.00917 -25.09207 -25.19877 -25.29960
 -23.66744 -24.09851 -24.47220 -24.68516 -24.80338 -24.84424 -24.85613 -24.86284
 -24.86245 -24.86245 -24.86245 -24.86245 -24.86245 -24.86602 -24.86562 -24.86879
 -24.87483 -24.88819 -24.91540 -24.95678 -25.02619 -25.11084 -25.21633 -25.31467
 -23.66613 -24.10288 -24.48419 -24.70137 -24.82517 -24.87210 -24.88031 -24.89189
 -24.88735 -24.88735 -24.88734 -24.88738 -24.88738 -24.89527 -24.89061 -24.89367
 -24.89547 -24.91102 -24.93421 -24.97929 -25.04354 -25.13028 -25.23413 -25.32926
 -23.66488 -24.10705 -24.49561 -24.71682 -24.84593 -24.89865 -24.90334 -24.91957
 -24.91107 -24.91107 -24.91107 -24.91113 -24.91113 -24.92316 -24.91442 -24.91738
 -24.91515 -24.93277 -24.95214 -25.00074 -25.06008 -25.14881 -25.25109 -25.34317
 -23.66362 -24.11127 -24.50718 -24.73248 -24.86696 -24.92554 -24.92668 -24.94761
 -24.93511 -24.93511 -24.93510 -24.93520 -24.93520 -24.95140 -24.93855 -24.94140
 -24.93508 -24.95481 -24.97030 -25.02247 -25.07683 -25.16759 -25.26828 -25.35725
 -23.66235 -24.11550 -24.51877 -24.74816 -24.88803 -24.95249 -24.95006 -24.97571
 -24.95919 -24.95919 -24.95919 -24.95931 -24.95931 -24.97971 -24.96272 -24.96547
 -24.95505 -24.97690 -24.98849 -25.04424 -25.09361 -25.18640 -25.28549 -25.37136
 -23.66118 -24.11942 -24.52951 -24.76270 -24.90757 -24.97747 -24.97174 -25.00176
 -24.98152 -24.98152 -24.98151 -24.98167 -24.98167 -25.00594 -24.98513 -24.98778
 -24.97356 -24.99737 -25.00536 -25.06443 -25.10917 -25.20383 -25.30145 -25.38445
 -23.65982 -24.12395 -24.54194 -24.77950 -24.93015 -25.00635 -24.99680 -25.03187
 -25.00732 -25.00732 -25.00732 -25.00751 -25.00751 -25.03627 -25.01104 -25.01357
 -24.99497 -25.02103 -25.02486 -25.08776 -25.12716 -25.22399 -25.31990 -25.39957
 -23.65858 -24.12810 -24.55331 -24.79490 -24.95084 -25.03280 -25.01975 -25.05945
 -25.03096 -25.03096 -25.03096 -25.03117 -25.03117 -25.06405 -25.03477 -25.03719
 -25.01457 -25.04271 -25.04272 -25.10913 -25.14363 -25.24245 -25.33680 -25.41343
 -23.65728 -24.13244 -24.56521 -24.81099 -24.97246 -25.06046 -25.04375 -25.08829
 -25.05568 -25.05568 -25.05567 -25.05592 -25.05592 -25.09310 -25.05958 -25.06190
 -25.03506 -25.06537 -25.06140 -25.13147 -25.16086 -25.26176 -25.35447 -25.42791
---------------------/ IGRD= 1  / IPRT= 0  /--------/ Z1= 2   / DATE= 23/02/06
 -32.77417 -32.77417 -32.77417 -32.77417 -32.77417 -32.77417 -32.77417 -32.77417
 -32.77417 -32.77417 -32.77417 -32.77417 -32.77418 -32.77417 -32.77433 -32.77483
 -32.77565 -32.77857 -32.78902 -32.81743 -32.90370 -33.08450 -33.42363 -33.83151
 -29.92499 -29.92499 -29.92499 -29.92499 -29.92499 -29.92499 -29.92499 -29.92499
 -29.92499 -29.92499 -29.92499 -29.92499 -29.92499 -29.92500 -29.92494 -29.92519
 -29.92627 -29.92863 -29.93683 -29.96013 -30.03419 -30.19399 -30.51108 -30.90672
 -27.74735 -27.74735 -27.74735 -27.74735 -27.74735 -27.74735 -27.74735 -27.74735
 -27.74735 -27.74735 -27.74735 -27.74736 -27.74735 -27.74736 -27.74735 -27.74741
 -27.74714 -27.75022 -27.75656 -27.77568 -27.83629 -27.97367 -28.26221 -28.63968
 -26.82812 -26.82812 -26.82812 -26.82812 -26.82812 -26.82812 -26.82812 -26.82812
 -26.82812 -26.82812 -26.82812 -26.82812 -26.82811 -26.82813 -26.82812 -26.82819
 -26.82791 -26.83044 -26.83566 -26.85089 -26.90313 -27.02774 -27.29932 -27.66508
 -25.89422 -25.89422 -25.89422 -25.89422 -25.89422 -25.89422 -25.89422 -25.89422
 -25.89422 -25.89422 -25.89422 -25.89423 -25.89417 -25.89461 -25.89473 -25.89471
 -25.89501 -25.89646 -25.90134 -25.91473 -25.95871 -26.06313 -26.30514 -26.64957
 -25.39387 -25.39387 -25.39387 -25.39387 -25.39387 -25.39387 -25.39387 -25.39387
 -25.39387 -25.39387 -25.39387 -25.39387 -25.39387 -25.39383 -25.39382 -25.39380
 -25.39364 -25.39472 -25.39872 -25.40943 -25.44475 -25.53069 -25.73670 -26.04134
 -25.14795 -25.14795 -25.14795 -25.14795 -25.14795 -25.14795 -25.14795 -25.14795
 -25.14795 -25.14795 -25.14795 -25.14795 -25.14795 -25.14797 -25.14792 -25.14829
 -25.14826 -25.14936 -25.15192 -25.16056 -25.18841 -25.25609 -25.42535 -25.69110
 -24.98563 -24.98563 -24.98563 -24.98563 -24.98563 -24.98563 -24.98563 -24.98563
 -24.98563 -24.98563 -24.98563 -24.98563 -24.98563 -24.98563 -24.98561 -24.98578
 -24.98588 -24.98582 -24.98883 -24.99345 -25.01054 -25.06166 -25.19814 -25.44138
 -24.86636 -24.86636 -24.86636 -24.86636 -24.86636 -24.86636 -24.86636 -24.86636
 -24.86636 -24.86636 -24.86636 -24.86636 -24.86636 -24.86636 -24.86637 -24.86635
 -24.86643 -24.86614 -24.86889 -24.87148 -24.88436 -24.91711 -25.03148 -25.26707
 -24.79362 -24.79362 -24.79362 -24.79362 -24.79362 -24.79362 -24.79362 -24.79362
 -24.79362 -24.79362 -24.79362 -24.79362 -24.79362 -24.79362 -24.79362 -24.79362
 -24.79360 -24.79367 -24.79324 -24.79504 -24.80070 -24.82212 -24.92709 -25.16557
 -24.74913 -24.74913 -24.74913 -24.74913 -24.74913 -24.74913 -24.74913 -24.74913
 -24.74913 -24.74913 -24.74913 -24.74913 -24.74913 -24.74913 -24.74913 -24.74913
 -24.74913 -24.74913 -24.74916 -24.74911 -24.75029 -24.76400 -24.86252 -25.10762
 -24.73254 -24.73254 -24.73254 -24.73254 -24.73254 -24.73254 -24.73254 -24.73254
