#Layout of plot zone trg_o-m : ITER#1514_(F57_ref-20-NF-C0,_tau=0.45e-6,_ntime=150)                            
#R	Z	Rc	Zc	x	xs	DG_elm
 5.55432E+00	-4.55619E+00	 5.55431E+00	-4.52914E+00	 2.70560E-02	 5.41121E-02	   83
 5.55430E+00	-4.43708E+00	 5.55429E+00	-4.37752E+00	 1.13669E-01	 1.73225E-01	   84
 5.55427E+00	-4.31797E+00	 5.55426E+00	-4.25841E+00	 2.32781E-01	 2.92337E-01	   85
 5.55425E+00	-4.19886E+00	 5.55424E+00	-4.13930E+00	 3.51893E-01	 4.11449E-01	   86
 5.55423E+00	-4.07974E+00	 5.55924E+00	-4.03962E+00	 4.51885E-01	 4.92320E-01	   87
 5.56425E+00	-3.99950E+00	 5.56746E+00	-3.90353E+00	 5.88338E-01	 6.84356E-01	   88
 5.57068E+00	-3.80757E+00	 5.58430E+00	-3.74934E+00	 7.44157E-01	 8.03958E-01	   89
 5.59793E+00	-3.69111E+00	 5.62180E+00	-3.63628E+00	 8.63759E-01	 9.23561E-01	   64
 5.64567E+00	-3.58145E+00	 5.67900E+00	-3.53180E+00	 9.83362E-01	 1.04316E+00	   65
 5.71233E+00	-3.48215E+00	 5.75404E+00	-3.43929E+00	 1.10297E+00	 1.16277E+00	   66
 5.79575E+00	-3.39644E+00	 5.84448E+00	-3.36177E+00	 1.22257E+00	 1.28237E+00	   67
 5.89321E+00	-3.32711E+00	 5.94738E+00	-3.30176E+00	 1.34217E+00	 1.40198E+00	   68
 6.01484E+00	-3.27292E+00	 6.06603E+00	-3.25947E+00	 1.45490E+00	 1.50783E+00	   69
 6.11722E+00	-3.24602E+00	 6.17685E+00	-3.24145E+00	 1.56763E+00	 1.62744E+00	   70
 6.23648E+00	-3.23689E+00
