{NUMBER OF COLUMNS}       5
*
* SHOTS  =   24861
* TIMES  =     0.233333 to     0.249333 s
*
*       PSIn           r           z        dens          Te
*                    (m)         (m)       (m-3)        (eV)
{DATA LIST}
    0.149324    0.911225    0.000000    5.43E+19      426.67
    0.149496    0.900980    0.000000    5.83E+19      445.83
    0.149776    0.910568    0.000000    5.67E+19      413.50
    0.149894    0.900307    0.000000    5.69E+19      384.78
    0.150215    0.909912    0.000000    5.42E+19      491.64
    0.150272    0.921469    0.000000    5.69E+19      459.30
    0.150394    0.911881    0.000000    5.66E+19      424.22
    0.150612    0.901653    0.000000    5.63E+19      400.82
    0.150781    0.920830    0.000000    5.63E+19      405.14
    0.151279    0.920191    0.000000    5.38E+19      473.01
    0.151292    0.922107    0.000000    5.71E+19      468.07
    0.152345    0.931714    0.000000    5.75E+19      455.32
    0.152914    0.931091    0.000000    5.73E+19      390.85
    0.153313    0.932335    0.000000    5.47E+19      441.09
    0.153472    0.930470    0.000000    5.50E+19      475.01
    0.155561    0.941959    0.000000    6.09E+19      436.19
    0.156193    0.941354    0.000000    5.90E+19      403.19
    0.156477    0.942564    0.000000    5.49E+19      471.91
    0.156814    0.940750    0.000000    5.48E+19      481.24
    0.159918    0.952203    0.000000    5.95E+19      446.86
    0.160616    0.951616    0.000000    6.03E+19      415.57
    0.160779    0.952791    0.000000    5.46E+19      476.55
    0.161303    0.951028    0.000000    5.42E+19      474.06
    0.165415    0.962447    0.000000    6.04E+19      437.77
    0.166183    0.961877    0.000000    6.01E+19      392.57
    0.166219    0.963019    0.000000    5.68E+19      495.17
    0.166940    0.961307    0.000000    5.52E+19      467.30
    0.168352    0.913520    0.000000    5.91E+19      411.53
    0.168429    0.903335    0.000000    5.65E+19      394.69
    0.169392    0.923705    0.000000    6.05E+19      413.95
    0.171561    0.933889    0.000000    5.82E+19      412.85
    0.172057    0.972692    0.000000    6.05E+19      417.55
    0.172799    0.973245    0.000000    5.65E+19      514.90
    0.172898    0.972138    0.000000    5.80E+19      397.93
    0.173729    0.971585    0.000000    5.41E+19      466.09
    0.174875    0.944076    0.000000    5.74E+19      402.94
    0.179328    0.954260    0.000000    6.04E+19      421.39
    0.179847    0.982936    0.000000    5.88E+19      439.22
    0.180526    0.983473    0.000000    5.60E+19      468.47
    0.180765    0.982400    0.000000    5.78E+19      373.33
    0.181672    0.981863    0.000000    5.37E+19      480.75
    0.184920    0.964445    0.000000    6.04E+19      380.09
    0.188773    0.993177    0.000000    5.77E+19      434.11
    0.189388    0.993700    0.000000    5.39E+19      509.52
    0.189769    0.992654    0.000000    5.56E+19      390.77
    0.190765    0.992141    0.000000    5.50E+19      498.04
    0.191655    0.974630    0.000000    5.97E+19      405.60
    0.198843    1.003430    0.000000    5.51E+19      433.19
    0.199380    1.003930    0.000000    5.25E+19      514.43
    0.199536    0.984815    0.000000    5.88E+19      391.55
    0.199932    1.002930    0.000000    5.47E+19      408.04
    0.200999    1.002420    0.000000    5.29E+19      462.19
    0.208542    0.994992    0.000000    5.95E+19      438.05
    0.210041    1.013670    0.000000    5.80E+19      426.21
    0.210499    1.014150    0.000000    5.44E+19      496.64
    0.211224    1.013190    0.000000    5.42E+19      376.44
    0.212385    1.012700    0.000000    5.46E+19      474.97
    0.218684    1.005180    0.000000    5.63E+19      413.95
    0.222375    1.023920    0.000000    5.53E+19      420.53
    0.222759    1.024390    0.000000    5.47E+19      494.80
    0.223646    1.023450    0.000000    5.32E+19      373.03
    0.224908    1.022980    0.000000    5.31E+19      452.49
    0.229965    1.015370    0.000000    5.96E+19      408.69
    0.235787    1.034150    0.000000    5.77E+19      429.36
    0.236094    1.034610    0.000000    5.48E+19      522.52
    0.237179    1.033710    0.000000    5.45E+19      399.30
    0.238549    1.033260    0.000000    5.43E+19      437.58
    0.242358    1.025560    0.000000    6.05E+19      404.33
    0.250345    1.044400    0.000000    5.71E+19      436.24
    0.250557    1.044840    0.000000    5.42E+19      507.56
    0.251838    1.043970    0.000000    5.49E+19      386.15
    0.253321    1.043540    0.000000    5.41E+19      465.68
    0.255831    1.035740    0.000000    6.00E+19      401.03
    0.266013    1.054660    0.000000    5.75E+19      446.87
    0.266105    1.055070    0.000000    5.36E+19      512.82
    0.267597    1.054230    0.000000    5.56E+19      380.25
    0.269204    1.053820    0.000000    5.41E+19      436.71
    0.270414    1.045920    0.000000    5.84E+19      395.04
    0.282693    1.065290    0.000000    5.46E+19      506.54
    0.282698    1.064890    0.000000    5.74E+19      435.75
    0.284428    1.064490    0.000000    5.50E+19      375.32
    0.286100    1.056120    0.000000    5.76E+19      388.35
    0.286148    1.064090    0.000000    5.69E+19      411.64
    0.300376    1.075520    0.000000    5.47E+19      486.45
    0.300501    1.075140    0.000000    5.90E+19      413.54
    0.302351    1.074750    0.000000    5.44E+19      378.37
    0.302785    1.066290    0.000000    6.15E+19      395.01
    0.304210    1.074370    0.000000    5.61E+19      401.78
    0.319095    1.085750    0.000000    5.29E+19      498.55
    0.319332    1.085380    0.000000    5.99E+19      387.52
    0.320573    1.076480    0.000000    5.77E+19      379.56
    0.321350    1.085020    0.000000    5.68E+19      388.14
    0.323339    1.084650    0.000000    5.74E+19      410.83
    0.338813    1.095980    0.000000    5.37E+19      511.61
    0.339189    1.095630    0.000000    5.97E+19      368.43
    0.339361    1.086660    0.000000    5.77E+19      367.61
    0.341346    1.095280    0.000000    5.35E+19      370.73
    0.343493    1.094930    0.000000    5.77E+19      368.28
    0.359171    1.096860    0.000000    5.93E+19      360.63
    0.359537    1.106200    0.000000    5.34E+19      483.00
    0.360043    1.105860    0.000000    5.79E+19      343.64
    0.362388    1.105540    0.000000    5.37E+19      340.39
    0.364681    1.105200    0.000000    5.42E+19      330.22
    0.379934    1.107030    0.000000    5.77E+19      363.09
    0.381252    1.116430    0.000000    5.13E+19      440.22
    0.381940    1.116120    0.000000    5.69E+19      326.42
    0.384423    1.115800    0.000000    5.09E+19      329.73
    0.386895    1.115480    0.000000    5.57E+19      326.92
    0.401684    1.117220    0.000000    5.57E+19      290.11
    0.404161    1.126780    0.000000    4.74E+19      420.81
    0.405024    1.126490    0.000000    5.41E+19      301.88
    0.407675    1.126180    0.000000    5.20E+19      299.00
    0.410339    1.125880    0.000000    5.17E+19      282.01
    0.424585    1.127520    0.000000    5.23E+19      307.77
    0.428052    1.137130    0.000000    4.98E+19      400.28
    0.429078    1.136850    0.000000    5.57E+19      291.41
    0.431955    1.136570    0.000000    5.04E+19      323.90
    0.434798    1.136280    0.000000    5.31E+19      280.49
    0.448469    1.137830    0.000000    5.54E+19      278.30
    0.452846    1.147480    0.000000    5.04E+19      391.54
    0.454073    1.147220    0.000000    5.37E+19      274.63
    0.457141    1.146950    0.000000    5.27E+19      278.64
    0.460224    1.146690    0.000000    5.42E+19      274.01
    0.473199    1.148130    0.000000    5.84E+19      274.57
    0.478464    1.157820    0.000000    4.93E+19      409.38
    0.479902    1.157580    0.000000    5.67E+19      254.61
    0.483196    1.157330    0.000000    5.12E+19      265.64
    0.486480    1.157080    0.000000    5.42E+19      250.10
    0.498747    1.158430    0.000000    5.69E+19      261.65
    0.504972    1.168160    0.000000    5.17E+19      384.88
    0.506634    1.167940    0.000000    5.77E+19      247.71
    0.510166    1.167710    0.000000    5.33E+19      259.25
    0.513688    1.167480    0.000000    5.64E+19      250.15
    0.525156    1.168730    0.000000    5.84E+19      240.14
    0.532292    1.178510    0.000000    6.18E+19      357.95
    0.534193    1.178310    0.000000    5.80E+19      222.26
    0.537948    1.178090    0.000000    5.41E+19      229.84
    0.541721    1.177880    0.000000    5.70E+19      234.00
    0.552360    1.179050    0.000000    5.80E+19      266.62
    0.560341    1.188860    0.000000    6.12E+19      302.51
    0.562465    1.188670    0.000000    5.73E+19      198.23
    0.566478    1.188470    0.000000    5.36E+19      218.31
    0.570510    1.188280    0.000000    5.65E+19      208.33
    0.580230    1.189360    0.000000    5.64E+19      219.67
    0.589168    1.199210    0.000000    5.64E+19      259.92
    0.591526    1.199030    0.000000    5.22E+19      191.81
    0.595779    1.198840    0.000000    4.86E+19      204.92
    0.600024    1.198650    0.000000    5.28E+19      194.98
    0.608864    1.199680    0.000000    5.19E+19      184.12
    0.618605    1.209550    0.000000    5.52E+19      193.79
    0.621208    1.209380    0.000000    4.93E+19      163.15
    0.625740    1.209210    0.000000    4.66E+19      180.09
    0.630234    1.209030    0.000000    5.01E+19      171.80
    0.638054    1.209990    0.000000    4.84E+19      169.75
    0.648655    1.219900    0.000000    5.18E+19      174.91
    0.651511    1.219740    0.000000    4.69E+19      160.29
    0.656267    1.219570    0.000000    4.26E+19      174.17
    0.661043    1.219410    0.000000    4.85E+19      152.57
    0.667810    1.220310    0.000000    4.43E+19      153.12
    0.679276    1.230230    0.000000    4.59E+19      150.47
    0.682425    1.230090    0.000000    4.30E+19      135.48
    0.687441    1.229930    0.000000    4.05E+19      141.97
    0.692447    1.229770    0.000000    4.46E+19      142.95
    0.698115    1.230620    0.000000    4.21E+19      130.14
    0.710413    1.240580    0.000000    4.37E+19      132.62
    0.713803    1.240440    0.000000    4.07E+19      114.87
    0.719112    1.240300    0.000000    3.79E+19      124.58
    0.724382    1.240150    0.000000    4.05E+19      116.19
    0.728837    1.240940    0.000000    3.96E+19      115.44
    0.741928    1.250920    0.000000    4.08E+19      117.53
    0.745623    1.250800    0.000000    3.75E+19       92.72
    0.751162    1.250660    0.000000    3.80E+19      109.74
    0.756725    1.250530    0.000000    3.97E+19      102.35
    0.759911    1.251260    0.000000    3.80E+19      106.53
    0.773922    1.261270    0.000000    3.72E+19      104.39
    0.777867    1.261150    0.000000    3.50E+19       80.15
    0.783701    1.261030    0.000000    3.55E+19       83.46
    0.789497    1.260900    0.000000    3.80E+19       80.66
    0.791365    1.261580    0.000000    3.73E+19       86.39
    0.807457    1.272040    0.000000    3.66E+19       85.07
    0.811696    1.271930    0.000000    3.20E+19       59.65
    0.817765    1.271810    0.000000    3.19E+19       67.72
    0.823860    1.271700    0.000000    3.55E+19       63.72
    0.824258    1.272320    0.000000    3.35E+19       77.44
    0.841222    1.282810    0.000000    3.45E+19       69.54
    0.845750    1.282710    0.000000    3.16E+19       48.13
    0.852107    1.282610    0.000000    2.97E+19       56.07
    0.857336    1.283070    0.000000    3.13E+19       65.83
    0.858458    1.282510    0.000000    3.17E+19       51.33
    0.875207    1.293580    0.000000    3.17E+19       60.34
    0.880024    1.293490    0.000000    3.25E+19       40.83
    0.886629    1.293400    0.000000    3.03E+19       43.55
    0.890485    1.293800    0.000000    3.12E+19       47.60
    0.893229    1.293310    0.000000    2.63E+19       36.85
    0.909123    1.304350    0.000000    2.90E+19       51.61
    0.914218    1.304270    0.000000    2.67E+19       37.85
    0.921050    1.304190    0.000000    2.28E+19       29.34
    0.923526    1.304550    0.000000    2.51E+19       33.07
    0.927910    1.304120    0.000000    2.11E+19       29.68
    0.943061    1.315130    0.000000    2.57E+19       39.41
    0.948416    1.315060    0.000000    1.54E+19       16.65
    0.955444    1.314990    0.000000    9.32E+18        9.77
    0.956432    1.315300    0.000000    1.26E+19       14.50
    0.962468    1.314920    0.000000    1.16E+19       18.03
    0.976851    1.325900    0.000000    1.71E+19       16.33
    0.982455    1.325840    0.000000    8.71E+18        7.25
    0.989143    1.326050    0.000000    9.20E+18        9.79
    0.989662    1.325780    0.000000    6.07E+18        3.25
    0.996865    1.325720    0.000000    1.15E+19        8.42
    1.010250    1.336680    0.000000    8.21E+18        7.15
    1.021417    1.336790    0.000000    1.04E+19       13.06
    1.023481    1.336580    0.000000    5.64E+18        4.21
    1.030860    1.336530    0.000000    6.14E+18        7.43
    1.043199    1.347440    0.000000    8.36E+18        5.16
    1.049286    1.347400    0.000000    9.11E+18        4.75
    1.053335    1.347540    0.000000    1.05E+19        8.04
    1.056865    1.347370    0.000000    9.68E+18        5.68
    1.064410    1.347330    0.000000    7.49E+18        5.62
    1.075802    1.358210    0.000000    3.26E+17        8.32
