 0.993    2.815e+02    1.179e+17     2.3     2.3
 0.994    3.854e+02    1.432e+17     2.9     2.9
 0.995    1.016e+03    3.810e+17     2.9     2.9
 0.996    2.046e+03    6.872e+17     3.6     3.6
 0.997    5.229e+03    1.686e+18     3.9     3.9
 0.998    7.122e+03    2.378e+18     3.6     3.6
 0.999    2.172e+04    6.433e+18     4.6     4.6
 1.000    3.730e+04    9.385e+18     6.4     6.4
 1.001    1.128e+05    2.163e+19    11.1    11.1
 1.002    1.264e+05    2.475e+19    10.6    10.6
 1.003    0.000e+00         -NaN     0.0     0.0
 1.004    0.000e+00         -NaN     0.0     0.0
 1.005    0.000e+00         -NaN     0.0     0.0
 1.006    0.000e+00         -NaN     0.0     0.0
 1.007    0.000e+00         -NaN     0.0     0.0
 1.008    7.359e+04    2.069e+19     5.1     5.1
 1.009    6.605e+04    2.177e+19     3.7     3.7
 1.010    6.286e+04    2.169e+19     3.4     3.4
 1.011    6.171e+04    2.072e+19     3.6     3.6
 1.012    7.956e+04    2.957e+19     2.9     2.9
 1.013    8.686e+04    3.281e+19     2.8     2.8
 1.014    8.705e+04    3.553e+19     2.4     2.4
 1.015    8.371e+04    3.424e+19     2.4     2.4
 1.016    0.000e+00         -NaN     0.0     0.0
