* number of heading lines in this data file : 15
* 
* BM 3D coordinates extracted from CASTEM
* Post-proc in Matlab : only reading CASTEM raw data (for checking) and write concatenate ascii files - no modifications of X,Y,Z coordinates
* Date CASTEM calculations : 15/03/2011
* Date Matlab post-processing data : 15/03/2011
* Files can be found in : C:\CASTEM_FW.BM coordinates for Steve. march. 2011 (bis) -  whole column - def
* Modif compared to latest version : - 
* 
* FIRST WALL GEOMETRY:
* Reference design November 2009 - slightly adjusted in January 2010 (CATIA skeleton post-Blanket CDR)
* higher spatial resolution than the one used for previous DIVIMP grid (2010)
* 
* DATA
* nºnode  nºelem  X(m)    Y(m)    Z(m) 
133.000  34.000   8.152   0.030  -0.813
134.000  34.000   8.171   0.030  -0.770
135.000  34.000   8.176   0.030  -0.772
136.000  34.000   8.157   0.030  -0.815
137.000  35.000   8.133   0.030  -0.856
138.000  35.000   8.152   0.030  -0.813
139.000  35.000   8.157   0.030  -0.815
140.000  35.000   8.137   0.030  -0.858
141.000  36.000   8.114   0.030  -0.899
142.000  36.000   8.133   0.030  -0.856
143.000  36.000   8.137   0.030  -0.858
144.000  36.000   8.118   0.030  -0.901
145.000  37.000   8.164   0.678  -0.869
146.000  37.000   8.145   0.678  -0.913
147.000  37.000   8.149   0.678  -0.915
148.000  37.000   8.168   0.678  -0.872
149.000  38.000   8.183   0.678  -0.826
150.000  38.000   8.164   0.678  -0.869
151.000  38.000   8.168   0.678  -0.872
152.000  38.000   8.187   0.678  -0.828
153.000  39.000   8.202   0.678  -0.783
154.000  39.000   8.183   0.678  -0.826
155.000  39.000   8.187   0.678  -0.828
156.000  39.000   8.207   0.678  -0.785
157.000  40.000   8.221   0.678  -0.740
158.000  40.000   8.202   0.678  -0.783
159.000  40.000   8.207   0.678  -0.785
160.000  40.000   8.226   0.678  -0.742
161.000  41.000   8.240   0.678  -0.697
162.000  41.000   8.221   0.678  -0.740
163.000  41.000   8.226   0.678  -0.742
164.000  41.000   8.245   0.678  -0.699
165.000  42.000   8.259   0.678  -0.653
166.000  42.000   8.240   0.678  -0.697
167.000  42.000   8.245   0.678  -0.699
168.000  42.000   8.264   0.678  -0.655
169.000  43.000   8.278   0.678  -0.610
170.000  43.000   8.259   0.678  -0.653
171.000  43.000   8.264   0.678  -0.655
172.000  43.000   8.283   0.678  -0.612
173.000  44.000   8.298   0.678  -0.567
174.000  44.000   8.278   0.678  -0.610
175.000  44.000   8.283   0.678  -0.612
176.000  44.000   8.302   0.678  -0.569
177.000  45.000   8.317   0.678  -0.524
178.000  45.000   8.298   0.678  -0.567
179.000  45.000   8.302   0.678  -0.569
180.000  45.000   8.321   0.678  -0.526
181.000  46.000   8.336   0.678  -0.481
182.000  46.000   8.317   0.678  -0.524
183.000  46.000   8.321   0.678  -0.526
184.000  46.000   8.340   0.678  -0.483
185.000  47.000   8.340   0.678  -0.472
186.000  47.000   8.336   0.678  -0.481
