* BM 3D coordinates - CATIA meshed model BM13-16 (Houda) - extracted with CASTEM (waiting for CATIA licence...)
* Post-proc in Matlab : only reading CASTEM raw data (for checking) and write concatenate ascii files - no modifications of X,Y,Z coordinates
* Date CASTEM calculations : 25/03/2011
* Date Matlab post-processing data : 29/03/2011
* Files can be found in : C:\CASTEM_FW.BM coordinates for Steve
* Modif compared to latest version : Here, CATIA model and elements = triangles ! 
* 
* FIRST WALL GEOMETRY:
* Updated draft model CATIA (Houda - 2010) from DO
* spatial resolution chosen in CATIA - TRIANGLES
* 
* DATA
* 
* nºnode  nºelem  X(m)    Y(m)    Z(m) 
106.000  36.000   7.288  -3.190  -1.294
107.000  36.000   7.319  -3.396  -1.097
108.000  36.000   7.266  -3.372  -1.226
109.000  37.000   7.734  -2.850  -0.660
110.000  37.000   7.629  -2.988  -0.745
111.000  37.000   7.680  -2.830  -0.789
112.000  38.000   7.277  -3.379  -1.123
113.000  38.000   7.266  -3.372  -1.226
114.000  38.000   7.319  -3.396  -1.097
115.000  39.000   7.266  -3.372  -1.226
116.000  39.000   7.277  -3.379  -1.123
117.000  39.000   7.229  -3.357  -1.240
118.000  40.000   7.343  -3.192  -1.101
119.000  40.000   7.231  -3.256  -1.295
120.000  40.000   7.229  -3.357  -1.240
121.000  41.000   7.343  -3.192  -1.101
122.000  41.000   7.229  -3.357  -1.240
123.000  41.000   7.277  -3.379  -1.123
124.000  42.000   7.667  -3.243  -0.449
125.000  42.000   7.708  -3.130  -0.449
126.000  42.000   7.657  -3.191  -0.437
127.000  43.000   7.667  -3.243  -0.449
128.000  43.000   7.663  -3.191  -0.498
129.000  43.000   7.708  -3.130  -0.449
130.000  44.000   7.656  -3.111  -0.573
131.000  44.000   7.568  -3.191  -0.698
132.000  44.000   7.605  -3.092  -0.698
133.000  45.000   7.629  -2.958  -0.698
134.000  45.000   7.556  -3.073  -0.741
135.000  45.000   7.611  -3.093  -0.610
136.000  46.000   7.627  -3.192  -0.499
137.000  46.000   7.611  -3.093  -0.610
138.000  46.000   7.534  -3.192  -0.697
139.000  47.000   7.534  -3.192  -0.697
140.000  47.000   7.611  -3.093  -0.610
141.000  47.000   7.556  -3.073  -0.741
142.000  48.000   7.519  -2.988  -0.897
143.000  48.000   7.629  -2.958  -0.698
144.000  48.000   7.627  -2.808  -0.845
145.000  49.000   7.629  -2.988  -0.745
146.000  49.000   7.605  -3.092  -0.698
147.000  49.000   7.519  -3.061  -0.903
148.000  50.000   7.629  -2.988  -0.745
149.000  50.000   7.519  -3.061  -0.903
150.000  50.000   7.554  -2.988  -0.899
151.000  51.000   7.568  -3.191  -0.698
152.000  51.000   7.519  -3.061  -0.903
153.000  51.000   7.605  -3.092  -0.698
154.000  52.000   7.556  -3.073  -0.741
155.000  52.000   7.519  -2.988  -0.897
156.000  52.000   7.502  -3.054  -0.872
157.000  53.000   7.502  -3.054  -0.872
158.000  53.000   7.534  -3.192  -0.697
159.000  53.000   7.556  -3.073  -0.741
160.000  54.000   7.431  -2.969  -1.097
161.000  54.000   7.519  -2.988  -0.897
162.000  54.000   7.569  -2.787  -0.986
163.000  55.000   7.431  -2.969  -1.097
164.000  55.000   7.569  -2.787  -0.986
165.000  55.000   7.507  -2.764  -1.133
166.000  56.000   7.569  -2.787  -0.986
167.000  56.000   7.519  -2.988  -0.897
168.000  56.000   7.627  -2.808  -0.845
169.000  57.000   7.625  -2.810  -0.922
170.000  57.000   7.569  -2.787  -0.986
171.000  57.000   7.627  -2.808  -0.845
172.000  58.000   7.459  -2.988  -1.095
173.000  58.000   7.571  -2.791  -1.052
174.000  58.000   7.554  -2.988  -0.899
175.000  59.000   7.554  -2.988  -0.899
176.000  59.000   7.571  -2.791  -1.052
177.000  59.000   7.625  -2.810  -0.922
178.000  60.000   7.459  -2.988  -1.095
179.000  60.000   7.519  -3.061  -0.903
180.000  60.000   7.438  -3.031  -1.098
181.000  61.000   7.519  -3.061  -0.903
182.000  61.000   7.429  -3.191  -0.993
183.000  61.000   7.438  -3.031  -1.098
184.000  62.000   7.873  -2.704  -0.454
185.000  62.000   7.856  -2.666  -0.441
186.000  62.000   7.814  -2.812  -0.445
187.000  63.000   7.519  -2.988  -0.897
188.000  63.000   7.455  -3.037  -0.985
189.000  63.000   7.502  -3.054  -0.872
190.000  64.000   7.428  -3.222  -0.897
191.000  64.000   7.502  -3.054  -0.872
192.000  64.000   7.455  -3.037  -0.985
193.000  65.000   7.431  -2.969  -1.097
194.000  65.000   7.408  -3.019  -1.097
195.000  65.000   7.455  -3.037  -0.985
196.000  66.000   7.343  -3.192  -1.101
197.000  66.000   7.455  -3.037  -0.985
198.000  66.000   7.408  -3.019  -1.097
199.000  67.000   7.527  -2.775  -1.157
200.000  67.000   7.430  -2.988  -1.155
201.000  67.000   7.429  -2.840  -1.295
202.000  68.000   7.527  -2.775  -1.157
203.000  68.000   7.429  -2.840  -1.295
204.000  68.000   7.483  -2.759  -1.263
205.000  69.000   7.358  -3.001  -1.218
206.000  69.000   7.431  -2.969  -1.097
207.000  69.000   7.429  -2.793  -1.265
208.000  70.000   7.358  -3.001  -1.218
209.000  70.000   7.429  -2.793  -1.265
210.000  70.000   7.363  -2.857  -1.341
211.000  71.000   7.358  -3.001  -1.218
212.000  71.000   7.253  -3.189  -1.296
213.000  71.000   7.343  -3.192  -1.101
214.000  72.000   7.358  -3.001  -1.218
215.000  72.000   7.343  -3.192  -1.101
216.000  72.000   7.408  -3.019  -1.097
217.000  73.000   7.386  -3.012  -1.224
218.000  73.000   7.430  -2.988  -1.155
219.000  73.000   7.438  -3.031  -1.098
220.000  74.000   7.438  -3.031  -1.098
221.000  74.000   7.288  -3.190  -1.294
222.000  74.000   7.386  -3.012  -1.224
223.000  75.000   7.873  -2.704  -0.454
224.000  75.000   7.829  -2.593  -0.617
225.000  75.000   7.916  -2.557  -0.449
226.000  76.000   7.753  -2.790  -0.592
227.000  76.000   7.810  -2.808  -0.530
228.000  76.000   7.814  -2.812  -0.445
229.000  77.000   7.739  -2.849  -0.577
230.000  77.000   7.734  -2.850  -0.660
231.000  77.000   7.684  -2.829  -0.709
232.000  78.000   7.745  -2.991  -0.501
233.000  78.000   7.734  -2.850  -0.660
234.000  78.000   7.787  -2.869  -0.532
235.000  79.000   7.684  -2.829  -0.709
236.000  79.000   7.629  -2.958  -0.698
237.000  79.000   7.709  -2.991  -0.501
238.000  80.000   7.684  -2.829  -0.709
239.000  80.000   7.709  -2.991  -0.501
240.000  80.000   7.739  -2.849  -0.577
241.000  81.000   7.656  -3.111  -0.573
242.000  81.000   7.652  -2.992  -0.694
243.000  81.000   7.745  -2.991  -0.501
244.000  82.000   7.656  -3.111  -0.573
245.000  82.000   7.745  -2.991  -0.501
246.000  82.000   7.708  -3.130  -0.449
