* number of heading lines in this data file : 15
* 
* BM 3D coordinates extracted from CASTEM
* Post-proc in Matlab : only reading CASTEM raw data (for checking) and write concatenate ascii files - no modifications of X,Y,Z coordinates
* Date CASTEM calculations : 15/03/2011
* Date Matlab post-processing data : 15/03/2011
* Files can be found in : C:\CASTEM_FW.BM coordinates for Steve. march. 2011 (bis) -  whole column - def
* Modif compared to latest version : - 
* 
* FIRST WALL GEOMETRY:
* Reference design November 2009 - slightly adjusted in January 2010 (CATIA skeleton post-Blanket CDR)
* higher spatial resolution than the one used for previous DIVIMP grid (2010)
* 
* DATA
* nºnode  nºelem  X(m)    Y(m)    Z(m) 
  1.000   1.000   4.051  -0.019   3.925
  2.000   1.000   4.072  -0.022   3.984
  3.000   1.000   4.064  -0.021   3.987
  4.000   1.000   4.043  -0.017   3.928
  5.000   2.000   4.030  -0.015   3.866
  6.000   2.000   4.051  -0.019   3.925
  7.000   2.000   4.043  -0.017   3.928
  8.000   2.000   4.022  -0.014   3.869
  9.000   3.000   4.009  -0.011   3.806
 10.000   3.000   4.030  -0.015   3.866
 11.000   3.000   4.022  -0.014   3.869
 12.000   3.000   4.002  -0.010   3.809
 13.000   4.000   3.989  -0.008   3.747
 14.000   4.000   4.009  -0.011   3.806
 15.000   4.000   4.002  -0.010   3.809
 16.000   4.000   3.981  -0.006   3.750
 17.000   5.000   3.968  -0.004   3.688
 18.000   5.000   3.989  -0.008   3.747
 19.000   5.000   3.981  -0.006   3.750
 20.000   5.000   3.960  -0.003   3.691
 21.000   6.000   3.960  -0.003   3.681
 22.000   6.000   3.968  -0.004   3.688
 23.000   6.000   3.960  -0.003   3.691
 24.000   6.000   3.952  -0.001   3.684
 25.000   7.000   3.953  -0.001   3.675
 26.000   7.000   3.960  -0.003   3.681
 27.000   7.000   3.952  -0.001   3.684
 28.000   7.000   3.945   0.000   3.678
 29.000   8.000   3.945  -0.000   3.668
 30.000   8.000   3.953  -0.001   3.675
 31.000   8.000   3.945   0.000   3.678
 32.000   8.000   3.937   0.001   3.671
 33.000   9.000   3.938   0.001   3.662
 34.000   9.000   3.945  -0.000   3.668
 35.000   9.000   3.937   0.001   3.671
 36.000   9.000   3.930   0.003   3.665
 37.000  10.000   3.930   0.003   3.655
 38.000  10.000   3.938   0.001   3.662
 39.000  10.000   3.930   0.003   3.665
 40.000  10.000   3.922   0.004   3.658
 41.000  11.000   3.922   0.004   3.654
 42.000  11.000   3.930   0.003   3.655
 43.000  11.000   3.922   0.004   3.658
 44.000  11.000   3.914   0.005   3.657
 45.000  12.000   3.914   0.005   3.652
 46.000  12.000   3.922   0.004   3.654
 47.000  12.000   3.914   0.005   3.657
 48.000  12.000   3.906   0.007   3.655
 49.000  13.000   3.906   0.007   3.651
 50.000  13.000   3.914   0.005   3.652
 51.000  13.000   3.906   0.007   3.655
 52.000  13.000   3.898   0.008   3.654
 53.000  14.000   3.898   0.008   3.649
 54.000  14.000   3.906   0.007   3.651
 55.000  14.000   3.898   0.008   3.654
 56.000  14.000   3.890   0.010   3.652
 57.000  15.000   3.882   0.011   3.646
 58.000  15.000   3.898   0.008   3.649
 59.000  15.000   3.890   0.010   3.652
 60.000  15.000   3.874   0.013   3.649
 61.000  16.000   3.885   0.002   3.645
 62.000  16.000   3.882   0.011   3.646
 63.000  16.000   3.874   0.013   3.649
 64.000  16.000   3.877   0.003   3.648
 65.000  17.000   3.898  -0.054   3.636
 66.000  17.000   3.885   0.002   3.645
 67.000  17.000   3.877   0.003   3.648
 68.000  17.000   3.890  -0.053   3.639
 69.000  18.000   3.906  -0.110   3.630
 70.000  18.000   3.898  -0.054   3.636
 71.000  18.000   3.890  -0.053   3.639
 72.000  18.000   3.898  -0.108   3.633
 73.000  19.000   3.912  -0.165   3.625
 74.000  19.000   3.906  -0.110   3.630
 75.000  19.000   3.898  -0.108   3.633
 76.000  19.000   3.904  -0.163   3.628
 77.000  20.000   3.915  -0.219   3.620
 78.000  20.000   3.912  -0.165   3.625
 79.000  20.000   3.904  -0.163   3.628
 80.000  20.000   3.907  -0.218   3.623
 81.000  21.000   3.916  -0.274   3.616
 82.000  21.000   3.915  -0.219   3.620
 83.000  21.000   3.907  -0.218   3.623
 84.000  21.000   3.908  -0.272   3.619
 85.000  22.000   3.916  -0.328   3.613
 86.000  22.000   3.916  -0.274   3.616
 87.000  22.000   3.908  -0.272   3.619
 88.000  22.000   3.908  -0.326   3.616
 89.000  23.000   3.906  -0.380   3.614
 90.000  23.000   3.916  -0.328   3.613
 91.000  23.000   3.908  -0.326   3.616
 92.000  23.000   3.898  -0.378   3.616
 93.000  24.000   3.894  -0.431   3.615
 94.000  24.000   3.906  -0.380   3.614
 95.000  24.000   3.898  -0.378   3.616
 96.000  24.000   3.886  -0.430   3.617
 97.000  25.000   3.880  -0.483   3.616
 98.000  25.000   3.894  -0.431   3.615
 99.000  25.000   3.886  -0.430   3.617
100.000  25.000   3.872  -0.482   3.619
101.000  26.000   3.864  -0.534   3.619
102.000  26.000   3.880  -0.483   3.616
103.000  26.000   3.872  -0.482   3.619
104.000  26.000   3.856  -0.533   3.621
105.000  27.000   3.846  -0.585   3.622
106.000  27.000   3.864  -0.534   3.619
107.000  27.000   3.856  -0.533   3.621
108.000  27.000   3.838  -0.584   3.625
109.000  28.000   3.822  -0.635   3.627
110.000  28.000   3.846  -0.585   3.622
111.000  28.000   3.838  -0.584   3.625
112.000  28.000   3.814  -0.633   3.630
113.000  29.000   3.817  -0.643   3.628
114.000  29.000   3.822  -0.635   3.627
