	0.1980	0.0000
	0.1980	0.2500
	0.1980	0.5000
	0.1980	0.7500
	0.1980	0.9960
	0.2794	1.1714
	0.2794	1.3200
	0.2794	1.4600
	0.2794	1.6034
	0.4200	1.6034
	0.5715	1.6034
	0.5715	1.6542
	0.6001	1.7107
	0.6255	1.7107
	0.6255	1.7237
	0.6731	1.7093
	0.6731	1.6605
	0.6356	1.6752
	0.6264	1.6516
	0.6171	1.6280
	0.7903	1.5598
	0.9635	1.4915
	1.0034	1.4608
	1.0433	1.4300
	1.1123	1.3324
	1.1813	1.2349
	1.2502	1.1373
	1.3192	1.0397
	1.3358	0.9976
	1.3731	0.8845
	1.4105	0.7713
	1.4478	0.6582
	1.4851	0.5450
	1.4920	0.5011
	1.4988	0.4572
	1.5035	0.4260
	1.5082	0.3948
	1.5258	0.3074
	1.5434	0.2199
	1.5571	0.1401
	1.5707	0.0603
	1.5697	-0.0154
	1.5686	-0.0910
	1.5555	-0.1655
	1.5423	-0.2399
	1.5261	-0.3209
	1.5099	-0.4018
	1.5061	-0.4295
	1.5023	-0.4572
	1.4937	-0.5011
	1.4851	-0.5450
	1.4478	-0.6582
	1.4105	-0.7713
	1.3731	-0.8845
	1.3358	-0.9976
	1.3192	-1.0397
	1.2502	-1.1373
	1.1813	-1.2349
	1.1123	-1.3324
	1.0433	-1.4300
	1.0034	-1.4608
	0.9635	-1.4915
	0.9318	-1.5041
	0.9000	-1.5166
	0.8527	-1.5352
	0.8000	-1.5560
	0.7800	-1.5638
	0.7546	-1.5738
	0.6900	-1.5993
	0.6564	-1.6125
	0.6171	-1.6280
	0.6264	-1.6516
	0.6356	-1.6752
	0.6731	-1.6605
	0.6731	-1.7093
	0.6255	-1.7237
	0.6255	-1.7107
	0.6001	-1.7107
	0.5715	-1.6542
	0.5717	-1.6203
	0.5715	-1.6034
	0.5500	-1.6034
	0.5000	-1.6034
	0.4500	-1.6034
	0.4000	-1.6034
	0.3500	-1.6034
	0.3000	-1.6034
	0.2794	-1.6034
	0.2794	-1.4600
	0.2794	-1.3200
	0.2794	-1.1714
	0.1980	-0.9960
	0.1980	-0.7500
	0.1980	-0.5000
	0.1980	-0.2500
	0.1980	0.0000
