1.00
*     IK    IR          PSIn       B_ratio
      37     4     0.9393190     0.2888229     0.8088298
      38     4     0.9393381     0.2889204     0.8085751
      39     4     0.9393271     0.2777783     0.8087221
      40     4     0.9393294     0.2638515     0.8086917
      41     4     0.9393242     0.2515386     0.8087606
      42     4     0.9393179     0.2355672     0.8088445
      43     4     0.9393309     0.2144614     0.8086708
      44     4     0.9393383     0.1917524     0.8085731
      45     4     0.9393396     0.1689623     0.8085550
      46     4     0.9393287     0.1393110     0.8087003
      47     4     0.9393157     0.1067745     0.8088744
      48     4     0.9393025     0.0755926     0.8090493
      49     4     0.9392868     0.0531118     0.8092598
      50     4     0.9393322     0.0493001     0.8086535
      51     4     0.9393172     0.0494680     0.8088544
       1     5     0.9481734     0.0510990     0.6908080
       2     5     0.9481748     0.0576088     0.6907895
       3     5     0.9481357     0.0795746     0.6913107
       4     5     0.9481684     0.1065739     0.6908747
       5     5     0.9481795     0.1326293     0.6907261
       6     5     0.9481752     0.1552245     0.6907844
       7     5     0.9481968     0.1748631     0.6904955
       8     5     0.9481951     0.1915717     0.6905186
       9     5     0.9482149     0.2051119     0.6902543
      10     5     0.9482289     0.2097164     0.6900682
      11     5     0.9482026     0.2162196     0.6904189
      12     5     0.9482291     0.2122313     0.6900649
      13     5     0.9482323     0.2048256     0.6900224
      14     5     0.9482302     0.1949449     0.6900507
      15     5     0.9482253     0.1827707     0.6901165
      16     5     0.9481928     0.1632519     0.6905496
      17     5     0.9482201     0.1457401     0.6901859
      18     5     0.9482129     0.1266904     0.6902814
      19     5     0.9481986     0.1078862     0.6904720
      20     5     0.9481748     0.0935387     0.6907887
      21     5     0.9481908     0.0843690     0.6905752
      22     5     0.9481813     0.0827286     0.6907027
      23     5     0.9481666     0.0927423     0.6908978
      24     5     0.9481775     0.1096105     0.6907537
      25     5     0.9481734     0.1316962     0.6908076
      26     5     0.9481835     0.1566987     0.6906734
      27     5     0.9481907     0.1825799     0.6905774
      28     5     0.9481818     0.2077490     0.6906956
      29     5     0.9481798     0.2292624     0.6907230
      30     5     0.9481675     0.2507693     0.6908860
      31     5     0.9481785     0.2674438     0.6907399
      32     5     0.9481625     0.2797297     0.6909533
      33     5     0.9481816     0.2928126     0.6906987
      34     5     0.9481689     0.3008047     0.6908671
      35     5     0.9481930     0.2955062     0.6905464
      36     5     0.9481574     0.2974980     0.6910213
      37     5     0.9481655     0.2910242     0.6909135
      38     5     0.9481891     0.2926510     0.6905989
      39     5     0.9481733     0.2811070     0.6908090
      40     5     0.9481794     0.2665215     0.6907274
      41     5     0.9481731     0.2544254     0.6908115
      42     5     0.9481703     0.2386647     0.6908492
      43     5     0.9481786     0.2170609     0.6907378
      44     5     0.9481837     0.1944403     0.6906698
      45     5     0.9481908     0.1736361     0.6905764
      46     5     0.9481718     0.1436246     0.6908293
      47     5     0.9481619     0.1124549     0.6909615
      48     5     0.9481469     0.0811852     0.6911610
      49     5     0.9481148     0.0564289     0.6915883
      50     5     0.9481605     0.0507812     0.6909794
      51     5     0.9481734     0.0510990     0.6908080
       1     6     0.9567236     0.0507993     0.5768398
       2     6     0.9567188     0.0597340     0.5769040
       3     6     0.9566749     0.0830988     0.5774893
       4     6     0.9566708     0.1098342     0.5775438
       5     6     0.9566793     0.1345019     0.5774303
       6     6     0.9566850     0.1563073     0.5773552
       7     6     0.9566938     0.1753630     0.5772379
       8     6     0.9567005     0.1915974     0.5771476
       9     6     0.9567052     0.2056608     0.5770858
      10     6     0.9567229     0.2098954     0.5768501
      11     6     0.9567077     0.2166827     0.5770520
      12     6     0.9567295     0.2115429     0.5767623
      13     6     0.9567246     0.2041879     0.5768267
      14     6     0.9567219     0.1943479     0.5768626
      15     6     0.9567243     0.1832117     0.5768314
      16     6     0.9567030     0.1641826     0.5771146
      17     6     0.9567155     0.1470659     0.5769478
      18     6     0.9567065     0.1282664     0.5770682
      19     6     0.9566982     0.1095090     0.5771795
      20     6     0.9566958     0.0951534     0.5772106
      21     6     0.9566931     0.0857439     0.5772463
      22     6     0.9567011     0.0848569     0.5771408
      23     6     0.9566900     0.0949210     0.5772884
      24     6     0.9566788     0.1137164     0.5774376
      25     6     0.9566650     0.1354752     0.5776214
