1.00
*     IK    IR          PSIn       B_ratio
      18    16     1.0034385     0.0352897    -0.0458326
      19    16     1.0034367     0.0245855    -0.0458085
      20    16     1.0033929     0.0181647    -0.0452253
      21    16     1.0033606     0.0283150    -0.0447939
      22    16     1.0034159     0.0582127    -0.0455308
      23    16     1.0034267     0.0869524    -0.0456752
      24    16     1.0034267     0.1121959    -0.0456758
      25    16     1.0034317     0.1355209    -0.0457413
      26    16     1.0034335     0.1568323    -0.0457664
      27    16     1.0034374     0.1752550    -0.0458181
      28    16     1.0034374     0.1896103    -0.0458176
      29    16     1.0034359     0.2005444    -0.0457976
      30    16     1.0034355     0.2083511    -0.0457920
      31    16     1.0034360     0.2102061    -0.0457989
      32    16     1.0034422     0.2069299    -0.0458820
      33    16     1.0034351     0.2009189    -0.0457866
      34    16     1.0034373     0.1905289    -0.0458170
      35    16     1.0034340     0.1768675    -0.0457730
      36    16     1.0034405     0.1601789    -0.0458595
      37    16     1.0034378     0.1414139    -0.0458227
      38    16     1.0034361     0.1226217    -0.0458011
      39    16     1.0034349     0.1039230    -0.0457841
      40    16     1.0034287     0.0874048    -0.0457014
      41    16     1.0034262     0.0762175    -0.0456684
      42    16     1.0034328     0.0786646    -0.0457564
      43    16     1.0034311     0.0966701    -0.0457344
      44    16     1.0034257     0.1212659    -0.0456621
      45    16     1.0034200     0.1478558    -0.0455862
      46    16     1.0034298     0.1733504    -0.0457160
      47    16     1.0034210     0.1982431    -0.0455991
      48    16     1.0034259     0.2206435    -0.0456650
      49    16     1.0034289     0.2441796    -0.0457041
      50    16     1.0034013     0.2644165    -0.0453370
      51    16     1.0034079     0.2824573    -0.0454252
      52    16     1.0034270     0.2975816    -0.0456798
      53    16     1.0033767     0.3082066    -0.0450090
      54    16     1.0033969     0.3150280    -0.0452773
      55    16     1.0034034     0.3142517    -0.0453646
      56    16     1.0034087     0.3164823    -0.0454350
      57    16     1.0034095     0.3099382    -0.0454455
      58    16     1.0034008     0.3059461    -0.0453298
      59    16     1.0033815     0.2968995    -0.0450728
      60    16     1.0033916     0.2854722    -0.0452075
      61    16     1.0034198     0.2723480    -0.0455831
      62    16     1.0034268     0.2565661    -0.0456770
      63    16     1.0034209     0.2365104    -0.0455985
      64    16     1.0034005     0.2164520    -0.0453255
      65    16     1.0034146     0.1916072    -0.0455139
      66    16     1.0034243     0.1660492    -0.0456429
      67    16     1.0034129     0.1366104    -0.0454912
      68    16     1.0034305     0.1045672    -0.0457252
      69    16     1.0034268     0.0677213    -0.0456766
      70    16     1.0034226     0.0311309    -0.0456211
      71    16     1.0033691     0.0197132    -0.0449081
      72    16     1.0033960     0.0285270    -0.0452660
      73    16     1.0034230     0.0415510    -0.0456263
      74    16     1.0034272     0.0538935    -0.0456818
      75    16     1.0034256     0.0647406    -0.0456602
      76    16     1.0034365     0.0741773    -0.0458055
      77    16     1.0034279     0.0823505    -0.0456911
      78    16     1.0034241     0.0893654    -0.0456408
      79    16     1.0034248     0.0952968    -0.0456499
      80    16     1.0034348     0.1002137    -0.0457831
      81    16     1.0034288     0.1041926    -0.0457035
      82    16     1.0034262     0.1073198    -0.0456687
      83    16     1.0034232     0.1096916    -0.0456279
      84    16     1.0034383     0.1114112    -0.0458295
      85    16     1.0034351     0.1125944    -0.0457867
      86    16     1.0034252     0.1133723    -0.0456552
      87    16     1.0034235     0.1138795    -0.0456328
      88    16     1.0034260     0.1142305    -0.0456656
      89    16     1.0034280     0.1145081    -0.0456931
      90    16     1.0034299     0.1147777    -0.0457173
       1    17     1.0055920     0.0853043    -0.0745365
       2    17     1.0055928     0.0851461    -0.0745474
       3    17     1.0055935     0.0849815    -0.0745574
       4    17     1.0055944     0.0847729    -0.0745685
       5    17     1.0055946     0.0844722    -0.0745715
       6    17     1.0055926     0.0840119    -0.0745445
       7    17     1.0055946     0.0833114    -0.0745716
       8    17     1.0055996     0.0822889    -0.0746380
       9    17     1.0055949     0.0808656    -0.0745752
      10    17     1.0055925     0.0789632    -0.0745436
      11    17     1.0055994     0.0765006    -0.0746350
      12    17     1.0055957     0.0733909    -0.0745858
      13    17     1.0055940     0.0695412    -0.0745635
      14    17     1.0055947     0.0648519    -0.0745733
      15    17     1.0055911     0.0592134    -0.0745248
      16    17     1.0056041     0.0524965    -0.0746985
      17    17     1.0055877     0.0445793    -0.0744798
      18    17     1.0055899     0.0355059    -0.0745085
      19    17     1.0055897     0.0265375    -0.0745059
      20    17     1.0055486     0.0222471    -0.0739578
      21    17     1.0055229     0.0311580    -0.0736165
      22    17     1.0055658     0.0585213    -0.0741879
      23    17     1.0055800     0.0867433    -0.0743773
      24    17     1.0055808     0.1120165    -0.0743872
      25    17     1.0055828     0.1353084    -0.0744148
      26    17     1.0055868     0.1565730    -0.0744679
      27    17     1.0055892     0.1749989    -0.0744992
      28    17     1.0055889     0.1893905    -0.0744961
      29    17     1.0055854     0.2001472    -0.0744484
      30    17     1.0055913     0.2080563    -0.0745279
      31    17     1.0055966     0.2097092    -0.0745976
      32    17     1.0055943     0.2066800    -0.0745679
      33    17     1.0055908     0.2006812    -0.0745210
      34    17     1.0055890     0.1902759    -0.0744963
      35    17     1.0055902     0.1764773    -0.0745124
      36    17     1.0055960     0.1595987    -0.0745900
      37    17     1.0055868     0.1410076    -0.0744677
      38    17     1.0055928     0.1221746    -0.0745478
      39    17     1.0055861     0.1033666    -0.0744588
      40    17     1.0055778     0.0866101    -0.0743477
      41    17     1.0055815     0.0750759    -0.0743966
      42    17     1.0055793     0.0777539    -0.0743671
      43    17     1.0055842     0.0960306    -0.0744323
      44    17     1.0055828     0.1209593    -0.0744144
      45    17     1.0055728     0.1479109    -0.0742814
      46    17     1.0055828     0.1733895    -0.0744140
      47    17     1.0055710     0.1981442    -0.0742573
      48    17     1.0055826     0.2204748    -0.0744118
      49    17     1.0055798     0.2442327    -0.0743743
      50    17     1.0055576     0.2644163    -0.0740780
      51    17     1.0055676     0.2826487    -0.0742118
      52    17     1.0055844     0.2979197    -0.0744356
      53    17     1.0055402     0.3083698    -0.0738467
      54    17     1.0055461     0.3150899    -0.0739249
      55    17     1.0055542     0.3147815    -0.0740332
      56    17     1.0055590     0.3167609    -0.0740976
      57    17     1.0055561     0.3104388    -0.0740583
      58    17     1.0055538     0.3059501    -0.0740275
      59    17     1.0055363     0.2970544    -0.0737948
      60    17     1.0055624     0.2858805    -0.0741424
      61    17     1.0055766     0.2726714    -0.0743311
      62    17     1.0055820     0.2568165    -0.0744042
      63    17     1.0055643     0.2368907    -0.0741681
      64    17     1.0055538     0.2169280    -0.0740276
      65    17     1.0055766     0.1916259    -0.0743321
      66    17     1.0055721     0.1664098    -0.0742720
      67    17     1.0055734     0.1368399    -0.0742887
      68    17     1.0055790     0.1048081    -0.0743633
      69    17     1.0055842     0.0683414    -0.0744329
      70    17     1.0055788     0.0342463    -0.0743612
      71    17     1.0055272     0.0240000    -0.0736736
      72    17     1.0055412     0.0303066    -0.0738595
      73    17     1.0055741     0.0416748    -0.0742981
      74    17     1.0055884     0.0533011    -0.0744895
      75    17     1.0055871     0.0637157    -0.0744717
      76    17     1.0055907     0.0728574    -0.0745193
      77    17     1.0055849     0.0808325    -0.0744422
      78    17     1.0055820     0.0877150    -0.0744037
      79    17     1.0055827     0.0935558    -0.0744127
      80    17     1.0055869     0.0984083    -0.0744684
      81    17     1.0055878     0.1023404    -0.0744804
      82    17     1.0055831     0.1054331    -0.0744178
      83    17     1.0055812     0.1077799    -0.0743927
      84    17     1.0056019     0.1094816    -0.0746694
      85    17     1.0055906     0.1106527    -0.0745182
      86    17     1.0055825     0.1114234    -0.0744098
      87    17     1.0055837     0.1119262    -0.0744259
      88    17     1.0055846     0.1122744    -0.0744382
      89    17     1.0055854     0.1125498    -0.0744488
      90    17     1.0055860     0.1128169    -0.0744572
       1    18     1.0081372     0.0840986    -0.1084628
       2    18     1.0081368     0.0839405    -0.1084568
       3    18     1.0081363     0.0837757    -0.1084504
       4    18     1.0081358     0.0835669    -0.1084432
       5    18     1.0081340     0.0832663    -0.1084201
       6    18     1.0081290     0.0828062    -0.1083528
       7    18     1.0081286     0.0821067    -0.1083481
       8    18     1.0081322     0.0810858    -0.1083962
       9    18     1.0081379     0.0796658    -0.1084718
      10    18     1.0081284     0.0777690    -0.1083455
      11    18     1.0081374     0.0753159    -0.1084657
      12    18     1.0081292     0.0722230    -0.1083555
      13    18     1.0081323     0.0684039    -0.1083972
      14    18     1.0081346     0.0637705    -0.1084278
      15    18     1.0081262     0.0582359    -0.1083155
      16    18     1.0081427     0.0517149    -0.1085353
      17    18     1.0081239     0.0441829    -0.1082856
      18    18     1.0081238     0.0360061    -0.1082834
      19    18     1.0081269     0.0289739    -0.1083249
      20    18     1.0080907     0.0263035    -0.1078431
      21    18     1.0080676     0.0342098    -0.1075351
      22    18     1.0080944     0.0590430    -0.1078914
      23    18     1.0081137     0.0865910    -0.1081486
      24    18     1.0081149     0.1118270    -0.1081651
      25    18     1.0081198     0.1350546    -0.1082299
      26    18     1.0081195     0.1562622    -0.1082272
      27    18     1.0081219     0.1746769    -0.1082587
      28    18     1.0081266     0.1891201    -0.1083211
      29    18     1.0081218     0.1996854    -0.1082576
      30    18     1.0081266     0.2076860    -0.1083208
      31    18     1.0081336     0.2091537    -0.1084151
      32    18     1.0081230     0.2063821    -0.1082728
      33    18     1.0081246     0.2003893    -0.1082942
      34    18     1.0081183     0.1899684    -0.1082105
      35    18     1.0081234     0.1760364    -0.1082791
      36    18     1.0081254     0.1589454    -0.1083051
      37    18     1.0081211     0.1405442    -0.1082476
      38    18     1.0081265     0.1216525    -0.1083200
      39    18     1.0081190     0.1027157    -0.1082203
      40    18     1.0081140     0.0856790    -0.1081529
      41    18     1.0081230     0.0737364    -0.1082738
      42    18     1.0081116     0.0766023    -0.1081206
      43    18     1.0081211     0.0951484    -0.1082477
      44    18     1.0081163     0.1205228    -0.1081842
      45    18     1.0081120     0.1479062    -0.1081271
      46    18     1.0081154     0.1733809    -0.1081713
      47    18     1.0081046     0.1979797    -0.1080285
      48    18     1.0081191     0.2202374    -0.1082218
      49    18     1.0081083     0.2442376    -0.1080768
      50    18     1.0080991     0.2643747    -0.1079547
      51    18     1.0081057     0.2828242    -0.1080429
      52    18     1.0081188     0.2982674    -0.1082168
      53    18     1.0080836     0.3085060    -0.1077478
      54    18     1.0080785     0.3151229    -0.1076803
      55    18     1.0080888     0.3153655    -0.1078171
      56    18     1.0080880     0.3170341    -0.1078069
      57    18     1.0080876     0.3109852    -0.1078011
      58    18     1.0080913     0.3058926    -0.1078505
      59    18     1.0080785     0.2971803    -0.1076806
      60    18     1.0081037     0.2863088    -0.1080163
      61    18     1.0081148     0.2729971    -0.1081642
      62    18     1.0081146     0.2570534    -0.1081609
      63    18     1.0080904     0.2372879    -0.1078385
      64    18     1.0080926     0.2174178    -0.1078686
      65    18     1.0081116     0.1916009    -0.1081215
      66    18     1.0081076     0.1667514    -0.1080678
      67    18     1.0081178     0.1370372    -0.1082032
      68    18     1.0081139     0.1050106    -0.1081513
      69    18     1.0081243     0.0690437    -0.1082904
      70    18     1.0081132     0.0375938    -0.1081429
      71    18     1.0080591     0.0284142    -0.1074218
      72    18     1.0080722     0.0325855    -0.1075960
      73    18     1.0081110     0.0419773    -0.1081135
      74    18     1.0081269     0.0525804    -0.1083254
      75    18     1.0081301     0.0624199    -0.1083680
      76    18     1.0081292     0.0712025    -0.1083558
      77    18     1.0081298     0.0789480    -0.1083638
      78    18     1.0081268     0.0856797    -0.1083241
      79    18     1.0081235     0.0914181    -0.1082803
      80    18     1.0081244     0.0961987    -0.1082918
      81    18     1.0081322     0.1000780    -0.1083958
      82    18     1.0081219     0.1031321    -0.1082589
      83    18     1.0081222     0.1054511    -0.1082619
      84    18     1.0081434     0.1071330    -0.1085447
      85    18     1.0081291     0.1082906    -0.1083546
      86    18     1.0081218     0.1090530    -0.1082574
      87    18     1.0081232     0.1095508    -0.1082756
      88    18     1.0081240     0.1098958    -0.1082862
      89    18     1.0081247     0.1101687    -0.1082959
      90    18     1.0081251     0.1104331    -0.1083011
       1    19     1.0110140     0.0827089    -0.1468084
       2    19     1.0110140     0.0825508    -0.1468082
       3    19     1.0110139     0.0823859    -0.1468071
       4    19     1.0110138     0.0821770    -0.1468051
       5    19     1.0110135     0.0818763    -0.1468008
       6    19     1.0110124     0.0814168    -0.1467866
       7    19     1.0110076     0.0807187    -0.1467231
       8    19     1.0110000     0.0797004    -0.1466211
       9    19     1.0110139     0.0782844    -0.1468066
      10    19     1.0110122     0.0763948    -0.1467833
      11    19     1.0110131     0.0739542    -0.1467960
      12    19     1.0110045     0.0708834    -0.1466812
      13    19     1.0110146     0.0671039    -0.1468164
      14    19     1.0110156     0.0625427    -0.1468292
      15    19     1.0110091     0.0571449    -0.1467420
      16    19     1.0110217     0.0508894    -0.1469106
      17    19     1.0110111     0.0438922    -0.1467699
      18    19     1.0110055     0.0368422    -0.1466943
      19    19     1.0109853     0.0316312    -0.1464260
      20    19     1.0109636     0.0302791    -0.1461357
      21    19     1.0109534     0.0373650    -0.1460000
      22    19     1.0109649     0.0598139    -0.1461535
      23    19     1.0109866     0.0865261    -0.1464423
      24    19     1.0109874     0.1116519    -0.1464540
      25    19     1.0109923     0.1347832    -0.1465193
      26    19     1.0109931     0.1558942    -0.1465295
      27    19     1.0109954     0.1743008    -0.1465605
      28    19     1.0110010     0.1888016    -0.1466342
      29    19     1.0110000     0.1991749    -0.1466211
      30    19     1.0109965     0.2072473    -0.1465751
      31    19     1.0110021     0.2085394    -0.1466487
      32    19     1.0109930     0.2060391    -0.1465275
      33    19     1.0109920     0.2000429    -0.1465141
      34    19     1.0109922     0.1896072    -0.1465172
      35    19     1.0109913     0.1755565    -0.1465059
      36    19     1.0109940     0.1582609    -0.1465414
      37    19     1.0109973     0.1400404    -0.1465853
      38    19     1.0109967     0.1210671    -0.1465776
      39    19     1.0109920     0.1019894    -0.1465147
      40    19     1.0109918     0.0846429    -0.1465117
      41    19     1.0109949     0.0722588    -0.1465533
      42    19     1.0109929     0.0751993    -0.1465263
      43    19     1.0109998     0.0940782    -0.1466187
      44    19     1.0109932     0.1199745    -0.1465303
      45    19     1.0109970     0.1478155    -0.1465807
      46    19     1.0109886     0.1733066    -0.1464695
      47    19     1.0109791     0.1977373    -0.1463422
      48    19     1.0109934     0.2199267    -0.1465335
      49    19     1.0109719     0.2441712    -0.1462466
      50    19     1.0109820     0.2642846    -0.1463820
      51    19     1.0109724     0.2829622    -0.1462537
      52    19     1.0109897     0.2985950    -0.1464844
      53    19     1.0109469     0.3085939    -0.1459133
      54    19     1.0109537     0.3150933    -0.1460043
      55    19     1.0109642     0.3159736    -0.1461443
      56    19     1.0109606     0.3172756    -0.1460956
      57    19     1.0109618     0.3115450    -0.1461120
      58    19     1.0109706     0.3057507    -0.1462301
      59    19     1.0109630     0.2972568    -0.1461284
      60    19     1.0109628     0.2867238    -0.1461249
      61    19     1.0109918     0.2732942    -0.1465115
      62    19     1.0109856     0.2572487    -0.1464296
      63    19     1.0109641     0.2376724    -0.1461432
      64    19     1.0109743     0.2178798    -0.1462782
      65    19     1.0109807     0.1915275    -0.1463644
      66    19     1.0109916     0.1670391    -0.1465100
      67    19     1.0109878     0.1371814    -0.1464583
      68    19     1.0109919     0.1051839    -0.1465129
      69    19     1.0109888     0.0699265    -0.1464727
      70    19     1.0109787     0.0411953    -0.1463370
      71    19     1.0109287     0.0328584    -0.1456706
      72    19     1.0109478     0.0352749    -0.1459261
      73    19     1.0109889     0.0425458    -0.1464733
      74    19     1.0110032     0.0518123    -0.1466645
      75    19     1.0110096     0.0609037    -0.1467498
      76    19     1.0110150     0.0692422    -0.1468208
      77    19     1.0110166     0.0767122    -0.1468428
      78    19     1.0110167     0.0832668    -0.1468443
      79    19     1.0110051     0.0888853    -0.1466894
      80    19     1.0110025     0.0935831    -0.1466548
      81    19     1.0110198     0.0974021    -0.1468847
      82    19     1.0110015     0.1004115    -0.1466417
      83    19     1.0110035     0.1026986    -0.1466685
      84    19     1.0110196     0.1043581    -0.1468820
      85    19     1.0110087     0.1055007    -0.1467369
      86    19     1.0110009     0.1062536    -0.1466328
      87    19     1.0110000     0.1067457    -0.1466211
      88    19     1.0110025     0.1070870    -0.1466542
      89    19     1.0110042     0.1073571    -0.1466777
      90    19     1.0110058     0.1076184    -0.1466993
       1    20     1.0141863     0.0811415    -0.1890920
       2    20     1.0141866     0.0809836    -0.1890966
       3    20     1.0141868     0.0808188    -0.1890982
       4    20     1.0141869     0.0806101    -0.1890997
       5    20     1.0141869     0.0803098    -0.1890995
       6    20     1.0141859     0.0798514    -0.1890869
       7    20     1.0141812     0.0791553    -0.1890244
       8    20     1.0141717     0.0781410    -0.1888981
       9    20     1.0141861     0.0767317    -0.1890902
      10    20     1.0141851     0.0748530    -0.1890762
      11    20     1.0141875     0.0724308    -0.1891076
      12    20     1.0141746     0.0693913    -0.1889365
      13    20     1.0141830     0.0656669    -0.1890484
      14    20     1.0141829     0.0612060    -0.1890473
      15    20     1.0141885     0.0559953    -0.1891216
      16    20     1.0141933     0.0501003    -0.1891851
      17    20     1.0141912     0.0438156    -0.1891577
      18    20     1.0141770     0.0380604    -0.1889677
      19    20     1.0141484     0.0344867    -0.1885876
      20    20     1.0141285     0.0341840    -0.1883213
      21    20     1.0141199     0.0405534    -0.1882073
      22    20     1.0141351     0.0608305    -0.1884099
      23    20     1.0141523     0.0866023    -0.1886389
      24    20     1.0141559     0.1114987    -0.1886864
      25    20     1.0141587     0.1345121    -0.1887250
      26    20     1.0141614     0.1554967    -0.1887603
      27    20     1.0141641     0.1738818    -0.1887957
      28    20     1.0141654     0.1884352    -0.1888133
      29    20     1.0141679     0.1986356    -0.1888474
      30    20     1.0141634     0.2067550    -0.1887873
      31    20     1.0141633     0.2078852    -0.1887852
      32    20     1.0141656     0.2056534    -0.1888160
      33    20     1.0141603     0.1996363    -0.1887461
      34    20     1.0141665     0.1891882    -0.1888282
      35    20     1.0141606     0.1750486    -0.1887498
      36    20     1.0141654     0.1575462    -0.1888132
      37    20     1.0141620     0.1395140    -0.1887681
      38    20     1.0141651     0.1204297    -0.1888102
      39    20     1.0141599     0.1012075    -0.1887401
      40    20     1.0141618     0.0835250    -0.1887654
      41    20     1.0141620     0.0707026    -0.1887680
      42    20     1.0141601     0.0735660    -0.1887427
      43    20     1.0141655     0.0928211    -0.1888149
      44    20     1.0141653     0.1193578    -0.1888123
      45    20     1.0141607     0.1476120    -0.1887506
      46    20     1.0141574     0.1731287    -0.1887067
      47    20     1.0141506     0.1974187    -0.1886158
      48    20     1.0141637     0.2195441    -0.1887904
      49    20     1.0141324     0.2440091    -0.1883737
      50    20     1.0141524     0.2641271    -0.1886397
      51    20     1.0141300     0.2830474    -0.1883422
      52    20     1.0141591     0.2988792    -0.1887290
      53    20     1.0140989     0.3086198    -0.1879271
      54    20     1.0141296     0.3149684    -0.1883359
      55    20     1.0141394     0.3165739    -0.1884665
      56    20     1.0141323     0.3174618    -0.1883730
      57    20     1.0141351     0.3120843    -0.1884094
      58    20     1.0141420     0.3055183    -0.1885012
      59    20     1.0141452     0.2972711    -0.1885442
      60    20     1.0141133     0.2870965    -0.1881188
      61    20     1.0141600     0.2735280    -0.1887414
      62    20     1.0141559     0.2573767    -0.1886875
      63    20     1.0141430     0.2380163    -0.1885150
      64    20     1.0141475     0.2182753    -0.1885751
      65    20     1.0141457     0.1914177    -0.1885515
      66    20     1.0141643     0.1672421    -0.1887988
      67    20     1.0141471     0.1372653    -0.1885703
      68    20     1.0141602     0.1053880    -0.1887441
      69    20     1.0141578     0.0710877    -0.1887129
      70    20     1.0141408     0.0449945    -0.1884861
      71    20     1.0141003     0.0373099    -0.1879459
      72    20     1.0141260     0.0382949    -0.1882887
      73    20     1.0141544     0.0434671    -0.1886664
      74    20     1.0141795     0.0511223    -0.1890018
      75    20     1.0141936     0.0592506    -0.1891897
      76    20     1.0141925     0.0670225    -0.1891752
      77    20     1.0141915     0.0741502    -0.1891618
      78    20     1.0141968     0.0804886    -0.1892315
      79    20     1.0141934     0.0859630    -0.1891873
      80    20     1.0141813     0.0905606    -0.1890249
      81    20     1.0141994     0.0943081    -0.1892675
      82    20     1.0141771     0.0972655    -0.1889693
      83    20     1.0141811     0.0995154    -0.1890234
      84    20     1.0141973     0.1011485    -0.1892386
      85    20     1.0141824     0.1022736    -0.1890400
      86    20     1.0141790     0.1030156    -0.1889954
      87    20     1.0141766     0.1035008    -0.1889625
      88    20     1.0141779     0.1038376    -0.1889796
      89    20     1.0141787     0.1041041    -0.1889911
      90    20     1.0141795     0.1043618    -0.1890012
       1    21     1.0176136     0.0794040    -0.2347748
       2    21     1.0176136     0.0792467    -0.2347751
       3    21     1.0176134     0.0790823    -0.2347726
       4    21     1.0176130     0.0788743    -0.2347677
       5    21     1.0176123     0.0785750    -0.2347577
       6    21     1.0176095     0.0781186    -0.2347206
       7    21     1.0176019     0.0774265    -0.2346199
       8    21     1.0176043     0.0764189    -0.2346508
       9    21     1.0176141     0.0750203    -0.2347827
      10    21     1.0176073     0.0731589    -0.2346919
      11    21     1.0176159     0.0707647    -0.2348066
      12    21     1.0176091     0.0677716    -0.2347160
      13    21     1.0176080     0.0641272    -0.2347011
      14    21     1.0176126     0.0598083    -0.2347622
      15    21     1.0176231     0.0548561    -0.2349018
      16    21     1.0176183     0.0494457    -0.2348376
      17    21     1.0176166     0.0440554    -0.2348151
      18    21     1.0176009     0.0396790    -0.2346065
      19    21     1.0175736     0.0375225    -0.2342423
      20    21     1.0175551     0.0380217    -0.2339954
      21    21     1.0175425     0.0437671    -0.2338282
      22    21     1.0175562     0.0620443    -0.2340102
      23    21     1.0175710     0.0868430    -0.2342070
      24    21     1.0175779     0.1113891    -0.2342997
      25    21     1.0175803     0.1342443    -0.2343320
      26    21     1.0175812     0.1551012    -0.2343433
      27    21     1.0175841     0.1734085    -0.2343820
      28    21     1.0175858     0.1880206    -0.2344047
      29    21     1.0175854     0.1980892    -0.2343997
      30    21     1.0175886     0.2062038    -0.2344427
      31    21     1.0175876     0.2072160    -0.2344286
      32    21     1.0175893     0.2052297    -0.2344517
      33    21     1.0175883     0.1991711    -0.2344376
      34    21     1.0175869     0.1887159    -0.2344198
      35    21     1.0175870     0.1745254    -0.2344202
      36    21     1.0175857     0.1568344    -0.2344042
      37    21     1.0175834     0.1389648    -0.2343722
      38    21     1.0175842     0.1197520    -0.2343839
      39    21     1.0175827     0.1003832    -0.2343640
      40    21     1.0175794     0.0823503    -0.2343199
      41    21     1.0175845     0.0690893    -0.2343880
      42    21     1.0175848     0.0717428    -0.2343913
      43    21     1.0175908     0.0915126    -0.2344714
      44    21     1.0175908     0.1186723    -0.2344721
      45    21     1.0175763     0.1472599    -0.2342776
      46    21     1.0175766     0.1728449    -0.2342824
      47    21     1.0175824     0.1970233    -0.2343600
      48    21     1.0175812     0.2191127    -0.2343431
      49    21     1.0175625     0.2437486    -0.2340942
      50    21     1.0175706     0.2638795    -0.2342019
      51    21     1.0175473     0.2830723    -0.2338917
      52    21     1.0175832     0.2991012    -0.2343703
      53    21     1.0175156     0.3085782    -0.2334692
      54    21     1.0175621     0.3147471    -0.2340890
      55    21     1.0175638     0.3171333    -0.2341122
      56    21     1.0175599     0.3175734    -0.2340602
      57    21     1.0175614     0.3125685    -0.2340802
      58    21     1.0175584     0.3052031    -0.2340392
      59    21     1.0175682     0.2972184    -0.2341707
      60    21     1.0175278     0.2874038    -0.2336318
      61    21     1.0175805     0.2736746    -0.2343341
      62    21     1.0175811     0.2574055    -0.2343426
      63    21     1.0175745     0.2382963    -0.2342549
      64    21     1.0175624     0.2185740    -0.2340928
      65    21     1.0175640     0.1912974    -0.2341145
      66    21     1.0175790     0.1673386    -0.2343142
      67    21     1.0175710     0.1373102    -0.2342070
      68    21     1.0175761     0.1057014    -0.2342758
      69    21     1.0175766     0.0725945    -0.2342822
      70    21     1.0175629     0.0489291    -0.2340995
      71    21     1.0175402     0.0417840    -0.2337967
      72    21     1.0175594     0.0416102    -0.2340528
      73    21     1.0175755     0.0448365    -0.2342679
      74    21     1.0176106     0.0506679    -0.2347360
      75    21     1.0176357     0.0575777    -0.2350705
      76    21     1.0176296     0.0646064    -0.2349889
      77    21     1.0176321     0.0712816    -0.2350224
      78    21     1.0176273     0.0773371    -0.2349577
      79    21     1.0176343     0.0826272    -0.2350515
      80    21     1.0176196     0.0870974    -0.2348558
      81    21     1.0176262     0.0907557    -0.2349435
      82    21     1.0176113     0.0936502    -0.2347448
      83    21     1.0176174     0.0958550    -0.2348263
      84    21     1.0176319     0.0974563    -0.2350193
      85    21     1.0176147     0.0985602    -0.2347904
      86    21     1.0176132     0.0992891    -0.2347704
      87    21     1.0176109     0.0997658    -0.2347399
      88    21     1.0176091     0.1000969    -0.2347156
      89    21     1.0176082     0.1003591    -0.2347031
      90    21     1.0176098     0.1006125    -0.2347248
       1    22     1.0212475     0.0775079    -0.2832124
       2    22     1.0212460     0.0773517    -0.2831925
       3    22     1.0212443     0.0771882    -0.2831700
       4    22     1.0212422     0.0769814    -0.2831419
       5    22     1.0212409     0.0766844    -0.2831249
       6    22     1.0212426     0.0762320    -0.2831475
       7    22     1.0212413     0.0755466    -0.2831304
       8    22     1.0212497     0.0745499    -0.2832414
       9    22     1.0212510     0.0731683    -0.2832584
      10    22     1.0212469     0.0713335    -0.2832039
      11    22     1.0212488     0.0689825    -0.2832293
      12    22     1.0212562     0.0660597    -0.2833281
      13    22     1.0212536     0.0625316    -0.2832938
      14    22     1.0212579     0.0584129    -0.2833517
      15    22     1.0212602     0.0538163    -0.2833818
      16    22     1.0212525     0.0490374    -0.2832786
      17    22     1.0212479     0.0446922    -0.2832175
      18    22     1.0212378     0.0416729    -0.2830826
      19    22     1.0212064     0.0406871    -0.2826650
      20    22     1.0211909     0.0418022    -0.2824581
      21    22     1.0211836     0.0470025    -0.2823601
      22    22     1.0211824     0.0634016    -0.2823442
      23    22     1.0212012     0.0872474    -0.2825954
      24    22     1.0212108     0.1113314    -0.2827232
      25    22     1.0212121     0.1339956    -0.2827412
      26    22     1.0212131     0.1547058    -0.2827540
      27    22     1.0212162     0.1729109    -0.2827950
      28    22     1.0212195     0.1875709    -0.2828394
      29    22     1.0212199     0.1975478    -0.2828448
      30    22     1.0212214     0.2055926    -0.2828650
      31    22     1.0212248     0.2065594    -0.2829101
      32    22     1.0212152     0.2047715    -0.2827819
      33    22     1.0212199     0.1986612    -0.2828447
      34    22     1.0212169     0.1882043    -0.2828041
      35    22     1.0212148     0.1740065    -0.2827760
      36    22     1.0212152     0.1561601    -0.2827813
      37    22     1.0212176     0.1384022    -0.2828133
      38    22     1.0212151     0.1190454    -0.2827808
      39    22     1.0212140     0.0995258    -0.2827657
      40    22     1.0212116     0.0811313    -0.2827337
      41    22     1.0212200     0.0673836    -0.2828464
      42    22     1.0212206     0.0698029    -0.2828534
      43    22     1.0212294     0.0902072    -0.2829708
      44    22     1.0212295     0.1179630    -0.2829725
      45    22     1.0212128     0.1467968    -0.2827499
      46    22     1.0212158     0.1724876    -0.2827899
      47    22     1.0212158     0.1965732    -0.2827897
      48    22     1.0212085     0.2186570    -0.2826932
      49    22     1.0212124     0.2434024    -0.2827444
      50    22     1.0212010     0.2635544    -0.2825930
      51    22     1.0211853     0.2830160    -0.2823839
      52    22     1.0212179     0.2992458    -0.2828179
      53    22     1.0211538     0.3084735    -0.2819638
      54    22     1.0211913     0.3144417    -0.2824636
      55    22     1.0211921     0.3176198    -0.2824735
      56    22     1.0211958     0.3175964    -0.2825231
      57    22     1.0211974     0.3129674    -0.2825440
      58    22     1.0211866     0.3048245    -0.2824007
      59    22     1.0211993     0.2971051    -0.2825694
