3341	0.18	13.8	0.072	0.18 29.2 0.0979  0.17  44.6 	0.124    0.16 59.5 0.467  0.16	74.3	0.809
3674	0.18	13.6	0.453	0.18 28.9 0.5855  0.18	44.2	0.718	 0.17 59.3 2.663	0.15	74.5	4.608
4098	0.23	11.9	0.503	0.20 28.2 0.9565  0.17	44.5	1.410	 0.16 59.0 3.675	0.15	74.5	5.941
4358	0.23	12.3	0.510	0.22 27.3 0.8205  0.22	42.3	1.131	 0.21 57.4 2.895	0.20	72.5	4.660
4916	0.22	11.6	0.893	0.19 27.8 1.1415  0.17	43.9	1.390	 0.16 58.8 4.539	0.15	73.7	7.689
5456	0.22	11.7	1.246	0.19 27.8 1.6349  0.16	43.9	2.024	 0.15 58.8 6.252	0.14	73.7	10.480
5770	0.22	11.7	1.322	0.21 26.7 1.2649  0.20	41.7	1.208	 0.17 57.8 5.316	0.14	73.8	9.424
6908	0.21	11.3	1.781	0.19 27.5 1.9995  0.16	43.7	2.218	 0.14 58.8 6.434	0.13	73.8	10.650
7729	0.21	11.4	2.048	0.19 27.4 2.3405  0.16	43.4	2.633    0.15 58.5 6.691	0.14	73.6	10.750
