# ITER#1515 (F57 ref-20-NF-C0, tau=0.36e-6, ntime=150)  - 82.6 ms
# electron temperature (eV)
   ix   iy      x           y           z01
    2    2  4.1868E+03 -3.8737E+03  1.558839E-01
    3    2  4.1888E+03 -3.8729E+03  1.702724E-01
    4    2  4.1914E+03 -3.8719E+03  2.166793E-01
    5    2  4.1950E+03 -3.8705E+03  2.307381E-01
    6    2  4.2004E+03 -3.8683E+03  2.953745E-01
    7    2  4.2086E+03 -3.8650E+03  4.156231E-01
    8    2  4.2205E+03 -3.8603E+03  5.528262E-01
    9    2  4.2371E+03 -3.8538E+03  6.943952E-01
   10    2  4.2593E+03 -3.8451E+03  7.436639E-01
   11    2  4.2881E+03 -3.8339E+03  8.067622E-01
   12    2  4.3249E+03 -3.8199E+03  8.201811E-01
   13    2  4.3713E+03 -3.8027E+03  8.206739E-01
   14    2  4.4294E+03 -3.7818E+03  8.045027E-01
   15    2  4.5014E+03 -3.7573E+03  8.195302E-01
   16    2  4.5880E+03 -3.7302E+03  7.907993E-01
   17    2  4.6877E+03 -3.7037E+03  8.760163E-01
   18    2  4.7961E+03 -3.6836E+03  8.770308E-01
   19    2  4.9013E+03 -3.6785E+03  8.794350E-01
   20    2  4.9818E+03 -3.6895E+03  8.748975E-01
   21    2  5.4113E+03 -2.6783E+03  2.025719E+03
   22    2  5.3141E+03 -2.6035E+03  2.025720E+03
   23    2  5.1453E+03 -2.4055E+03  2.025721E+03
   24    2  4.9856E+03 -2.1177E+03  2.025723E+03
   25    2  4.8477E+03 -1.7931E+03  2.025725E+03
   26    2  4.7279E+03 -1.4566E+03  2.025726E+03
   27    2  4.6244E+03 -1.1141E+03  2.025727E+03
   28    2  4.5365E+03 -7.6712E+02  2.025727E+03
   29    2  4.4641E+03 -4.1644E+02  2.025728E+03
   30    2  4.4064E+03 -6.3096E+01  2.025728E+03
   31    2  4.3652E+03  2.9222E+02  2.025728E+03
   32    2  4.3417E+03  6.4937E+02  2.025728E+03
   33    2  4.3337E+03  1.0072E+03  2.025728E+03
   34    2  4.3416E+03  1.3644E+03  2.025727E+03
   35    2  4.3675E+03  1.7192E+03  2.025727E+03
   36    2  4.4152E+03  2.0694E+03  2.025726E+03
   37    2  4.4876E+03  2.4118E+03  2.025725E+03
   38    2  4.5875E+03  2.7401E+03  2.025724E+03
   39    2  4.7198E+03  3.0422E+03  2.025722E+03
   40    2  4.8855E+03  3.2988E+03  2.025720E+03
   41    2  5.0789E+03  3.4912E+03  2.025718E+03
   42    2  5.2971E+03  3.6143E+03  2.025717E+03
   43    2  5.5501E+03  3.6704E+03  2.025715E+03
   44    2  5.8394E+03  3.6545E+03  2.025714E+03
   45    2  6.1456E+03  3.5681E+03  2.025713E+03
   46    2  6.4480E+03  3.4241E+03  2.025713E+03
   47    2  6.7347E+03  3.2349E+03  2.025712E+03
   48    2  7.0016E+03  3.0104E+03  2.025712E+03
   49    2  7.2462E+03  2.7585E+03  2.025712E+03
   50    2  7.4639E+03  2.4825E+03  2.025712E+03
   51    2  7.6523E+03  2.1844E+03  2.025712E+03
   52    2  7.8110E+03  1.8685E+03  2.025712E+03
   53    2  7.9375E+03  1.5384E+03  2.025712E+03
   54    2  8.0294E+03  1.1968E+03  2.025712E+03
   55    2  8.0870E+03  8.4756E+02  2.025712E+03
   56    2  8.1079E+03  4.9508E+02  2.025712E+03
   57    2  8.0884E+03  1.4286E+02  2.025712E+03
   58    2  8.0306E+03 -2.0553E+02  2.025712E+03
   59    2  7.9361E+03 -5.4503E+02  2.025712E+03
   60    2  7.8038E+03 -8.7092E+02  2.025712E+03
   61    2  7.6358E+03 -1.1800E+03  2.025712E+03
   62    2  7.4355E+03 -1.4700E+03  2.025713E+03
   63    2  7.2082E+03 -1.7395E+03  2.025713E+03
   64    2  6.9574E+03 -1.9858E+03  2.025713E+03
   65    2  6.6846E+03 -2.2077E+03  2.025714E+03
   66    2  6.3937E+03 -2.4047E+03  2.025714E+03
   67    2  6.0901E+03 -2.5695E+03  2.025715E+03
   68    2  5.7913E+03 -2.6785E+03  2.025716E+03
   69    2  5.5486E+03 -2.7044E+03  2.025718E+03
   70    2  5.4379E+03 -2.6895E+03  2.025718E+03
   71    2  5.0436E+03 -3.7142E+03  8.721620E-01
   72    2  5.1166E+03 -3.7678E+03  8.790244E-01
   73    2  5.1977E+03 -3.8547E+03  8.936943E-01
   74    2  5.2696E+03 -3.9551E+03  8.407809E-01
   75    2  5.3305E+03 -4.0538E+03  7.886185E-01
   76    2  5.3816E+03 -4.1440E+03  9.220354E-01
   77    2  5.4232E+03 -4.2214E+03  8.811029E-01
   78    2  5.4560E+03 -4.2846E+03  8.464326E-01
   79    2  5.4814E+03 -4.3349E+03  8.578714E-01
   80    2  5.5010E+03 -4.3744E+03  9.609051E-01
   81    2  5.5161E+03 -4.4052E+03  8.975505E-01
   82    2  5.5275E+03 -4.4288E+03  6.256499E-01
   83    2  5.5360E+03 -4.4464E+03  5.300065E-01
   84    2  5.5420E+03 -4.4590E+03  3.312155E-01
   85    2  5.5461E+03 -4.4677E+03  2.581848E-01
   86    2  5.5488E+03 -4.4734E+03  2.311084E-01
   87    2  5.5506E+03 -4.4771E+03  2.056576E-01
   88    2  5.5519E+03 -4.4798E+03  2.063687E-01
   89    2  5.5529E+03 -4.4818E+03  2.007618E-01
   90    2  5.5538E+03 -4.4838E+03  1.702380E-01
    1    3  4.1893E+03 -3.8655E+03  1.800138E-01
    2    3  4.1912E+03 -3.8647E+03  2.506034E-01
    3    3  4.1932E+03 -3.8639E+03  2.478783E-01
    4    3  4.1957E+03 -3.8629E+03  2.406048E-01
    5    3  4.1993E+03 -3.8614E+03  3.196423E-01
    6    3  4.2048E+03 -3.8592E+03  3.498705E-01
    7    3  4.2130E+03 -3.8559E+03  4.844235E-01
