# ITER#2308 (F57-20MW-H, tau=0.33e-6, ntime=150)  - 61.3 ms
# parallel velocity (up) (m.s-1)
   ix   iy      x           y           z01
   14    2  4.4294E+00 -3.7818E+00 -2.415826E+03
   15    2  4.5014E+00 -3.7573E+00 -2.367459E+03
   16    2  4.5880E+00 -3.7302E+00 -3.106733E+03
   17    2  4.6877E+00 -3.7037E+00 -4.000743E+03
   18    2  4.7961E+00 -3.6836E+00 -2.073431E+03
   19    2  4.9013E+00 -3.6785E+00 -8.698023E+02
   20    2  4.9818E+00 -3.6895E+00 -9.832180E+02
   21    2  5.4113E+00 -2.6783E+00 -1.176982E+01
   22    2  5.3141E+00 -2.6035E+00 -1.171859E+01
   23    2  5.1453E+00 -2.4055E+00 -1.284456E+01
   24    2  4.9856E+00 -2.1177E+00 -1.475695E+01
   25    2  4.8477E+00 -1.7931E+00 -1.696265E+01
   26    2  4.7279E+00 -1.4566E+00 -1.960697E+01
   27    2  4.6244E+00 -1.1141E+00 -2.273317E+01
   28    2  4.5365E+00 -7.6712E-01 -2.610737E+01
   29    2  4.4641E+00 -4.1644E-01 -2.963083E+01
   30    2  4.4064E+00 -6.3096E-02 -3.301529E+01
   31    2  4.3652E+00  2.9222E-01 -3.648276E+01
   32    2  4.3417E+00  6.4937E-01 -3.992835E+01
   33    2  4.3337E+00  1.0072E+00 -4.295379E+01
   34    2  4.3416E+00  1.3644E+00 -4.587826E+01
   35    2  4.3675E+00  1.7192E+00 -4.818401E+01
   36    2  4.4152E+00  2.0694E+00 -4.989101E+01
   37    2  4.4876E+00  2.4118E+00 -5.074940E+01
   38    2  4.5875E+00  2.7401E+00 -5.051434E+01
   39    2  4.7198E+00  3.0422E+00 -4.946045E+01
   40    2  4.8855E+00  3.2988E+00 -4.769367E+01
   41    2  5.0789E+00  3.4912E+00 -4.586892E+01
   42    2  5.2971E+00  3.6143E+00 -4.391990E+01
   43    2  5.5501E+00  3.6704E+00 -4.173941E+01
   44    2  5.8394E+00  3.6545E+00 -3.739034E+01
   45    2  6.1456E+00  3.5681E+00 -2.888709E+01
   46    2  6.4480E+00  3.4241E+00 -1.976473E+01
   47    2  6.7347E+00  3.2349E+00 -1.425050E+01
   48    2  7.0016E+00  3.0104E+00 -1.182038E+01
   49    2  7.2462E+00  2.7585E+00 -1.019454E+01
   50    2  7.4639E+00  2.4825E+00 -8.941915E+00
   51    2  7.6523E+00  2.1844E+00 -8.413289E+00
   52    2  7.8110E+00  1.8685E+00 -8.052880E+00
   53    2  7.9375E+00  1.5384E+00 -7.480584E+00
   54    2  8.0294E+00  1.1968E+00 -6.983028E+00
   55    2  8.0870E+00  8.4756E-01 -6.537312E+00
   56    2  8.1079E+00  4.9508E-01 -6.099450E+00
   57    2  8.0884E+00  1.4286E-01 -5.826072E+00
   58    2  8.0306E+00 -2.0553E-01 -5.607495E+00
   59    2  7.9361E+00 -5.4503E-01 -5.500979E+00
   60    2  7.8038E+00 -8.7092E-01 -5.626167E+00
   61    2  7.6358E+00 -1.1800E+00 -5.927483E+00
   62    2  7.4355E+00 -1.4700E+00 -6.463667E+00
   63    2  7.2082E+00 -1.7395E+00 -7.180898E+00
   64    2  6.9574E+00 -1.9858E+00 -8.088065E+00
   65    2  6.6846E+00 -2.2077E+00 -9.215198E+00
   66    2  6.3937E+00 -2.4047E+00 -1.035918E+01
   67    2  6.0901E+00 -2.5695E+00 -1.130329E+01
   68    2  5.7913E+00 -2.6785E+00 -1.157470E+01
   69    2  5.5486E+00 -2.7044E+00 -1.146007E+01
   70    2  5.4379E+00 -2.6895E+00 -1.175439E+01
   71    2  5.0436E+00 -3.7142E+00  6.404213E+02
   72    2  5.1166E+00 -3.7678E+00  1.621784E+03
   73    2  5.1977E+00 -3.8547E+00  2.768942E+03
   74    2  5.2696E+00 -3.9551E+00  4.050286E+03
   75    2  5.3305E+00 -4.0538E+00  4.531180E+03
   76    2  5.3816E+00 -4.1440E+00  3.711100E+03
   77    2  5.4232E+00 -4.2214E+00  4.704620E+03
   78    2  5.4560E+00 -4.2846E+00  5.181442E+03
   79    2  5.4814E+00 -4.3349E+00  4.651453E+03
   80    2  5.5010E+00 -4.3744E+00  4.901359E+03
   81    2  5.5161E+00 -4.4052E+00  2.262506E+03
   82    2  5.5275E+00 -4.4288E+00  6.520679E+01
   83    2  5.5360E+00 -4.4464E+00  6.419793E+01
   84    2  5.5420E+00 -4.4590E+00 -1.496210E+02
   85    2  5.5461E+00 -4.4677E+00  8.697909E+01
   86    2  5.5488E+00 -4.4734E+00  5.325346E+02
   87    2  5.5506E+00 -4.4771E+00  9.066195E+02
   88    2  5.5519E+00 -4.4798E+00  4.611291E+02
   89    2  5.5529E+00 -4.4818E+00  1.383315E+03
   90    2  5.5538E+00 -4.4838E+00  3.492896E+03
    1    3  4.1893E+00 -3.8655E+00 -3.699078E+03
    2    3  4.1912E+00 -3.8647E+00 -2.469690E+03
    3    3  4.1932E+00 -3.8639E+00 -1.302701E+03
    4    3  4.1957E+00 -3.8629E+00 -7.392744E+02
    5    3  4.1993E+00 -3.8614E+00  9.708767E+02
    6    3  4.2048E+00 -3.8592E+00  2.487272E+03
    7    3  4.2130E+00 -3.8559E+00  1.679224E+02
    8    3  4.2250E+00 -3.8511E+00 -1.278749E+03
    9    3  4.2415E+00 -3.8445E+00 -6.833354E+02
   10    3  4.2637E+00 -3.8357E+00 -2.158078E+03
   11    3  4.2926E+00 -3.8244E+00 -4.847744E+03
   12    3  4.3294E+00 -3.8101E+00 -5.226165E+03
   13    3  4.3758E+00 -3.7925E+00 -5.366383E+03
   14    3  4.4339E+00 -3.7712E+00 -3.936180E+03
   15    3  4.5056E+00 -3.7461E+00 -2.043092E+03
   16    3  4.5916E+00 -3.7182E+00 -4.802285E+03
   17    3  4.6904E+00 -3.6904E+00 -5.134846E+03
   18    3  4.7988E+00 -3.6682E+00 -1.453052E+03
   19    3  4.9058E+00 -3.6608E+00 -8.078796E+02
   20    3  4.9882E+00 -3.6704E+00 -2.762855E+03
   21    3  5.3781E+00 -2.7440E+00 -6.616966E+01
   22    3  5.2724E+00 -2.6541E+00 -6.607093E+01
   23    3  5.1044E+00 -2.4345E+00 -7.094958E+01
   24    3  4.9526E+00 -2.1336E+00 -7.614310E+01
   25    3  4.8209E+00 -1.8034E+00 -7.991998E+01
   26    3  4.7051E+00 -1.4641E+00 -8.350018E+01
   27    3  4.6042E+00 -1.1197E+00 -8.723619E+01
   28    3  4.5178E+00 -7.7138E-01 -9.061886E+01
   29    3  4.4465E+00 -4.1968E-01 -9.372069E+01
   30    3  4.3893E+00 -6.5464E-02 -9.655590E+01
   31    3  4.3484E+00  2.9069E-01 -9.935204E+01
   32    3  4.3247E+00  6.4862E-01 -1.016137E+02
   33    3  4.3161E+00  1.0072E+00 -1.030424E+02
   34    3  4.3231E+00  1.3653E+00 -1.045401E+02
   35    3  4.3474E+00  1.7213E+00 -1.052078E+02
   36    3  4.3931E+00  2.0732E+00 -1.048271E+02
   37    3  4.4630E+00  2.4181E+00 -1.033594E+02
   38    3  4.5600E+00  2.7503E+00 -1.005967E+02
   39    3  4.6895E+00  3.0586E+00 -9.622808E+01
   40    3  4.8547E+00  3.3241E+00 -9.087557E+01
   41    3  5.0526E+00  3.5264E+00 -8.582013E+01
