

         SEPARATRIX SEGMENTS:

 #   nptseg(i)   lg(i)      deltp1(i)   deltpn(i)     dpmin       dpmax
===========================================================================
 1      77      7.4871E+00  5.0000E-02  5.0000E-02  5.0000E-02  1.2374E-01


         RADIAL DISTRIBUTIONS FOR EACH REGION:
  3.10261325E+00 -1.00033722E+00 -7.11608396E-03  2.73387597E-01 -6.24114222E-01
  3.20338135E+00 -9.50167162E-01 -7.18867768E-03  3.81474153E-01 -6.48157641E-01
  3.29529506E+00 -8.87863993E-01 -7.04095250E-03  4.87715567E-01 -6.67497545E-01
  3.38130426E+00 -8.20250394E-01 -7.23239046E-03  5.97834442E-01 -6.75629803E-01
  3.45823662E+00 -7.44924280E-01 -7.44520402E-03  7.03565748E-01 -6.77176623E-01
  3.52920297E+00 -6.66479379E-01 -7.12422699E-03  8.09445698E-01 -6.66936819E-01
  3.59225043E+00 -5.84007090E-01 -7.34273520E-03  9.09977173E-01 -6.46662666E-01
  3.64835094E+00 -4.99206890E-01 -7.22660927E-03  1.00299871E+00 -6.19585932E-01
  3.69788063E+00 -4.12937526E-01 -7.60686844E-03  1.09122385E+00 -5.79131525E-01
  3.74099887E+00 -3.25859088E-01 -7.44353156E-03  1.16980109E+00 -5.29476295E-01
  3.77799889E+00 -2.38642371E-01 -7.48648920E-03  1.23836861E+00 -4.75653389E-01
  3.80861269E+00 -1.51595942E-01 -7.65182284E-03  1.29763294E+00 -4.12147704E-01
  3.83332861E+00 -6.54822215E-02 -7.33008941E-03  1.34612116E+00 -3.43245124E-01
  3.85333737E+00  1.90514499E-02 -7.19201264E-03  1.38519138E+00 -2.73828836E-01
  3.86755471E+00  1.01931904E-01 -7.20682466E-03  1.41444051E+00 -2.00653561E-01
  3.87648657E+00  1.82534254E-01 -7.11443176E-03  1.43331013E+00 -1.27862569E-01
  3.88250156E+00  2.60388565E-01 -7.03306638E-03  1.44645260E+00 -5.75171604E-02
  3.88289534E+00  3.35352659E-01 -7.03330649E-03  1.44778161E+00  1.05747606E-02
  3.88097736E+00  4.06986009E-01 -7.07637057E-03  1.44393527E+00  7.44429028E-02
  3.87591645E+00  4.75155117E-01 -7.07707450E-03  1.43279985E+00  1.34476671E-01
  3.86833831E+00  5.39555528E-01 -7.23658030E-03  1.41602782E+00  1.89058206E-01
  3.85897668E+00  6.00165519E-01 -7.22197443E-03  1.39468500E+00  2.39391525E-01
  3.84813730E+00  6.56749117E-01 -7.37209791E-03  1.37021393E+00  2.84285085E-01
  3.83572163E+00  7.09180288E-01 -7.51324901E-03  1.34210928E+00  3.23196948E-01
  3.82416512E+00  7.57826475E-01 -7.03296834E-03  1.31470073E+00  3.60588615E-01
  3.81507414E+00  7.92791777E-01 -5.03297697E-03  1.28982125E+00  3.81835672E-01
  3.80984529E+00  8.08750436E-01 -5.33962020E-03  1.27828352E+00  3.92492824E-01
  3.79392596E+00  8.57336906E-01 -5.47639533E-03  1.24208783E+00  4.25686892E-01
  3.77411476E+00  9.11458869E-01 -5.57345254E-03  1.19818576E+00  4.59396308E-01
  3.75110070E+00  9.68370842E-01 -5.10948546E-03  1.14755616E+00  4.90666167E-01
  3.72365684E+00  1.02723078E+00 -5.74540471E-03  1.08959734E+00  5.24867014E-01
  3.69203503E+00  1.08790365E+00 -6.21135199E-03  1.02628437E+00  5.53114193E-01
  3.65656246E+00  1.15025829E+00 -5.66951743E-03  9.55959989E-01  5.82029785E-01
  3.61556796E+00  1.21313910E+00 -6.07166058E-03  8.81609886E-01  6.04927414E-01
  3.56936870E+00  1.27616787E+00 -5.45755023E-03  8.00511707E-01  6.27506251E-01
  3.51786157E+00  1.33899801E+00 -5.31862827E-03  7.18478443E-01  6.42968120E-01
  3.45893947E+00  1.39922906E+00 -5.08262325E-03  6.30672926E-01  6.58014398E-01
  3.39389891E+00  1.45711930E+00 -5.60373243E-03  5.43227757E-01  6.66221208E-01
  3.32139130E+00  1.50996921E+00 -5.24832723E-03  4.52462995E-01  6.71712573E-01
  3.24309759E+00  1.55913726E+00 -5.26823639E-03  3.64417455E-01  6.71230121E-01
  3.15765003E+00  1.60067187E+00 -5.10317185E-03  2.75334408E-01  6.66566676E-01
  3.06522776E+00  1.63155826E+00 -5.04315828E-03  1.86971290E-01  6.58338454E-01
  2.96761468E+00  1.65231596E+00 -5.02652172E-03  1.00957160E-01  6.45777429E-01
  2.86612132E+00  1.66246791E+00 -5.02670387E-03  1.64556448E-02  6.29419668E-01
  2.76208240E+00  1.65785214E+00 -5.06756205E-03 -6.64535843E-02  6.10348819E-01
  2.65779535E+00  1.63805499E+00 -5.11266307E-03 -1.47062872E-01  5.88798166E-01
  2.55451070E+00  1.60646193E+00 -5.08683211E-03 -2.27507312E-01  5.64276476E-01
  2.45609232E+00  1.55783400E+00 -5.41616461E-03 -3.05596726E-01  5.39647105E-01
  2.36334072E+00  1.49598988E+00 -5.59979170E-03 -3.81107706E-01  5.13374571E-01
  2.27692296E+00  1.42341186E+00 -5.86814635E-03 -4.55525916E-01  4.85050987E-01
  2.19772802E+00  1.34082806E+00 -5.89404236E-03 -5.26455484E-01  4.53675450E-01
  2.12600187E+00  1.25003199E+00 -5.31730248E-03 -5.92375341E-01  4.20424413E-01
  2.06243088E+00  1.15179861E+00 -5.41989013E-03 -6.54732720E-01  3.83077124E-01
  2.00700169E+00  1.04747525E+00 -5.47836276E-03 -7.11941289E-01  3.40335908E-01
  1.95980712E+00  9.38079852E-01 -5.51156693E-03 -7.62502082E-01  2.93886140E-01
  1.92048129E+00  8.24646827E-01 -5.70503258E-03 -8.05993649E-01  2.44353251E-01
  1.88908007E+00  7.07930637E-01 -5.35434576E-03 -8.41586547E-01  1.90917833E-01
  1.86592366E+00  5.88515609E-01 -5.18824480E-03 -8.68854526E-01  1.35165494E-01
  1.85050573E+00  4.67239191E-01 -5.07148004E-03 -8.86316943E-01  7.74726696E-02
  1.84364741E+00  3.44641723E-01 -5.03302594E-03 -8.93948878E-01  1.82960831E-02
  1.84524850E+00  2.21441154E-01 -5.06113277E-03 -8.91351161E-01 -4.14319535E-02
  1.85544043E+00  9.83334464E-02 -5.13825577E-03 -8.78691026E-01 -1.00892744E-01
