    2   24   30    1    2     /HELIUM             /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
   -.69877   -.52268   -.30083   -.15470    .00020    .17629    .30123    .47732
    .69917    .84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 04/11/99
 -13.12321 -13.13700 -13.15333 -13.17862 -13.20046 -13.22473 -13.26147 -13.29353
 -13.32970 -13.38360 -13.42954 -13.48065 -13.55487 -13.61555 -13.68034 -13.77360
 -13.85247 -13.93893 -14.05667 -14.11927 -14.14856 -14.30427 -14.25563 -13.95460
 -13.45598 -13.46977 -13.48610 -13.51139 -13.53324 -13.55750 -13.59425 -13.62631
 -13.66247 -13.71637 -13.76231 -13.81342 -13.88765 -13.94832 -14.01311 -14.10637
 -14.18524 -14.27171 -14.38945 -14.45204 -14.48133 -14.63705 -14.58840 -14.28737
 -13.67517 -13.68896 -13.70529 -13.73058 -13.75243 -13.77670 -13.81344 -13.84550
 -13.88166 -13.93556 -13.98150 -14.03261 -14.10684 -14.16751 -14.23231 -14.32556
 -14.40443 -14.49090 -14.60864 -14.67123 -14.70052 -14.85624 -14.80760 -14.50657
 -13.90753 -13.92131 -13.93764 -13.96294 -13.98478 -14.00905 -14.04579 -14.07785
 -14.11401 -14.16792 -14.21386 -14.26497 -14.33919 -14.39987 -14.46466 -14.55791
 -14.63678 -14.72325 -14.84099 -14.90358 -14.93288 -15.08859 -15.03995 -14.73892
 -14.17166 -14.18545 -14.20178 -14.22707 -14.24892 -14.27319 -14.30993 -14.34199
 -14.37815 -14.43205 -14.47799 -14.52910 -14.60333 -14.66400 -14.72880 -14.82205
 -14.90092 -14.98739 -15.10513 -15.16772 -15.19701 -15.35273 -15.30409 -15.00306
