    3   16   25    1    3     /LITHIUM            /GCR PROJECT      
--------------------------------------------------------------------------------
   8.00000   8.69897   9.00000   9.69897  10.00000  10.69897  11.00000  11.69897
  12.00000  12.69897  13.00000  13.69897  14.00000  14.69897  15.00000  15.69897
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.47732   0.69917   0.84530
   1.00020   1.30123   1.47732   1.60226   1.69917   1.77835   1.84530   1.95444
   2.00020   2.47732   2.69917   2.84530   3.00020   3.47732   3.69917   3.84530
   4.00020
 -11.74683 -11.73218 -11.72575 -11.70050 -11.68648 -11.64386 -11.62016 -11.54604
 -11.50439 -11.37822 -11.30891 -11.09918 -10.98386 -10.64363 -10.45444  -9.91116
 -12.10652 -12.10333 -12.10115 -12.09322 -12.08864 -12.07559 -12.06774 -12.04221
 -12.02760 -11.97864 -11.94816 -11.84665 -11.78933 -11.63158 -11.54950 -11.30827
 -12.27829 -12.27587 -12.27488 -12.27098 -12.26843 -12.26090 -12.25653 -12.24278
 -12.23394 -12.20526 -12.18748 -12.13049 -12.09949 -12.01337 -11.96570 -11.81842
 -12.38829 -12.38689 -12.38635 -12.38357 -12.38249 -12.37681 -12.37399 -12.36519
 -12.35965 -12.34040 -12.32956 -12.29467 -12.27675 -12.22427 -12.19398 -12.09152
 -12.48426 -12.48391 -12.48374 -12.48298 -12.48192 -12.48099 -12.48071 -12.47611
 -12.47338 -12.46424 -12.45903 -12.44550 -12.43873 -12.41626 -12.40049 -12.33512
 -12.26282 -12.27635 -12.28328 -12.30360 -12.31460 -12.34371 -12.35678 -12.39473
 -12.41294 -12.46020 -12.48404 -12.54875 -12.57824 -12.63480 -12.65166 -12.66213
 -11.98407 -12.00259 -12.01155 -12.03913 -12.05425 -12.09633 -12.11653 -12.17370
 -12.20275 -12.28147 -12.32296 -12.44054 -12.49690 -12.61326 -12.65499 -12.72394
 -11.86511 -11.88474 -11.89389 -11.92273 -11.93878 -11.98350 -12.00552 -12.06669
 -12.09854 -12.18699 -12.23360 -12.37118 -12.43844 -12.58453 -12.64045 -12.74205
 -11.82315 -11.84313 -11.85244 -11.88176 -11.89835 -11.94449 -11.96729 -12.03074
 -12.06389 -12.15698 -12.20572 -12.35225 -12.42440 -12.58696 -12.64840 -12.76720
 -11.81619 -11.83661 -11.84614 -11.87578 -11.89261 -11.93935 -11.96243 -12.02738
 -12.06150 -12.15689 -12.20742 -12.35853 -12.43421 -12.60531 -12.67132 -12.80020
 -11.82627 -11.84705 -11.85671 -11.88651 -11.90340 -11.95042 -11.97368 -12.03938
 -12.07416 -12.17088 -12.22268 -12.37647 -12.45461 -12.63100 -12.70054 -12.83601
 -11.86832 -11.88912 -11.89879 -11.92845 -11.94524 -11.99258 -12.01626 -12.08201
 -12.11723 -12.21558 -12.26801 -12.42465 -12.50491 -12.68932 -12.76206 -12.90583
 -11.89397 -11.91465 -11.92432 -11.95382 -11.97052 -12.01785 -12.04163 -12.10735
 -12.14255 -12.24127 -12.29368 -12.45088 -12.53163 -12.71894 -12.79250 -12.93911
 -12.34379 -12.36440 -12.37323 -12.40012 -12.41483 -12.46050 -12.48440 -12.54762
 -12.58018 -12.67513 -12.72483 -12.87523 -12.95598 -13.15416 -13.23422 -13.39589
 -12.62765 -12.64569 -12.65652 -12.68125 -12.69725 -12.74120 -12.76413 -12.82681
 -12.85959 -12.95353 -13.00270 -13.15013 -13.23020 -13.43075 -13.51101 -13.67545
 -12.82763 -12.84583 -12.85535 -12.88105 -12.89557 -12.93975 -12.96256 -13.02416
 -13.05673 -13.15051 -13.20005 -13.34555 -13.42575 -13.62646 -13.70873 -13.87160
 -13.04195 -13.06069 -13.07016 -13.09541 -13.10900 -13.15211 -13.17476 -13.23622
 -13.26875 -13.35973 -13.40809 -13.55250 -13.63058 -13.83129 -13.91324 -14.07665
 -13.75742 -13.77616 -13.78564 -13.81088 -13.82445 -13.86756 -13.89020 -13.95166
