{NUMBER OF COLUMNS}  3
*
* Data sampled from Nefup_76666_60.9266.dat and Tefup_76666_60.9266.dat, 
* provided by Aaro via email on 21/07/2010.
*
*     psin              ne           Te       
*                     (m-3)        (eV)       
{DATA LIST}            
 9.157E-01     	 6.785E+19    9.816E+02	      
 9.165E-01     	 6.783E+19    9.782E+02	      
 9.173E-01     	 6.780E+19    9.746E+02	      
 9.181E-01     	 6.777E+19    9.711E+02	      
 9.189E-01     	 6.774E+19    9.674E+02	      
 9.197E-01     	 6.772E+19    9.637E+02	      
 9.205E-01     	 6.769E+19    9.600E+02	      
 9.213E-01     	 6.766E+19    9.562E+02	      
 9.221E-01     	 6.763E+19    9.524E+02	      
 9.229E-01     	 6.760E+19    9.485E+02	      
 9.237E-01     	 6.757E+19    9.445E+02	      
 9.246E-01     	 6.754E+19    9.405E+02	      
 9.254E-01     	 6.751E+19    9.365E+02	      
 9.262E-01     	 6.748E+19    9.323E+02	      
 9.270E-01     	 6.744E+19    9.281E+02	      
 9.278E-01     	 6.741E+19    9.239E+02	      
 9.286E-01     	 6.737E+19    9.195E+02	      
 9.294E-01     	 6.734E+19    9.152E+02	      
 9.302E-01     	 6.730E+19    9.107E+02	      
 9.310E-01     	 6.726E+19    9.062E+02	      
 9.318E-01     	 6.722E+19    9.016E+02	      
 9.326E-01     	 6.718E+19    8.969E+02	      
 9.334E-01     	 6.714E+19    8.922E+02	      
 9.342E-01     	 6.709E+19    8.873E+02	      
 9.350E-01     	 6.705E+19    8.825E+02	      
 9.358E-01     	 6.700E+19    8.775E+02	      
 9.366E-01     	 6.695E+19    8.724E+02	      
 9.374E-01     	 6.689E+19    8.673E+02	      
 9.382E-01     	 6.684E+19    8.621E+02	      
 9.390E-01     	 6.678E+19    8.568E+02	      
 9.399E-01     	 6.672E+19    8.515E+02	      
 9.407E-01     	 6.665E+19    8.460E+02	      
 9.415E-01     	 6.658E+19    8.405E+02	      
 9.423E-01     	 6.651E+19    8.349E+02	      
 9.431E-01     	 6.643E+19    8.292E+02	      
 9.439E-01     	 6.634E+19    8.234E+02	      
 9.447E-01     	 6.626E+19    8.175E+02	      
 9.455E-01     	 6.616E+19    8.116E+02	      
 9.463E-01     	 6.606E+19    8.055E+02	      
 9.471E-01     	 6.595E+19    7.994E+02	      
 9.479E-01     	 6.584E+19    7.931E+02	      
 9.487E-01     	 6.571E+19    7.868E+02	      
 9.495E-01     	 6.558E+19    7.804E+02	      
 9.503E-01     	 6.544E+19    7.739E+02	      
 9.511E-01     	 6.529E+19    7.674E+02	      
 9.519E-01     	 6.513E+19    7.607E+02	      
 9.527E-01     	 6.495E+19    7.539E+02	      
 9.535E-01     	 6.476E+19    7.471E+02	      
 9.543E-01     	 6.456E+19    7.402E+02	      
 9.551E-01     	 6.434E+19    7.331E+02	      
 9.559E-01     	 6.411E+19    7.260E+02	      
 9.567E-01     	 6.386E+19    7.188E+02	      
 9.575E-01     	 6.359E+19    7.116E+02	      
 9.583E-01     	 6.330E+19    7.042E+02	      
 9.591E-01     	 6.298E+19    6.968E+02	      
 9.599E-01     	 6.265E+19    6.893E+02	      
