* from ITER-wall_v2.xls / Main Wall - 3D
4.1285	 4.4779	  H	
4.3228	 4.3206	  H	
4.8924	 4.6930	  H	
4.8452	 4.9385	  H	
4.8551	 4.9404	  I	
4.9023	 4.6949	  I	
5.7265	 4.5211	  I	
5.8305	 4.7484	  I	
5.8659	 4.7322	  J	
5.7618	 4.5048	  J	
6.5619	 3.8914	  J	
6.7223	 4.0831	  J	
6.7537	 4.0573	  K	
6.5933	 3.8656	  K	
7.3748	 3.1784	  K	
7.5655	 3.3401	  K	
7.5922	 3.3103	  L	
7.4016	 3.1486	  L	
7.8824	 2.4684	  L	
8.0977	 2.5954	  L	
8.1178	 2.5608	  M	
7.9025	 2.4338	  M	
8.2506	 1.6881	  M	
8.4900	 1.7601	  M	
8.5007	 1.7222	  N	
8.2614	 1.6501	  N	
8.3806	 0.6429	  N	
8.6305	 0.6500	  N	
8.6312	 0.6101	  O	
8.3813	 0.6030	  O	
8.2967	-0.4098	  O	
8.5390	-0.4711	  O	
8.5291	-0.5099	  P	
8.2868	-0.4486	  P	
7.8961	-1.3307	  P	
8.1166	-1.4485	  P	
8.0973	-1.4835	  Q	
7.8768	-1.3656	  Q	
7.2842	-2.2464	  Q	
7.4668	-2.4172	  Q	
7.4397	-2.4461	  R	
7.2572	-2.2753	  R	
6.2580	-3.0510	  R	
6.3781	-3.2700	  R
*
*3.7900	-2.5120   A	
*4.0400	-2.5120	  A	
*4.0400	-1.5270	  A	
*3.7900	-1.5270	  A	
*3.7900	-1.4870	  B	
*4.0400	-1.4870	  B	
*4.0400	-0.5122	  B	
*3.7900	-0.5122	  B	
*3.7900	-0.4720	  C	
*4.0400	-0.4720	  C	
*4.0400	 0.5028	  C	
*3.7900	 0.5028	  C	
*3.7900	 0.5430	  D	
*4.0400	 0.5430	  D	
*4.0400	 1.5178	  D	
*3.7900	 1.5178	  D	
*3.7900	 1.5580	  E	
*4.0400	 1.5580	  E	
*4.0400	 2.5328	  E	
*3.7900	 2.5328	  E	
*3.7900	 2.5730	  F	
*4.0400	 2.5730	  F	
*4.0400	 3.5478	  F	
*3.7935	 3.5896	  F	
*3.8003	 3.6288	  G	
*4.0468	 3.5870	  G	
*4.2978	 4.2888	  G	
*4.1035	 4.4462	  G	


