    7   24   30    1    7     /NITROGEN           /GCR PROJECT      
--------------------------------------------------------------------------------
    3    4    2    2    1    2    1    1                                        
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
   -.69877   -.52268   -.30083   -.15470    .00020    .17629    .30123    .47732
    .69917    .84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 04/11/99
  -7.08005  -7.08026  -7.08028  -7.08028  -7.08013  -7.07960  -7.07938  -7.07963
  -7.07966  -7.07957  -7.07937  -7.07883  -7.07756  -7.07596  -7.07303  -7.06352
  -7.04977  -7.02908  -6.99003  -6.95566  -6.92334  -6.88807  -6.86575  -6.84401
  -7.05487  -7.05583  -7.05595  -7.05572  -7.05523  -7.05405  -7.05400  -7.05484
  -7.05485  -7.05510  -7.05550  -7.05511  -7.05398  -7.05309  -7.05167  -7.04412
  -7.03324  -7.01809  -6.98195  -6.94873  -6.92301  -6.89193  -6.86647  -6.84073
  -7.04022  -7.04167  -7.04186  -7.04148  -7.04076  -7.03916  -7.03921  -7.04045
  -7.04044  -7.04091  -7.04171  -7.04143  -7.04037  -7.03996  -7.03954  -7.03328
  -7.02428  -7.01278  -6.97856  -6.94609  -6.92473  -6.89641  -6.86889  -6.84050
  -7.02580  -7.02779  -7.02804  -7.02751  -7.02655  -7.02450  -7.02466  -7.02631
  -7.02629  -7.02700  -7.02822  -7.02804  -7.02707  -7.02716  -7.02780  -7.02290
  -7.01590  -7.00828  -6.97608  -6.94442  -6.92767  -6.90228  -6.87256  -6.84138
  -7.01039  -7.01297  -7.01331  -7.01259  -7.01136  -7.00880  -7.00908  -7.01122
  -7.01117  -7.01215  -7.01385  -7.01380  -7.01293  -7.01358  -7.01542  -7.01208
  -7.00735  -7.00413  -6.97424  -6.94349  -6.93199  -6.90992  -6.87772  -6.84335
  -6.99990  -7.00290  -7.00329  -7.00245  -7.00102  -6.99810  -6.99847  -7.00094
