    8   24   30    1    8     /OXYGEN             /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.60226   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 26/07/01
 -30.19307 -30.19572 -30.19841 -30.20217 -30.20522 -30.20836 -30.21181 -30.21370
 -30.21527 -30.21780 -30.22000 -30.22189 -30.22356 -30.22467 -30.22615 -30.22717
 -30.22731 -30.22785 -30.22830 -30.22840 -30.22881 -30.22940 -30.22959 -30.22955
 -30.33199 -30.33350 -30.33403 -30.33596 -30.33897 -30.34222 -30.34512 -30.34542
 -30.34436 -30.34544 -30.34799 -30.34931 -30.34902 -30.34928 -30.35156 -30.35167
 -30.35018 -30.35106 -30.35135 -30.35034 -30.35052 -30.35124 -30.35147 -30.35165
 -30.42365 -30.42443 -30.42354 -30.42428 -30.42726 -30.43057 -30.43309 -30.43237
 -30.42961 -30.42974 -30.43250 -30.43346 -30.43190 -30.43162 -30.43438 -30.43391
 -30.43136 -30.43247 -30.43263 -30.43091 -30.43095 -30.43172 -30.43192 -30.43220
 -30.52000 -30.51999 -30.51766 -30.51714 -30.52008 -30.52343 -30.52559 -30.52380
 -30.51927 -30.51842 -30.52140 -30.52198 -30.51909 -30.51824 -30.52153 -30.52044
 -30.51677 -30.51812 -30.51817 -30.51569 -30.51558 -30.51644 -30.51656 -30.51686
 -30.62790 -30.62697 -30.62309 -30.62127 -30.62407 -30.62746 -30.62923 -30.62627
 -30.61981 -30.61788 -30.62108 -30.62124 -30.61691 -30.61545 -30.61936 -30.61760
 -30.61258 -30.61422 -30.61424 -30.61083 -30.61059 -30.61161 -30.61155 -30.61175
 -30.70315 -30.70154 -30.69665 -30.69397 -30.69664 -30.70003 -30.70156 -30.69780
 -30.69004 -30.68737 -30.69072 -30.69059 -30.68527 -30.68340 -30.68779 -30.68557
 -30.67954 -30.68140 -30.68146 -30.67735 -30.67704 -30.67822 -30.67798 -30.67800
 -30.80684 -30.80424 -30.79807 -30.79435 -30.79676 -30.80011 -30.80134 -30.79652
 -30.78703 -30.78338 -30.78690 -30.78640 -30.77978 -30.77735 -30.78247 -30.77965
 -30.77211 -30.77430 -30.77451 -30.76940 -30.76902 -30.77048 -30.76988 -30.76947
 -30.93245 -30.92847 -30.92103 -30.91634 -30.91828 -30.92150 -30.92243 -30.91643
 -30.90500 -30.90025 -30.90394 -30.90301 -30.89491 -30.89187 -30.89803 -30.89456
 -30.88494 -30.88756 -30.88822 -30.88175 -30.88138 -30.88333 -30.88202 -30.88068
 -31.01131 -31.00634 -30.99832 -30.99327 -30.99480 -30.99787 -30.99865 -30.99198
 -30.97949 -30.97410 -30.97786 -30.97670 -30.96775 -30.96436 -30.97130 -30.96751
 -30.95638 -30.95930 -30.96044 -30.95302 -30.95273 -30.95510 -30.95314 -30.95087
 -31.09081 -31.08466 -31.07633 -31.07122 -31.07220 -31.07503 -31.07571 -31.06846
