{NUMBER OF COLUMNS}       5
*
* SHOTS  =   25028
* TIMES  =     0.300000 to     0.324000 s
* SMOOTH =       7
* SAMPLE =       5
*
*       PSIn           r           z        dens          Te
*                    (m)         (m)       (m-3)        (eV)
{DATA LIST}
    0.167648    0.910568    0.000000    6.85E+19      402.66
    0.170471    0.951028    0.000000    6.97E+19      406.71
    0.172629    0.944377    0.000000    7.02E+19      406.71
    0.175557    0.931714    0.000000    6.89E+19      389.90
    0.177151    0.941959    0.000000    6.84E+19      375.77
    0.179439    0.964731    0.000000    7.05E+19      389.90
    0.181617    0.913520    0.000000    7.25E+19      379.09
    0.184513    0.974907    0.000000    7.02E+19      375.99
    0.188609    0.972692    0.000000    7.06E+19      376.14
    0.192346    0.992654    0.000000    7.01E+19      374.39
    0.199771    1.002420    0.000000    6.80E+19      382.81
    0.206419    1.005430    0.000000    6.79E+19      382.19
    0.211467    1.003930    0.000000    6.66E+19      391.30
    0.220233    1.023450    0.000000    6.70E+19      381.20
    0.231022    1.033260    0.000000    6.72E+19      381.00
    0.242083    1.034150    0.000000    6.75E+19      392.57
    0.251402    1.046140    0.000000    6.78E+19      393.36
    0.262549    1.045920    0.000000    6.80E+19      382.27
    0.273337    1.064490    0.000000    6.78E+19      375.60
    0.288672    1.074370    0.000000    6.85E+19      357.25
    0.302334    1.075520    0.000000    6.85E+19      365.61
    0.317997    1.085380    0.000000    6.73E+19      355.67
    0.332962    1.097020    0.000000    6.75E+19      347.21
    0.344518    1.105540    0.000000    6.65E+19      337.25
    0.364386    1.115480    0.000000    6.59E+19      325.68
    0.384749    1.117220    0.000000    6.38E+19      296.46
    0.401382    1.126780    0.000000    6.17E+19      285.40
    0.422412    1.136850    0.000000    6.11E+19      275.89
    0.442975    1.148270    0.000000    6.04E+19      260.98
    0.459177    1.157330    0.000000    5.97E+19      251.35
    0.484986    1.167480    0.000000    6.00E+19      251.65
    0.506000    1.168730    0.000000    5.95E+19      240.12
    0.528654    1.178510    0.000000    5.92E+19      226.30
    0.554207    1.188670    0.000000    5.73E+19      209.74
    0.579680    1.199770    0.000000    5.48E+19      207.60
    0.599525    1.209030    0.000000    5.32E+19      194.57
    0.630126    1.219570    0.000000    5.11E+19      181.75
    0.651915    1.220310    0.000000    4.93E+19      162.86
    0.679861    1.230230    0.000000    4.57E+19      148.41
    0.708648    1.240440    0.000000    4.38E+19      136.38
    0.738294    1.251330    0.000000    4.21E+19      126.41
    0.760692    1.260900    0.000000    4.10E+19      111.77
    0.795149    1.271810    0.000000    3.93E+19      100.66
    0.817841    1.272320    0.000000    3.79E+19       87.19
    0.851036    1.282810    0.000000    3.64E+19       76.38
    0.882563    1.293490    0.000000    3.37E+19       62.63
    0.916158    1.304590    0.000000    2.96E+19       52.35
    0.940594    1.314920    0.000000    2.56E+19       44.21
    0.975106    1.325780    0.000000    1.92E+19       28.49
    1.094923    1.358290    0.000000    7.24E+18        6.36
{END}
